row,species,sp,site,date,nest1,nest2,nest3,nest3note,sampleUnit,size1mm,habitat,tideHTm,lat,long,Shaw_hab,notes,notes2
1,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,6.1,bare rock,8,36.62183N,121.90516W,,,
2,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,9.6,bare rock,8,36.62183N,121.90516W,,,
3,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,13.3,bare rock,8,36.62183N,121.90516W,,,
4,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,5.3,bare rock,8,36.62183N,121.90516W,,,
5,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,10.8,bare rock,8,36.62183N,121.90516W,,,
6,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,11.4,bare rock,8,36.62183N,121.90516W,,,
7,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,10.2,bare rock,8,36.62183N,121.90516W,,,
8,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,9.3,bare rock,8,36.62183N,121.90516W,,,
9,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,9.3,bare rock,8,36.62183N,121.90516W,,,
10,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,13.1,bare rock,8,36.62183N,121.90516W,,,
11,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,8.4,bare rock,8,36.62183N,121.90516W,,,
12,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,11.8,bare rock,8,36.62183N,121.90516W,,,
13,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,6.5,bare rock,8,36.62183N,121.90516W,,,
14,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,14.6,bare rock,8,36.62183N,121.90516W,,,
15,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,10.3,bare rock,8,36.62183N,121.90516W,,,
16,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,7.3,bare rock,8,36.62183N,121.90516W,,,
17,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,13.5,bare rock,8,36.62183N,121.90516W,,,
18,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,13.9,bare rock,8,36.62183N,121.90516W,,,
19,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,9.4,bare rock,8,36.62183N,121.90516W,,,
20,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,8.2,bare rock,8,36.62183N,121.90516W,,,
21,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,7.8,bare rock,8,36.62183N,121.90516W,,,
22,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,6.7,bare rock,8,36.62183N,121.90516W,,,
23,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,6.3,bare rock,8,36.62183N,121.90516W,,,
24,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,11.6,bare rock,8,36.62183N,121.90516W,,,
25,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,6.5,bare rock,8,36.62183N,121.90516W,,,
26,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,8.8,bare rock,8,36.62183N,121.90516W,,,
27,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,9.6,bare rock,8,36.62183N,121.90516W,,,
28,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,6.3,bare rock,8,36.62183N,121.90516W,,,
29,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,7.5,bare rock,8,36.62183N,121.90516W,,,
30,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,6.3,bare rock,8,36.62183N,121.90516W,,,
31,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,12.6,bare rock,8,36.62183N,121.90516W,,,
32,Littorina.keenae,LIKE,HighRock,6/20/14,zoneA,area1,NA,NA,zoneA_area1,11.8,bare rock,8,36.62183N,121.90516W,,,
