m_along_transect,density_m2,size_mm,tide_ht_ft,area
1,5.744248469,15.11258571,5.470954607,areaB
2,7.688590407,15.08461814,5.35110137,areaB
3,5.582013042,15.08200357,4.961360567,areaB
4,30.82700443,16.06369349,4.925832132,areaB
5,44.92907067,18.15586691,4.249290601,areaB
6,126.9092811,17.52219951,3.825813852,areaB
7,141.0130028,18.2010057,3.199906365,areaB
8,159.1651606,17.26438696,2.590851788,areaB
9,151.9903816,16.80740173,2.487866524,areaB
10,108.3449128,18.21819947,2.098140784,areaB
11,125.4847547,18.36691407,2.062582224,areaB
12,204.4263617,19.75238133,2.077627582,areaB
13,247.9104228,19.82546516,2.04211421,areaB
14,194.1326894,21.48862092,1.871626929,areaB
15,55.24923043,21.20829532,1.718007621,areaB
4.5,541.033373,14.05831508,4.828551772,areaD
7,1203.871062,14.30739658,4.737254902,areaD
9.5,1204.141608,14.06660075,4.292948056,areaD
12,620.6753504,14.5260973,3.754936361,areaD
14.5,465.7302769,15.3349217,3.451737186,areaD
17,452.1421043,15.16470749,3.125490196,areaD
19.5,463.9886371,16.00841353,3.128242174,areaD
22,441.1139731,16.11776389,3.154729962,areaD
24.5,585.0106246,15.63197825,3.675128999,areaD
27,761.4066137,16.44172328,3.678500172,areaD
29.5,840.4398627,17.67025258,4.010663915,areaD
32,900.9677656,19.7388054,3.684279326,areaD
34.5,843.3245594,22.08692279,3.263501892,areaD
37,876.0673885,21.88162235,2.560715514,areaD
39.5,741.9712658,22.37559138,-0.048366013,areaD
42,281.2821626,22.31043125,-1.66873065,areaD
44.5,170.3583044,21.16005319,-1.454213966,areaD
47,175.2890051,20.14991774,-0.698176815,areaD
49.5,175.5595511,20.29394515,0.481114551,areaD
52,166.6044787,20.64838762,3.119573443,areaD
54.5,199.3134895,19.98798919,3.451805986,areaD
57,317.7619083,19.92262448,3.172617819,areaD
59.5,375.9597337,19.47192505,2.893016856,areaD
62,260.4163027,19.68643179,3.978396973,areaD
64.5,112.4344067,20.6001057,4.122394221,areaD
67,22.37979021,20.81461244,3.207636739,areaD
