code,nest1,nest1note,nest2,nest2note,position,dateDeployed,timeDeployed,gps_old,tidalHT_old,lat_old,long_old,aspect_old,tidalHT,aspect,slope,gps
LIKE,A,zone,Crack,crackOrFace,A_Crack,30-Jul-15,7:35,GPS:016,2.4,36.62186,-121.90516,,2.7,280,0,39
LIKE,A,zone,Crack,crackOrFace,A_Crack,30-Jul-15,7:35,GPS:016,2.4,36.62186,-121.90516,,2.7,280,0,39
LIKE,A,zone,Face,crackOrFace,A_Face,30-Jul-15,7:35,GPS:016,2.4,36.62186,-121.90516,,2.85,280,110,38
LIKE,A,zone,Face,crackOrFace,A_Face,30-Jul-15,7:35,GPS:016,2.4,36.62186,-121.90516,,2.85,280,110,38
LIKE,B,zone,Crack,crackOrFace,B_Crack,30-Jul-15,7:40,GPS:016,4.3,36.62186,-121.90516,,3.6,260,10,40
LIKE,B,zone,Crack,crackOrFace,B_Crack,30-Jul-15,7:40,GPS:016,4.3,36.62186,-121.90516,,3.6,260,10,40
LIKE,B,zone,Face,crackOrFace,B_Face,30-Jul-15,7:40,GPS:016,4.3,36.62186,-121.90516,,4.2,200,135,41
LIKE,B,zone,Face,crackOrFace,B_Face,30-Jul-15,7:40,GPS:016,4.3,36.62186,-121.90516,,4.2,200,135,41
LIKE,C,zone,Crack,crackOrFace,C_Crack,30-Jul-15,7:45,GPS:016,5.8,36.62186,-121.90516,,5.9,40,10,43
LIKE,C,zone,Crack,crackOrFace,C_Crack,30-Jul-15,7:45,GPS:016,5.8,36.62186,-121.90516,,5.9,40,10,43
LIKE,C,zone,Face,crackOrFace,C_Face,30-Jul-15,7:45,GPS:016,5.8,36.62186,-121.90516,,6,300,130,42
LIKE,C,zone,Face,crackOrFace,C_Face,30-Jul-15,7:45,GPS:016,5.8,36.62186,-121.90516,,6,300,130,42
LIKE,D,zone,Crack,crackOrFace,D_Crack,30-Jul-15,7:50,GPS:016,7.3,36.62186,-121.90516,,6.85,290,90,44
LIKE,D,zone,Crack,crackOrFace,D_Crack,30-Jul-15,7:50,GPS:016,7.3,36.62186,-121.90516,,6.85,290,90,44
LIKE,D,zone,Face,crackOrFace,D_Face,30-Jul-15,7:50,GPS:016,7.3,36.62186,-121.90516,,7.55,250,130,45
LIKE,D,zone,Face,crackOrFace,D_Face,30-Jul-15,7:50,GPS:016,7.3,36.62186,-121.90516,,7.55,250,130,45
LODI,1,area,Upper,upperOrLower,1_Upper,30-Jul-15,6:45,GPS:015,2.1,36.62194,-121.90528,90,3,340,100,25
LODI,1,area,Upper,upperOrLower,1_Upper,30-Jul-15,6:45,GPS:015,2.1,36.62194,-121.90528,90,3,340,100,25
