year,day,time,ws,wd,wd-sd,panel C,box C,LiCor,LiCor-sd,LiCor-min,LiCor-max,KZ,KZ-sd,KZ-min,KZ-max,Rad,Rad-SD,Rad-min,Rad-max,,,,,,,,,,,,,,,Batt V
2006,219,1640,0,0,0,23.46,-6999,-6999,6999,-6999,1135,986,139.3,642.9,1201,214,28.68,93.9,240,-6999,0,-6999,-6999,-57.31,50.47,-105,2.234,39.67,40.28,-14.79,81.2,-6999,-6999,13.08
2006,219,1650,1.792,341,11.82,22.02,-6999,-6999,6999,-6999,780,826,68.51,783,1020,225.2,12.48,214.3,257.9,-6999,0,-6999,-6999,2.744,0.275,2.208,3.179,76.6,4.719,66.85,87.3,-6999,-6999,13.09
2006,219,1700,4.04,331.7,23.07,21.53,-6999,751,7.88,737,763,1101,29.67,1027,1141,276.2,10.55,254.5,287.5,-6999,0,-6999,-6999,-37.41,9.4,-62.01,3.258,-13.11,17.59,-20.39,81.6,-6999,-6999,13.11
2006,219,1710,3.928,331.7,19.66,21.45,-6999,726,7.4,715,738,1146,8.62,1127,1162,288.8,1.371,286.2,291.3,-6999,0,-6999,-6999,-37.84,3.166,-49.19,-34.19,-20.78,0.179,-21.04,-20.42,-6999,-6999,13.11
2006,219,1720,4.513,332.5,12.09,21.28,-6999,701,7.87,687.2,715,1171,7.32,1151,1179,293.3,1.344,290,295,-6999,0,-6999,-6999,-36.52,1.061,-40.11,-34.43,-21.24,0.106,-21.4,-21.05,-6999,-6999,13.12
2006,219,1730,4.321,325.5,20.3,21.09,-6999,672.6,8.26,657.9,687,1163,15.26,1125,1180,293,2.337,287.2,295.7,-6999,0,-6999,-6999,-39.51,5.04,-59.79,-35.69,-21.59,0.091,-21.73,-21.42,-6999,-6999,13.12
2006,219,1740,4.369,320.4,19.47,20.93,-6999,643.7,8.41,629.3,658,1166,6.426,1148,1175,294,1.305,290.6,295.7,-6999,0,-6999,-6999,-39.11,3.002,-55.59,-36.16,-21.85,0.061,-21.96,-21.75,-6999,-6999,13.13
2006,219,1750,4.791,330.5,19.95,20.77,-6999,613.5,9.41,596.4,629.4,1169,7.08,1151,1179,294.8,1.139,292.5,296.6,-6999,0,-6999,-6999,-39.46,3.242,-53.99,-35.85,-22.07,0.066,-22.19,-21.97,-6999,-6999,13.13
2006,219,1800,4.269,336.2,18.22,20.65,-6999,582.6,8.9,565.7,598.2,1154,12.34,1130,1171,292.4,1.981,288.8,295.1,-6999,0,-6999,-6999,-41.57,4.973,-58.09,-36.74,-22.29,0.055,-22.38,-22.2,-6999,-6999,13.13
2006,219,1810,4.185,324.1,21.64,20.53,-6999,551.4,8.97,535.6,565.9,1157,9.3,1134,1171,293.3,1.667,289.4,295.7,-6999,0,-6999,-6999,-40.87,3.863,-56.06,-36.76,-22.47,0.053,-22.55,-22.38,-6999,-6999,13.14
2006,219,1820,4.575,331.5,17.88,20.37,-6999,519.2,9.09,503.3,535,1159,20.85,1096,1177,294.2,3.13,284.4,296.6,-6999,0,-6999,-6999,-42.41,7.11,-66.67,-37.45,-22.66,0.068,-22.78,-22.56,-6999,-6999,13.14
2006,219,1830,3.99,339.6,19.64,20.22,-6999,485.9,9.63,469.4,503.8,1124,30.99,1067,1170,288.5,4.524,280,295.1,-6999,0,-6999,-6999,-45.02,8,-66,-37.39,-22.88,0.055,-22.98,-22.78,-6999,-6999,13.15
2006,219,1840,3.984,335.9,19.83,20.12,-6999,452,9.21,436.1,468.9,1144,8.79,1122,1157,291.2,1.261,288.2,293.2,-6999,0,-6999,-6999,-43.1,5.314,-64.17,-37.94,-23.04,0.037,-23.09,-22.98,-6999,-6999,13.15
2006,219,1850,4.129,329.1,16.14,20.02,-6999,418.6,9.99,402.2,434.7,1163,6.496,1148,1171,294.4,1.048,292.2,295.7,-6999,0,-6999,-6999,-41.1,2.956,-54.05,-38.65,-23.16,0.04,-23.23,-23.1,-6999,-6999,13.15
2006,219,1900,4.071,342.1,17.78,19.87,-6999,384.5,9.95,367.3,401.8,1158,14.07,1116,1174,293.4,2.414,286.9,296.3,-6999,0,-6999,-6999,-43.72,5.618,-61.55,-37.96,-23.33,0.052,-23.42,-23.25,-6999,-6999,13.16
2006,219,1910,4.084,344.5,16.45,19.75,-6999,350.5,9.73,333.5,367.4,1125,24.09,1087,1164,288,3.761,282.2,294.5,-6999,0,-6999,-6999,-45.62,7.8,-65.46,-38.62,-23.49,0.031,-23.54,-23.41,-6999,-6999,13.16
2006,219,1920,3.909,343.7,13.74,19.63,-6999,316,9.91,299.1,332.5,1145,7.18,1129,1158,291.4,1.027,289.4,293.2,-6999,0,-6999,-6999,-43.42,5.224,-59.91,-38.84,-23.61,0.045,-23.67,-23.54,-6999,-6999,13.16
2006,219,1930,3.894,343.5,21.04,19.5,-6999,281.2,9.93,264.1,298.8,1094,33.52,1024,1156,283,5.275,272.5,293.2,-6999,0,-6999,-6999,-50.19,10.55,-72.9,-40.11,-23.78,0.043,-23.83,-23.68,-6999,-6999,13.16
2006,219,1940,3.538,333.8,16.79,19.34,-6999,247.2,9.64,230.5,264.5,1142,17.75,1100,1160,290.3,2.766,283.8,293.2,-6999,0,-6999,-6999,-44.27,6.866,-71.6,-39.47,-23.92,0.056,-24.01,-23.83,-6999,-6999,13.17
2006,219,1950,3.709,345,14.84,19.18,-6999,213.6,9.63,197.7,229.5,1110,17.45,1075,1135,285.8,2.683,280.6,289.4,-6999,0,-6999,-6999,-46.9,7.93,-68.68,-39.42,-24.1,0.05,-24.17,-24.01,-6999,-6999,13.17
2006,219,2000,3.161,331.1,19.67,19.03,-6999,181.1,9.66,164.8,204.1,1149,7.23,1132,1158,292,1.127,289.4,293.2,-6999,0,-6999,-6999,-42.74,3.362,-63.27,-40.16,-24.24,0.044,-24.32,-24.17,-6999,-6999,13.17
2006,219,2010,2.667,344.5,16.95,18.87,-6999,149.7,8.85,134.8,164.5,1124,20.11,1088,1155,288,3.004,282.5,292.6,-6999,0,-6999,-6999,-47.84,7.4,-68.24,-40.65,-24.44,0.058,-24.54,-24.34,-6999,-6999,13.17
2006,219,2020,3.092,340.5,17.99,18.74,-6999,120.3,8.28,106.4,133.9,1124,17.05,1084,1149,287.9,2.397,282.5,291.6,-6999,0,-6999,-6999,-45.52,5.626,-64.33,-40.53,-24.59,0.041,-24.66,-24.53,-6999,-6999,13.17
2006,219,2030,2.893,338.8,13.34,18.57,-6999,89.6,9.78,72.9,106.6,1130,15.89,1098,1151,289.2,2.427,284.4,292.6,-6999,0,-6999,-6999,-45.39,5.789,-64.11,-41.06,-24.73,0.047,-24.82,-24.65,-6999,-6999,13.13
2006,219,2040,2.906,313.5,13.59,18.38,-6999,57.58,8.34,44.54,72.7,1135,7.73,1106,1144,290.1,1.282,285.7,291.3,-6999,0,-6999,-6999,-44.2,0.884,-45.9,-42.34,-24.92,0.052,-25,-24.84,-6999,-6999,13.04
2006,219,2050,2.834,344,22.42,18.17,-6999,32.62,6.065,22.93,43.69,1084,25.5,1040,1139,282.3,3.98,275.3,290.7,-6999,0,-6999,-6999,-51.39,9.28,-72.9,-41.86,-25.14,0.071,-25.24,-25,-6999,-6999,12.93
2006,219,2100,2.597,323.9,13.42,17.93,-6999,15.46,4.243,9.2,22.73,1128,8.24,1103,1137,289,1.318,285.7,290.4,-6999,0,-6999,-6999,-44.36,1.134,-50.28,-42.75,-25.33,0.063,-25.44,-25.23,-6999,-6999,12.81
2006,219,2110,2.171,336.6,18.5,17.66,-6999,5.933,1.681,3.417,9.07,1115,11.57,1091,1134,287.1,1.734,283.2,290.1,-6999,0,-6999,-6999,-47.58,5.463,-66.24,-43.09,-25.61,0.087,-25.74,-25.45,-6999,-6999,12.73
2006,219,2120,2.454,336.9,20.89,17.37,-6999,1.807,0.757,0.723,3.285,1095,24.42,1049,1118,285.4,3.153,278.8,288.8,-6999,0,-6999,-6999,-48.88,6.557,-67.17,-43.24,-25.87,0.073,-26,-25.75,-6999,-6999,12.67
2006,219,2130,2.395,350.5,12.42,17.1,-6999,0.269,0.211,0,0.723,1058,11.9,1034,1083,280.1,1.774,276.6,283.8,-6999,0,-6999,-6999,-51.43,6.836,-69.57,-44,-26.16,0.076,-26.3,-26.01,-6999,-6999,12.64
2006,219,2140,2.376,336,12.49,16.87,-6999,-0.064,0.024,-0.131,0,1083,13.81,1050,1103,284.2,2.217,278.8,287.6,-6999,0,-6999,-6999,-47.06,2.674,-59.19,-44.95,-26.4,0.058,-26.49,-26.3,-6999,-6999,12.61
2006,219,2150,2.382,335.4,13.18,16.68,-6999,-0.089,0.031,-0.131,-0.066,1099,2.169,1094,1102,287.1,0.274,286.3,287.6,-6999,0,-6999,-6999,-46.53,1.271,-50.86,-44.99,-26.6,0.059,-26.71,-26.5,-6999,-6999,12.6
2006,219,2200,2.639,340.5,13.16,16.54,-6999,-0.107,0.034,-0.197,-0.066,1081,9.68,1060,1096,284.4,1.476,281.3,286.7,-6999,0,-6999,-6999,-48.79,3.86,-62.8,-45.55,-26.81,0.044,-26.87,-26.72,-6999,-6999,12.58
2006,219,2210,2.53,336.2,15.76,16.53,-6999,-0.12,0.027,-0.197,-0.066,1075,5.19,1066,1084,283.7,0.713,282.3,284.8,-6999,0,-6999,-6999,-49.09,4.028,-66.33,-45.96,-26.87,0.015,-26.9,-26.85,-6999,-6999,12.57
2006,219,2220,2.502,334.5,15.58,16.57,-6999,-0.113,0.032,-0.197,-0.066,1073,10.95,1050,1088,283.8,1.595,280.4,286,-6999,0,-6999,-6999,-49.05,3.932,-66.79,-46.29,-26.88,0.008,-26.89,-26.87,-6999,-6999,12.55
2006,219,2230,2.698,345.3,12.58,16.5,-6999,-0.111,0.031,-0.131,-0.066,1066,9.5,1042,1079,282.7,1.451,279.4,284.8,-6999,0,-6999,-6999,-50.16,4.073,-63.09,-46.13,-26.94,0.027,-26.99,-26.88,-6999,-6999,12.54
2006,219,2240,2.373,343.1,12.14,16.36,-6999,-0.125,0.02,-0.131,-0.066,1055,9.43,1033,1068,281,1.542,277.6,283.2,-6999,0,-6999,-6999,-50.46,5.526,-70.8,-46.12,-27.03,0.024,-27.09,-27,-6999,-6999,12.53
2006,219,2250,1.991,344.2,11.62,16.21,-6999,-0.128,0.014,-0.131,-0.066,1065,7.87,1025,1073,282.2,1.107,276.6,283.5,-6999,0,-6999,-6999,-50.06,5.243,-72.6,-46.37,-27.19,0.047,-27.28,-27.1,-6999,-6999,12.51
2006,219,2300,1.7,337.2,12.84,16.07,-6999,-0.13,0.008,-0.131,-0.066,1048,10.44,1021,1062,279.6,1.686,275.7,282,-6999,0,-6999,-6999,-49.58,2.881,-59.35,-46.98,-27.33,0.041,-27.42,-27.28,-6999,-6999,12.5
2006,219,2310,1.668,340.4,9.74,15.98,-6999,-0.131,0,-0.131,-0.131,1063,6.779,1044,1070,281.9,1.113,279.4,283.2,-6999,0,-6999,-6999,-48.58,2.616,-63.55,-46.89,-27.44,0.012,-27.46,-27.42,-6999,-6999,12.49
2006,219,2320,1.276,335.5,12.16,15.98,-6999,-0.131,0,-0.131,-0.131,1056,11.13,1031,1073,281.3,1.665,277.2,283.5,-6999,0,-6999,-6999,-49.46,4.755,-72.6,-46.9,-27.47,0.018,-27.5,-27.44,-6999,-6999,12.47
2006,219,2330,1.15,332.2,15.67,15.99,-6999,-0.131,0,-0.131,-0.131,1057,9.23,1036,1067,281.3,1.39,278.2,283.2,-6999,0,-6999,-6999,-49.29,3.615,-70.1,-46.93,-27.46,0.017,-27.5,-27.44,-6999,-6999,12.46
2006,219,2340,1.636,323.2,16.28,15.96,-6999,-0.131,0,-0.131,-0.131,1056,4.93,1040,1061,281.2,0.578,279.4,282,-6999,0,-6999,-6999,-49.2,1.572,-57.93,-47.35,-27.49,0.027,-27.54,-27.45,-6999,-6999,12.46
2006,219,2350,1.623,322.9,16.59,15.86,-6999,-0.128,0.014,-0.131,-0.066,1057,2.556,1050,1062,280.8,0.476,279.8,281.3,-6999,0,-6999,-6999,-49.5,2.359,-65.04,-47.08,-27.57,0.024,-27.61,-27.53,-6999,-6999,12.45
2006,220,0,1.273,306.6,19,15.78,-6999,-0.128,0.014,-0.131,-0.066,1051,4.518,1044,1059,280,0.531,278.8,280.7,-6999,0,-6999,-6999,-50.2,1.264,-53.03,-48.34,-27.66,0.042,-27.73,-27.61,-6999,-6999,12.44
2006,220,10,0.834,290.7,16.85,15.64,-6999,-0.13,0.008,-0.131,-0.066,1039,3.691,1032,1044,277.6,0.674,276.3,279.1,-6999,0,-6999,-6999,-51.53,1.118,-53.5,-49.33,-27.76,0.028,-27.81,-27.72,-6999,-6999,12.44
2006,220,20,0.802,263.6,17.82,15.47,-6999,-0.129,0.012,-0.131,-0.066,1023,6.67,1010,1032,274.9,1.047,273.2,276.3,-6999,0,-6999,-6999,-53.71,1.254,-56.19,-50.91,-27.9,0.039,-27.98,-27.82,-6999,-6999,12.44
2006,220,30,0.901,254.6,16.17,15.3,-6999,-0.123,0.022,-0.131,-0.066,1011,4.068,1005,1020,272.2,0.598,271.3,273.2,-6999,0,-6999,-6999,-54.6,1.173,-56.32,-52.31,-28.07,0.035,-28.14,-27.99,-6999,-6999,12.43
2006,220,40,1.02,255,7.53,15.14,-6999,-0.119,0.028,-0.197,-0.066,1007,1.348,1005,1010,271.7,0.364,270.7,271.9,-6999,0,-6999,-6999,-54.74,0.501,-55.73,-53.87,-28.2,0.045,-28.29,-28.14,-6999,-6999,12.43
2006,220,50,0.839,255.1,10.26,14.99,-6999,-0.114,0.034,-0.197,-0.066,1003,3.138,997,1010,271,0.505,270,271.9,-6999,0,-6999,-6999,-54.92,0.741,-56.15,-53.29,-28.34,0.034,-28.39,-28.29,-6999,-6999,12.43
2006,220,100,0.832,272.3,18.87,14.85,-6999,-0.097,0.044,-0.197,-0.066,1004,4.469,995,1013,271.1,0.505,270,271.9,-6999,0,-6999,-6999,-53.85,1.224,-55.51,-51.54,-28.47,0.036,-28.53,-28.41,-6999,-6999,12.43
2006,220,110,0.965,262.5,10.69,14.72,-6999,-0.111,0.044,-0.197,-0.066,1005,4.441,1000,1014,270.8,0.668,270,272.2,-6999,0,-6999,-6999,-54.71,0.732,-55.65,-51.93,-28.63,0.042,-28.68,-28.53,-6999,-6999,12.43
2006,220,120,1.06,257.7,11.96,14.61,-6999,-0.112,0.044,-0.197,-0.066,998,2.81,992,1002,269.7,0.363,268.8,270,-6999,0,-6999,-6999,-55.21,0.684,-57.05,-53.56,-28.74,0.025,-28.78,-28.69,-6999,-6999,12.43
2006,220,130,1.369,249.7,7.6,14.53,-6999,-0.117,0.04,-0.197,-0.066,990,1.051,988,992,268.6,0.211,268.2,268.8,-6999,0,-6999,-6999,-55.9,0.356,-56.8,-55.27,-28.82,0.032,-28.86,-28.77,-6999,-6999,12.43
2006,220,140,1.212,261.9,11.66,14.47,-6999,-0.119,0.031,-0.197,-0.066,992,1.872,988,995,268.8,0.326,268.2,269.4,-6999,0,-6999,-6999,-55.08,0.623,-56.05,-53.4,-28.92,0.035,-28.96,-28.85,-6999,-6999,12.43
2006,220,150,1.537,293.2,10.98,14.41,-6999,-0.118,0.034,-0.197,-0.066,1005,5.258,993,1011,270.9,0.709,269.4,271.9,-6999,0,-6999,-6999,-52.98,0.56,-54.42,-52.01,-28.97,0.024,-29.02,-28.93,-6999,-6999,12.43
2006,220,200,1.361,296.9,14.98,14.41,-6999,-0.119,0.031,-0.197,-0.066,1010,2.863,1006,1016,271.6,0.378,271.3,272.6,-6999,0,-6999,-6999,-52.81,0.826,-54.19,-50.73,-29.07,0.021,-29.1,-29.03,-6999,-6999,12.43
2006,220,210,1.963,314.6,14.87,14.42,-6999,-0.13,0.035,-0.197,-0.066,1017,5.153,1009,1025,272.5,0.534,271.6,273.5,-6999,0,-6999,-6999,-51.74,0.853,-53.88,-50.17,-29.05,0.017,-29.08,-29.02,-6999,-6999,12.43
