year,day,time,ws,wd,wd-sd,panel C,box C,LiCor,LiCor-sd,LiCor-min,LiCor-max,KZ,KZ-SD,KZ-min,KZ-max,Rad T,Rad T SD,Rad T min,Rad T max,Air C,Air C-sd,Air C-min,Air C-max,Air C,Air C-sd,Air C-min,Air C-max,RH,RH-sd,RH-min,RH-max,Air2 C min,Air2 C max,Batt V
2004,141,2300,2.292,310.9,18.62,12.38,12.06,-13.95,0.244,-14.46,-13.67,0,0,0,0,-32.56,5.853,-44.43,-22.03,12.06,0.024,12.01,12.1,12.34,0.021,12.3,12.41,79.2,0.238,78.9,79.9,12.48,12.54,12.59
2004,141,2310,2.506,309.3,15.49,12.25,11.93,-13.97,0.143,-14.46,-13.67,0,0,0,0,-28.89,7.3,-42.19,-16.8,11.97,0.027,11.91,12.01,12.27,0.025,12.23,12.32,79.3,0.218,79,80,12.42,12.47,12.59
2004,141,2320,2.253,298.5,16.14,12.12,11.81,-13.96,0.135,-14.72,-13.74,0,0,0,0,-29.89,5.951,-41.45,-17.55,11.88,0.023,11.85,11.93,12.19,0.034,12.14,12.25,79.4,0.195,79.2,80.1,12.33,12.43,12.59
2004,141,2330,2.42,315.8,15.81,12,11.71,-14,0.163,-14.52,-13.74,0,0,0,0,-29.8,6.086,-41.07,-15.31,11.81,0.02,11.78,11.85,12.16,0.014,12.13,12.2,79.7,0.156,79.3,80.1,12.3,12.35,12.58
2004,141,2340,2.707,313.6,15.82,11.89,11.62,-13.88,0.083,-14.06,-13.74,0,0,0,0,-27.1,4.966,-37.71,-18.3,11.75,0.015,11.73,11.78,12.12,0.016,12.09,12.16,79.8,0.173,79.5,80.2,12.26,12.31,12.57
2004,141,2350,2.613,322,12.93,11.81,11.57,-13.91,0.097,-14.2,-13.67,0,0,0,0,-29.99,4.074,-39.95,-20.91,11.73,0.011,11.7,11.75,12.1,0.015,12.07,12.14,79.8,0.206,79.5,80.4,12.24,12.28,12.57
2004,142,0,2.406,314.2,15.49,11.73,11.49,-14.01,0.135,-14.59,-13.8,0,0,0,0,-29.65,5.806,-42.2,-16.8,11.67,0.016,11.64,11.71,12.05,0.026,12,12.11,80.2,0.232,79.8,80.6,12.17,12.22,12.57
2004,142,10,2.458,326.4,15.75,11.65,11.42,-13.95,0.152,-14.59,-13.8,0,0,0,0,-28.81,4.193,-39.21,-19.79,11.62,0.017,11.58,11.64,11.99,0.021,11.95,12.02,80.4,0.115,80.2,80.7,12.1,12.15,12.56
2004,142,20,2.31,329.9,15.34,11.56,11.34,-13.9,0.137,-14.26,-13.6,0,0,0,0,-29.7,6.313,-42.94,-15.31,11.56,0.022,11.53,11.6,11.94,0.018,11.91,11.97,80.7,0.085,80.5,80.8,12.05,12.1,12.56
2004,142,30,2.796,319.4,13.6,11.49,11.3,-13.88,0.085,-14,-13.67,0,0,0,0,-26.01,6.445,-39.21,-11.95,11.54,0.005,11.53,11.56,11.93,0.013,11.9,11.96,80.6,0.164,80.3,81,12.07,12.1,12.56
2004,142,40,2.496,330.6,12,11.44,11.27,-13.84,0.05,-13.93,-13.74,0,0,0,0,-29.55,4.392,-37.71,-19.04,11.54,0.007,11.52,11.55,11.93,0.013,11.9,11.96,80.5,0.11,80.3,80.7,12.05,12.08,12.55
2004,142,50,2.383,323.3,15.5,11.39,11.23,-13.78,0.089,-14.13,-13.61,0,0,0,0,-30.34,5.714,-42.94,-18.67,11.51,0.014,11.49,11.53,11.91,0.019,11.88,11.95,80.6,0.149,80.4,81,12.02,12.06,12.54
2004,142,100,2.066,334.3,17.12,11.34,11.18,-13.91,0.115,-14.39,-13.74,0,0,0,0,-22.82,8.55,-40.7,-8.59,11.47,0.007,11.45,11.49,11.86,0.013,11.84,11.89,80.9,0.097,80.7,81.1,11.97,12,12.54
2004,142,110,2.223,330.9,16.8,11.3,11.18,-13.74,0.075,-13.87,-13.61,0,0,0,0,-23.16,5.507,-35.48,-11.58,11.49,0.009,11.47,11.5,11.88,0.014,11.85,11.91,81,0.128,80.8,81.3,11.99,12.03,12.54
2004,142,120,2.084,335.7,12.5,11.31,11.25,-13.73,0.047,-13.87,-13.61,0,0,0,0,-13.77,3.373,-21.28,-7.1,11.51,0.013,11.48,11.53,11.85,0.014,11.83,11.88,81.1,0.134,80.8,81.3,11.97,11.99,12.53
2004,142,130,2.238,341,13.19,11.35,11.31,-13.67,0.089,-13.87,-13.47,0,0,0,0,-17.86,3.403,-26.14,-11.58,11.54,0.012,11.52,11.57,11.81,0.024,11.77,11.86,81.5,0.227,81,81.9,11.93,11.98,12.53
2004,142,140,1.999,337.4,11.72,11.38,11.33,-13.6,0.077,-13.74,-13.47,0,0,0,0,-11.94,3.808,-21.28,-6.348,11.53,0.008,11.52,11.55,11.74,0.025,11.7,11.8,81.9,0.184,81.5,82.1,11.88,11.93,12.52
2004,142,150,1.721,334.4,13.89,11.41,11.37,-13.58,0.059,-13.74,-13.47,0,0,0,0,-3.41,2.671,-10.08,4.401,11.53,0.016,11.51,11.57,11.68,0.024,11.63,11.73,82,0.198,81.7,82.6,11.86,11.93,12.51
2004,142,200,1.774,341.2,14.01,11.46,11.44,-13.55,0.06,-13.67,-13.47,0,0,0,0,-2.181,2.224,-7.09,0.943,11.59,0.019,11.56,11.63,11.72,0.019,11.69,11.77,82.2,0.119,82,82.4,11.91,11.94,12.51
2004,142,210,1.676,339.1,12.73,11.51,11.5,-13.42,0.061,-13.61,-13.34,0,0,0,0,-5.327,1.796,-7.84,-1.12,11.63,0.009,11.62,11.65,11.71,0.016,11.68,11.76,82.1,0.116,81.8,82.4,11.91,11.94,12.5
2004,142,220,1.734,338.8,12.6,11.56,11.54,-13.41,0.067,-13.54,-13.28,0,0,0,0,-4.101,1.477,-7.09,-0.373,11.67,0.01,11.65,11.69,11.71,0.01,11.69,11.73,82,0.164,81.6,82.3,11.93,11.97,12.5
2004,142,230,1.903,341.6,12.64,11.6,11.6,-13.31,0.046,-13.41,-13.21,0,0,0,0,-2.294,1.568,-5.601,1.572,11.71,0.021,11.68,11.75,11.76,0.03,11.69,11.81,81.5,0.163,81.2,81.9,11.98,12.02,12.49
2004,142,240,2.354,346.9,14.09,11.64,11.66,-13.39,0.078,-13.54,-13.21,0,0,0,0,-0.958,2.032,-4.481,4.401,11.78,0.023,11.75,11.82,11.85,0.036,11.78,11.91,81.1,0.152,80.9,81.5,12.06,12.11,12.49
2004,142,250,2.661,342.9,13.87,11.69,11.7,-13.43,0.061,-13.54,-13.34,0,0,0,0,-2.744,2.453,-7.09,2.829,11.84,0.012,11.81,11.87,11.89,0.018,11.84,11.93,81,0.18,80.7,81.4,12.08,12.12,12.48
2004,142,300,2.821,346.8,12.05,11.74,11.74,-13.41,0.051,-13.47,-13.34,0,0,0,0,-4.457,2.764,-9.71,2.201,11.87,0.009,11.85,11.89,11.91,0.016,11.86,11.95,81,0.164,80.7,81.5,12.09,12.13,12.48
2004,142,310,2.606,348.3,15.59,11.78,11.77,-13.32,0.068,-13.47,-13.21,0,0,0,0,-3.274,3.106,-9.34,4.716,11.88,0.01,11.86,11.91,11.88,0.023,11.84,11.95,80.2,0.361,79.4,80.9,12.09,12.17,12.48
2004,142,320,2.414,6.031,14.92,11.81,11.8,-13.29,0.08,-13.47,-13.14,0,0,0,0,-2.204,3.747,-10.83,5.344,11.91,0.014,11.89,11.94,11.95,0.031,11.9,12,79.3,0.449,78.6,80.4,12.13,12.18,12.47
2004,142,330,2.098,1.54,11.74,11.84,11.82,-13.25,0.068,-13.34,-13.08,0,0,0,0,-2.924,2.507,-8.59,0.943,11.94,0.012,11.92,11.97,11.97,0.02,11.93,12.02,79,0.234,78.6,79.5,12.15,12.22,12.47
2004,142,340,2.423,8.66,12.37,11.86,11.85,-13.31,0.091,-13.47,-13.14,0,0,0,0,-1.033,2.742,-7.09,4.087,11.99,0.024,11.96,12.03,12.06,0.049,12.01,12.18,79.7,0.573,78.9,80.9,12.23,12.35,12.46
2004,142,350,3.73,23.85,6.027,11.89,11.89,-13.36,0.08,-13.47,-13.14,0,0,0,0,-4.307,3.539,-12.32,3.458,12.02,0.011,12,12.04,12.09,0.023,12.03,12.15,79.8,0.346,79.1,80.8,12.26,12.34,12.46
2004,142,400,3.586,31.36,6.018,11.93,11.92,-13.7,0.179,-13.93,-13.21,0,0,0,0,-2.102,3.629,-10.08,5.344,12.04,0.015,12.01,12.07,12.1,0.042,12.03,12.19,78.8,0.441,77.9,79.5,12.26,12.33,12.45
2004,142,410,3.912,33.81,6.317,11.96,11.96,-13.5,0.226,-14,-13.14,0,0,0,0,-1.68,3.493,-10.46,4.087,12.07,0.013,12.04,12.09,12.14,0.026,12.09,12.19,78.1,0.699,76.8,79.4,12.29,12.33,12.45
