year,day,time,ws,wd,wd-sd,panel C,box C,LiCor,LiCor-sd,LiCor-min,LiCor-max,K&Z,K&Z-sd,K&Z-min,K&Z-max,Air C,Air C-sd,Air C-min,Air C-max,RH,RH-sd,RH-min,RH-max,Air2 C min,Air2 C max,Batt V
2008,336,0,0.601,78,28.46,11.7,-6999,-1.139,0.035,-1.249,-1.118,-0.271,0.101,-0.448,-0.064,11.68,0.031,11.64,11.77,91.8,0.099,91.7,92,12.1,12.18,12.5
2008,336,10,0.963,86,38.23,11.74,-6999,-1.087,0.035,-1.118,-0.986,-0.361,0.153,-0.703,-0.192,11.75,0.039,11.64,11.79,91.9,0.088,91.7,92,12.15,12.21,12.49
2008,336,20,1.081,131.8,16.94,11.77,-6999,-1.164,0.055,-1.315,-1.052,-0.56,0.074,-0.703,-0.448,11.6,0.026,11.54,11.64,92,0.106,91.7,92.2,12,12.04,12.49
2008,336,30,0.459,135.9,52.51,11.79,-6999,-1.111,0.043,-1.183,-0.986,-0.536,0.092,-0.703,-0.448,11.53,0.018,11.48,11.56,92.1,0.066,92,92.2,11.95,11.97,12.49
2008,336,40,1.443,117.9,9.84,11.8,-6999,-1.107,0.034,-1.183,-0.986,-0.476,0.064,-0.575,-0.32,11.52,0.019,11.48,11.56,92.3,0.05,92.2,92.4,11.93,11.97,12.49
2008,336,50,0.606,138,30.15,11.8,-6999,-1.112,0.045,-1.183,-1.052,-0.531,0.06,-0.575,-0.448,11.45,0.019,11.41,11.5,92.4,0.029,92.3,92.4,11.86,11.92,12.49
2008,336,100,0.542,166.8,31.74,11.79,-6999,-1.083,0.057,-1.183,-0.986,-0.462,0.081,-0.639,-0.192,11.43,0.016,11.38,11.46,92.5,0.035,92.4,92.5,11.85,11.9,12.49
2008,336,110,0.951,182.5,13.28,11.78,-6999,-1.069,0.051,-1.183,-0.986,-0.54,0.058,-0.639,-0.448,11.37,0.018,11.33,11.42,92.5,0.044,92.4,92.6,11.77,11.81,12.49
2008,336,120,0.49,140.3,51.11,11.77,-6999,-1.123,0.035,-1.183,-1.052,-0.485,0.119,-0.575,-0.192,11.32,0.02,11.29,11.38,92.6,0.074,92.5,92.8,11.74,11.82,12.48
2008,336,130,0.6,180.5,32.89,11.76,-6999,-1.081,0.044,-1.183,-0.986,-0.417,0.188,-0.703,-0.192,11.36,0.048,11.25,11.43,92.7,0.105,92.5,92.8,11.77,11.85,12.48
2008,336,140,1.055,194.6,18.88,11.75,-6999,-1.178,0.066,-1.315,-1.052,-0.558,0.083,-0.703,-0.448,11.22,0.034,11.17,11.27,92.7,0.058,92.6,92.8,11.61,11.68,12.48
2008,336,150,0.785,232.5,17.63,11.72,-6999,-1.234,0.051,-1.315,-1.183,-0.458,0.079,-0.639,-0.32,11.17,0.019,11.13,11.21,92.8,0.033,92.7,92.9,11.55,11.59,12.47
2008,336,200,1.013,204.2,19.43,11.7,-6999,-1.143,0.043,-1.249,-1.052,-0.436,0.112,-0.703,-0.192,11.16,0.035,11.09,11.22,92.8,0.06,92.7,92.9,11.54,11.62,12.47
