year,dayofyear,hourmin,ws,wd,wd-sd,panel C,box C,LiCor,LiCor-sd,LiCor-min,LiCor-max,KZ,KZ-sd,KZ-min,KZ-max,Air C,Air C-sd,Air C-min,Air C-max,RH,RH-sd,RH-min,RH-max,A2 C,A2 C-sd,volts
2009,182,0,1.078,225.2,43.24,14.37,-6999,0.927,0.048,0.854,0.986,-0.12,0.081,-0.256,0,13.93,0.037,13.87,14.01,86.2,0.058,86,86.3,14.43,14.5,12.52
2009,182,10,1.423,211.8,24.26,14.38,-6999,0.927,0.05,0.854,0.986,-0.067,0.044,-0.128,0,14.02,0.018,13.98,14.05,85.9,0.104,85.7,86.1,14.53,14.57,12.51
2009,182,20,1.502,220.5,25.19,14.41,-6999,0.886,0.035,0.854,0.986,-0.169,0.052,-0.256,-0.064,14.03,0.011,14.01,14.06,85.6,0.093,85.5,85.7,14.53,14.57,12.5
2009,182,30,1.903,216.7,18.97,14.44,-6999,0.9,0.04,0.854,0.986,-0.316,0.065,-0.447,-0.192,14,0.017,13.98,14.04,85.4,0.044,85.3,85.5,14.49,14.54,12.5
2009,182,40,1.66,222.4,17.98,14.46,-6999,0.94,0.047,0.854,0.986,-0.354,0.047,-0.447,-0.256,14.02,0.028,13.97,14.07,85.3,0.034,85.3,85.4,14.52,14.56,12.5
2009,182,50,1.617,209.5,22.91,14.48,-6999,0.985,0.019,0.92,1.052,-0.314,0.053,-0.384,-0.256,14.1,0.021,14.05,14.15,85.3,0.035,85.2,85.3,14.59,14.62,12.5
2009,182,100,1.508,201.2,25.86,14.5,-6999,0.994,0.021,0.986,1.052,-0.325,0.066,-0.447,-0.256,14.15,0.022,14.11,14.2,85.3,0.041,85.2,85.3,14.63,14.66,12.5
2009,182,110,1.61,202.9,26.19,14.52,-6999,0.991,0.018,0.986,1.052,-0.423,0.07,-0.511,-0.256,14.12,0.021,14.08,14.15,85.2,0.066,85.1,85.3,14.58,14.61,12.49
2009,182,120,1.625,192.9,22.39,14.54,-6999,1.002,0.031,0.986,1.117,-0.649,0.101,-0.831,-0.511,14.07,0.022,14.03,14.12,85.4,0.085,85.3,85.5,14.51,14.56,12.49
2009,182,130,1.457,193.5,28.54,14.53,-6999,1.013,0.038,0.986,1.117,-0.688,0.054,-0.767,-0.575,13.99,0.036,13.93,14.06,85.6,0.073,85.5,85.8,14.42,14.49,12.49
2009,182,140,1.256,200.7,32.74,14.51,-6999,1.012,0.042,0.986,1.117,-0.582,0.036,-0.639,-0.511,13.92,0.026,13.86,13.97,85.7,0.063,85.6,85.9,14.35,14.39,12.48
2009,182,150,1.4,205.1,22.47,14.48,-6999,1.022,0.037,0.986,1.117,-0.479,0.047,-0.575,-0.384,13.84,0.012,13.81,13.86,85.8,0.034,85.7,85.9,14.29,14.31,12.48
2009,182,200,1.559,205.9,19.8,14.46,-6999,1.023,0.054,0.854,1.117,-0.347,0.041,-0.384,-0.256,13.85,0.014,13.82,13.88,85.8,0.055,85.7,85.9,14.32,14.35,12.48
2009,182,210,1.226,204,23.49,14.44,-6999,1.072,0.044,0.986,1.117,-0.388,0.035,-0.447,-0.32,13.82,0.01,13.8,13.86,85.8,0.037,85.6,85.8,14.29,14.31,12.47
