year,dayofyear,hourmin,ws,wd,wd-sd,panel C,box C,LiCor,LiCor-sd,LiCor-min,LiCor-max,KZ,KZ-sd,KZ-min,KZ-max,Air C,Air C-sd,Air C-min,Air C-max,RH,RH-sd,RH-min,RH-max,A2 C,A2 C-sd,A2 C-min,A2 C-max,volts
2011,335,0,5.766,75.4,14.5,13.56,-6999,1.196,.026,1.183,1.249,-4.508,.713,-5.69,-3.26,14.47,.198,14.2,14.72,44.96,3.682,37.74,50.29,14.96,.242,14.65,15.34,12.47
2011,335,10,4.931,75.8,13.99,13.54,-6999,1.18,.014,1.117,1.183,-4.608,.329,-5.498,-4.028,14.13,.028,14.08,14.23,48.42,1.506,45.08,51.75,14.67,.023,14.62,14.71,12.46
2011,335,20,5.285,75,13.6,13.47,-6999,1.181,.012,1.117,1.183,-4.385,.333,-5.178,-3.644,14.19,.055,14.07,14.27,46.6,2.522,39.93,51.74,14.76,.079,14.61,14.88,12.46
2011,335,30,4.776,76.3,13.34,13.41,-6999,1.183,.012,1.117,1.249,-4.522,.292,-4.987,-3.9,14.12,.038,14.05,14.19,46.75,2.444,41.45,50.57,14.65,.063,14.53,14.76,12.46
2011,335,40,4.538,78.6,15.43,13.35,-6999,1.173,.039,.92,1.183,-4.534,.39,-5.69,-3.708,14.06,.036,13.98,14.11,47.36,2.503,39.7,51.02,14.59,.059,14.49,14.7,12.46
2011,335,50,5.129,71.7,11.57,13.28,-6999,1.183,0,1.183,1.183,-4.483,.411,-5.562,-3.772,14.05,.092,13.92,14.19,47.77,2.67,42.77,53.17,14.61,.127,14.44,14.8,12.45
2011,335,100,4.796,73.3,12.49,13.23,-6999,1.184,.008,1.183,1.249,-4.863,.319,-5.626,-4.156,14,.05,13.93,14.14,50.03,1.912,46.64,55.03,14.52,.043,14.45,14.62,12.45
2011,335,110,4.901,69.06,11.77,13.17,-6999,1.2,.035,1.183,1.315,-4.591,.188,-5.051,-4.156,13.91,.051,13.83,14,50.68,1.977,45.95,53.76,14.46,.088,14.33,14.61,12.45
2011,335,120,4.376,67.87,9.32,13.11,-6999,1.208,.038,1.183,1.315,-4.773,.328,-5.179,-3.836,13.88,.072,13.79,14.01,51.94,1.455,47.83,54.72,14.39,.078,14.29,14.57,12.45
2011,335,130,4.668,66.95,9.54,13.03,-6999,1.212,.05,1.183,1.315,-4.826,.33,-5.946,-4.347,13.81,.017,13.77,13.86,51.93,1.497,48.57,56.45,14.35,.019,14.29,14.39,12.44
2011,335,140,4.935,63.76,8.83,12.96,-6999,1.221,.045,1.183,1.315,-4.596,.223,-5.179,-4.22,13.78,.032,13.72,13.84,52.6,1.978,48.24,56.97,14.33,.041,14.26,14.41,12.44
2011,335,150,6.021,53.82,7,12.91,-6999,1.231,.067,1.118,1.446,-4.092,.597,-5.434,-2.429,13.87,.092,13.75,14.04,49.88,3.299,41.31,54.49,14.47,.119,14.34,14.73,12.44
2011,335,200,6.286,53.49,8.06,12.89,-6999,1.262,.074,1.183,1.446,-4.159,.363,-4.923,-3.261,13.8,.052,13.71,13.9,51.41,2.4,46.67,55.88,14.36,.09,14.21,14.5,12.43
2011,335,210,6.335,52.7,5.85,12.87,-6999,1.244,.069,1.118,1.446,-4.221,.421,-5.051,-3.452,13.75,.048,13.69,13.9,50.64,3.545,41.37,56.29,14.34,.108,14.23,14.59,12.43
2011,335,220,6.697,52.51,6.263,12.87,-6999,1.267,.091,1.183,1.446,-3.869,.324,-4.539,-3.069,13.82,.101,13.61,13.93,50.42,3.204,44.13,55.94,14.37,.146,14.12,14.59,12.43
2011,335,230,6.65,49.44,5.531,12.87,-6999,1.338,.109,.723,1.512,-3.964,.433,-4.923,-3.133,13.6,.051,13.5,13.69,51.73,2.709,45.45,56.32,14.18,.091,14.03,14.37,12.42
2011,335,240,7.38,52.06,5.885,12.84,-6999,1.29,.061,1.183,1.446,-3.735,.253,-4.411,-3.005,13.71,.022,13.66,13.75,49.84,2.17,44.06,53.64,14.31,.047,14.23,14.42,12.42
2011,335,250,8.07,49.03,6.288,12.84,-6999,1.272,.046,1.183,1.446,-3.673,.266,-4.284,-3.005,13.74,.044,13.63,13.8,47.68,2.293,41.34,53.01,14.31,.069,14.18,14.43,12.42
2011,335,300,7.6,48.69,6.83,12.85,-6999,1.237,.05,1.183,1.381,-3.611,.27,-4.156,-3.005,13.61,.022,13.56,13.66,48.84,2.048,44.28,53.6,14.2,.036,14.13,14.27,12.41
2011,335,310,7.44,47.68,6.222,12.84,-6999,1.271,.068,1.183,1.446,-3.626,.297,-4.156,-2.877,13.56,.025,13.49,13.62,48.79,2.752,42.71,53.75,14.13,.049,14.01,14.22,12.41
2011,335,320,7.92,45.07,5.681,12.81,-6999,1.349,.109,1.249,1.709,-3.727,.413,-4.475,-2.813,13.38,.049,13.31,13.49,50.31,1.974,46.76,54.37,13.94,.037,13.85,14.01,12.41
2011,335,330,8.17,41.36,4.941,12.73,-6999,1.125,.071,1.052,1.315,-3.032,.346,-3.644,-2.238,13.36,.023,13.32,13.42,49.33,2.407,44.06,54.55,13.96,.049,13.89,14.06,12.4
2011,335,340,7.61,39.21,5.252,12.66,-6999,1.144,.036,1.052,1.249,-3.148,.245,-3.836,-2.621,13.28,.033,13.21,13.33,49.64,2.792,43.35,55.96,13.86,.047,13.76,13.98,12.4
2011,335,350,7.05,39.29,5.394,12.62,-6999,1.215,.039,1.118,1.315,-3.16,.246,-3.644,-2.621,13.23,.034,13.17,13.3,50.73,2.136,46.62,56.53,13.8,.044,13.73,13.89,12.4
2011,335,400,7.15,34.36,5.734,12.59,-6999,1.225,.032,1.183,1.249,-3.178,.278,-3.644,-2.429,13.24,.021,13.21,13.3,49.52,2.389,43.77,54.36,13.84,.033,13.77,13.9,12.39
2011,335,410,7.01,35.69,7.28,12.57,-6999,1.245,.026,1.183,1.315,-3.312,.245,-3.836,-2.877,13.27,.039,13.21,13.35,48.99,3.15,41.8,53.55,13.87,.071,13.77,14,12.39
2011,335,420,6.596,34,6.088,12.55,-6999,1.261,.123,.46,1.578,-3.272,.234,-4.028,-2.877,13.31,.033,13.22,13.37,49.11,2.365,44.23,55.19,13.88,.051,13.77,13.97,12.38
2011,335,430,6.17,34.07,5.77,12.52,-6999,1.271,.048,1.118,1.381,-3.407,.295,-4.22,-2.877,13.28,.034,13.23,13.36,50.21,3.064,40.12,56.13,13.87,.053,13.77,14.01,12.38
2011,335,440,6.618,34.51,5.649,12.49,-6999,1.345,.058,1.249,1.512,-3.224,.275,-3.9,-2.621,13.3,.057,13.23,13.43,48.56,2.21,44.03,53.15,13.92,.08,13.78,14.09,12.37
2011,335,450,6.438,36.03,9.44,12.48,-6999,1.285,.039,1.249,1.381,-3.347,.326,-4.284,-2.493,13.45,.031,13.39,13.5,45.31,3.354,38.04,53.22,14.05,.049,13.96,14.13,12.37
2011,335,500,5.754,35.48,6.23,12.47,-6999,1.256,.031,1.183,1.381,-3.719,.475,-5.179,-3.005,13.5,.052,13.37,13.57,44.73,3.327,34.52,50.2,14.07,.08,13.92,14.23,12.37
2011,335,510,6.526,34.31,5.255,12.45,-6999,1.282,.044,1.249,1.381,-3.401,.199,-3.9,-2.941,13.3,.054,13.21,13.39,48.54,2.62,41.06,53.39,13.86,.06,13.75,13.98,12.36
2011,335,520,7.08,32.21,4.898,12.43,-6999,1.275,.04,1.249,1.381,-3.278,.173,-3.644,-2.877,13.24,.021,13.2,13.29,49.2,2.116,43.67,53.83,13.82,.026,13.76,13.89,12.36
2011,335,530,7.15,37.39,5.404,12.42,-6999,1.267,.031,1.249,1.381,-3.198,.233,-3.772,-2.749,13.25,.024,13.2,13.29,49.25,2.581,41.66,54.31,13.84,.033,13.78,13.9,12.35
2011,335,540,7.75,35.25,5.205,12.43,-6999,1.261,.025,1.249,1.315,-3.114,.246,-3.644,-2.621,13.25,.039,13.19,13.33,50,2.039,44.91,54.04,13.83,.056,13.74,13.94,12.35
2011,335,550,7.48,32.4,5.011,12.44,-6999,1.267,.034,1.249,1.381,-3.294,.219,-3.644,-2.749,13.19,.018,13.15,13.22,51.05,2.376,45.53,55.45,13.78,.03,13.73,13.84,12.34
2011,335,600,7.92,33.8,5.267,12.43,-6999,1.273,.042,1.249,1.381,-3.205,.249,-3.772,-2.621,13.2,.026,13.15,13.24,49.97,2.228,45.49,55.49,13.78,.036,13.73,13.86,12.34
2011,335,610,8.28,37.65,5.684,12.43,-6999,1.256,.023,1.249,1.381,-3.039,.205,-3.389,-2.621,13.19,.024,13.14,13.23,48.56,2.558,42.39,54.19,13.78,.037,13.71,13.85,12.33
2011,335,620,8.33,39.12,4.843,12.44,-6999,1.248,.008,1.183,1.249,-2.976,.175,-3.389,-2.493,13.19,.011,13.16,13.2,47.96,1.95,42.5,52,13.78,.021,13.74,13.82,12.33
2011,335,630,8.47,41.26,4.883,12.45,-6999,1.251,.017,1.249,1.381,-3.022,.207,-3.516,-2.493,13.15,.034,13.08,13.2,48.26,2.22,44.18,53.76,13.73,.043,13.64,13.81,12.32
2011,335,640,8.2,42.66,5.202,12.44,-6999,1.443,.12,1.249,1.644,-3.118,.422,-4.22,-1.47,13.04,.038,12.98,13.14,50.64,2.157,45.88,55.04,13.62,.039,13.55,13.71,12.32
2011,335,650,7.91,42.08,5.206,12.41,-6999,2.736,.702,1.709,4.01,-1.565,.556,-2.749,-.448,13.07,.017,13.02,13.1,48.88,2.126,42.07,52.94,13.67,.026,13.61,13.73,12.31
2011,335,700,7.83,41.2,4.963,12.38,-6999,6.225,1.365,3.944,8.74,1.842,1.459,-.575,4.411,13.06,.023,12.99,13.09,49.48,2.277,44.45,55.01,13.64,.041,13.53,13.7,12.31
2011,335,710,7.34,41.41,5.217,12.37,-6999,11.57,1.707,8.81,14.4,7.75,2.019,4.156,11.19,13.01,.018,12.96,13.04,50.77,1.816,46.83,54.89,13.59,.027,13.53,13.66,12.35
2011,335,720,7.24,42.87,5.109,12.37,-6999,17.12,1.518,14.53,19.66,14.54,1.879,11.06,18.22,13.01,.037,12.94,13.08,50.94,3.149,44.38,56.64,13.59,.054,13.49,13.7,12.44
2011,335,730,7.01,41.05,5.306,12.37,-6999,46.27,18.29,19.79,70.4,42.54,21.09,18.03,71.8,13,.017,12.96,13.03,50.54,2.599,44.6,56.68,13.6,.024,13.56,13.65,13.28
2011,335,740,6.569,44.03,5.617,12.47,-6999,86.6,9.43,71,102.3,85.9,7.88,72.2,99.3,12.98,.038,12.9,13.04,51.51,2.069,47.24,55.69,13.62,.052,13.52,13.7,13.27
2011,335,750,6.48,39.23,5.149,12.71,-6999,118.3,8.34,103,131.9,114.4,8.57,99.7,129.6,12.95,.024,12.9,13,51.37,2.41,43.82,57.95,13.6,.025,13.54,13.65,13.27
2011,335,800,6.071,38.26,5.311,12.98,-6999,145.3,7.73,132.5,157.8,144.6,9.07,130,160.2,12.94,.03,12.88,13,53.55,2.045,48.47,57.7,13.55,.038,13.47,13.61,13.26
2011,335,810,5.329,39.51,4.037,13.25,-6999,171,7.33,158.7,183.7,174.6,8.29,160.9,189.6,12.92,.028,12.87,12.98,55.51,2.625,47.6,58.95,13.5,.038,13.45,13.59,13.26
2011,335,820,4.942,35.77,6.652,13.5,-6999,196.1,7.31,184.1,208.1,204.2,8.7,189.8,218.7,12.97,.037,12.88,13.01,54.41,2.786,47.17,60.85,13.57,.027,13.5,13.63,13.25
2011,335,830,4.54,34.38,4.899,13.75,-6999,221.2,7.43,209,233.8,233.4,8.39,219.4,247.2,12.91,.036,12.84,12.98,55.5,1.991,48.88,59.18,13.52,.021,13.48,13.55,13.25
2011,335,840,3.453,35.15,5.77,13.98,-6999,246.6,7.7,234.2,259.7,261.3,8.56,247.9,275.5,12.87,.015,12.83,12.91,57.4,1.678,51.36,61.37,13.56,.025,13.51,13.59,13.24
2011,335,850,4.152,57.63,12.84,14.23,-6999,273.6,7.69,260.2,286.9,292.8,9.53,276,308.5,13.05,.159,12.86,13.35,50.27,4.487,40.25,58.89,13.83,.188,13.58,14.13,13.24
2011,335,900,4.368,55.49,8.77,14.47,-6999,298.3,6.504,287.6,309.2,320.8,6.673,309.2,331.3,13.31,.056,13.19,13.39,48.04,3.475,42.27,54.36,14,.08,13.87,14.13,13.23
2011,335,910,3.824,48.88,8.37,14.71,-6999,320.5,6.622,309.1,331.9,343.5,7.18,331.8,356.3,13.16,.02,13.12,13.2,50.35,2.581,42.74,54.39,13.89,.032,13.84,13.98,13.23
2011,335,920,5.573,52.61,6.195,14.95,-6999,342.8,6.352,331.7,354.5,368.6,7.27,355.6,381.1,13.31,.084,13.21,13.45,44.69,2.816,37.43,50.18,14.04,.075,13.93,14.17,13.23
2011,335,930,6.626,51.84,6.218,15.12,-6999,363.8,5.897,354.1,374.3,391.1,5.908,381,400.6,13.45,.025,13.42,13.51,45.01,2.332,40.46,51.24,14.13,.041,14.06,14.22,13.22
2011,335,940,6.346,52,7.21,15.26,-6999,384.7,5.557,374.3,393.6,411.9,5.659,401.1,419.7,13.56,.128,13.4,13.74,44.03,3.334,36.56,50.23,14.28,.15,14.06,14.5,13.22
2011,335,950,6.613,49.03,5.968,15.41,-6999,404.2,5.723,394.2,414.2,430.2,5.48,420,439.9,13.62,.037,13.55,13.7,44.8,2.292,37.92,48.85,14.29,.051,14.21,14.41,13.22
2011,335,1000,6.735,46.87,5.299,15.56,-6999,422.7,5.386,413.9,432.5,447.7,5.259,439.9,456.6,13.52,.03,13.47,13.59,47.56,1.72,44.65,52.68,14.19,.034,14.13,14.27,13.22
2011,335,1010,7.1,47.94,5.581,15.67,-6999,440.1,4.662,432.1,448.6,464.3,4.384,456.6,471.5,13.57,.02,13.52,13.62,47.54,2.569,41.1,53.96,14.24,.032,14.16,14.3,13.21
2011,335,1020,7.17,48.18,5.422,15.75,-6999,456.7,4.553,448.3,463.6,479.9,4.514,470.9,486.3,13.6,.043,13.51,13.68,48.61,2.219,43.27,53,14.28,.051,14.17,14.39,13.21
2011,335,1030,7.06,47.25,5.229,15.83,-6999,471.2,4.066,464.7,478.1,493.3,4.017,486.8,499.6,13.61,.03,13.54,13.66,49.11,2.993,43.35,55.85,14.27,.051,14.16,14.36,13.21
2011,335,1040,7.27,46.27,4.993,15.88,-6999,484.2,3.595,477.6,489.8,505.1,3.406,499.4,511,13.59,.026,13.54,13.64,49.36,2.05,45.34,54.59,14.25,.028,14.18,14.3,13.21
2011,335,1050,7.78,45.79,5.253,15.91,-6999,494.9,2.845,490,499.4,515.3,2.802,510.9,519.3,13.62,.029,13.56,13.67,48.8,1.963,44.42,52.95,14.28,.036,14.2,14.35,13.21
2011,335,1100,7.37,46.59,5.249,15.93,-6999,504.2,2.81,499.1,509.3,523.4,2.801,518.7,527.9,13.71,.045,13.64,13.79,48.85,1.999,45,52.92,14.39,.047,14.31,14.48,13.21
2011,335,1110,7.45,44.49,5.021,15.96,-6999,512.4,2.231,508.4,517.4,530.6,2.537,527.2,536.1,13.75,.049,13.67,13.86,49.44,2.582,44.74,55.42,14.42,.071,14.33,14.56,13.21
2011,335,1120,8.04,44.15,5.233,15.99,-6999,519.3,1.465,516.5,522,537.6,1.468,535.7,539.9,13.89,.027,13.84,13.94,47.15,1.884,43.48,51.24,14.55,.036,14.47,14.63,13.21
2011,335,1130,7.5,39.93,5.145,16.02,-6999,524.1,1.599,521.4,527.4,541.5,1.431,539,544.1,13.92,.032,13.84,13.98,48.52,2.684,42.51,53.13,14.57,.052,14.48,14.68,13.2
2011,335,1140,6.852,38.03,5.131,16.06,-6999,528.1,.792,526.6,529.8,545.7,.819,543.7,547.8,13.95,.067,13.83,14.07,48.03,2.555,41.44,52.31,14.65,.078,14.48,14.82,13.2
2011,335,1150,6.679,38.23,5.008,16.13,-6999,528.7,.498,527.6,530.2,546.2,.741,544.9,547.8,14.14,.025,14.08,14.21,46.53,2.014,42.08,50.5,14.83,.036,14.76,14.91,13.2
2011,335,1200,6.943,39.38,4.862,16.22,-6999,529,.529,527.9,530.2,546.4,.669,544.9,547.8,14.25,.028,14.21,14.31,45.81,2.243,40.22,52.54,14.91,.039,14.8,14.99,13.2
2011,335,1210,7.37,39.92,4.671,16.29,-6999,527.9,.729,526.2,529.2,545.8,.843,544.1,547.2,14.29,.017,14.25,14.32,46.15,1.742,41.63,49.78,14.94,.029,14.89,15.03,13.2
2011,335,1220,7.13,38.56,5.14,16.36,-6999,525.3,.842,523.6,527.1,543.2,.805,541.8,545.1,14.34,.047,14.25,14.42,46.7,2.545,41.44,52.09,14.98,.064,14.87,15.08,13.2
2011,335,1230,7.03,39.61,4.927,16.42,-6999,521.2,1.524,518.5,523.9,539.9,1.341,538.2,542.8,14.33,.022,14.28,14.37,47.5,1.659,44.44,52.21,14.99,.03,14.92,15.04,13.2
2011,335,1240,7.47,39.21,4.742,16.47,-6999,514.6,2.344,510.7,519.9,534.3,2.407,530.4,539.4,14.43,.033,14.37,14.5,46.66,2.09,41.54,50.14,15.09,.05,15.02,15.22,13.19
2011,335,1250,7.43,36.25,5.198,16.52,-6999,506.3,2.52,501.7,510.6,526.1,2.674,521.5,530.7,14.47,.024,14.43,14.51,46.89,1.789,41.54,50.72,15.12,.038,15.05,15.18,13.19
2011,335,1300,7.75,40.88,5.498,16.56,-6999,497.1,3.483,491.1,502.9,517.8,3.638,511.6,522.8,14.57,.068,14.46,14.68,46.32,2.471,42.08,51.67,15.21,.093,15.05,15.36,13.19
2011,335,1310,7.02,36.6,4.782,16.6,-6999,485.5,3.291,478.9,491.4,508,2.871,501.9,512.5,14.52,.047,14.45,14.62,47.1,1.645,41.36,49.82,15.2,.051,15.11,15.29,13.19
2011,335,1320,6.741,35.01,5.101,16.63,-6999,472.3,3.957,465.2,478.6,496.1,3.787,488.7,501.8,14.59,.057,14.52,14.72,46.95,1.997,42.29,50.87,15.28,.085,15.17,15.44,13.19
2011,335,1330,6.836,39.91,5.182,16.67,-6999,457.9,4.468,450.6,465.3,482.6,4.013,475.7,488.8,14.8,.042,14.71,14.87,44.88,1.675,40.43,48.04,15.49,.048,15.39,15.59,13.19
2011,335,1340,7.61,40.43,5.559,16.74,-6999,442.5,4.875,433.6,450.8,468.7,4.879,460.6,475.8,14.99,.072,14.83,15.11,42.73,2.7,36.08,48.86,15.67,.098,15.5,15.85,13.18
2011,335,1350,7.27,37.94,4.926,16.81,-6999,425,5.07,415.5,433.3,452.3,4.884,443.2,460.6,14.96,.045,14.88,15.04,44.21,2.026,38.13,49.32,15.62,.07,15.51,15.78,13.18
2011,335,1400,5.424,33.16,5.966,16.86,-6999,407,5.018,398,415,434.3,5.034,425.8,443.2,14.9,.096,14.73,15.06,47.05,2.672,41.08,53.77,15.56,.103,15.38,15.78,13.18
