 year,dayofyear,hourmin,ws,wd,wd-sd,panel C,box C,LiCor,LiCor-sd,LiCor-min,LiCor-max,KZ,KZ-sd,KZ-min,KZ-max,Air C,Air C-sd,Air C-min,Air C-max,RH,RH-sd,RH-min,RH-max,A2 C,A2 C-sd,A2 C-min,A2 C-max,volts
2013,1,0,0,0,0,7.66,7.22,1.081,.033,1.052,1.118,.004,.15,-.397,.397,8.46,.159,8.22,8.86,66.27,.625,65.58,67.75,8.35,.122,8.15,8.64,12.47
2013,1,10,0,0,0,7.36,6.86,1.065,.026,1.052,1.118,-.013,.176,-.397,.463,8.13,.105,7.98,8.44,66.98,.299,66.48,67.67,8.08,.066,7.98,8.24,12.47
2013,1,20,0,0,0,7.06,6.554,1.108,.023,1.052,1.118,-.021,.114,-.331,.265,7.92,.113,7.74,8.09,68.3,.285,67.58,68.73,7.83,.1,7.68,8.01,12.47
2013,1,30,0,0,0,6.787,6.27,1.071,.052,.986,1.118,.034,.138,-.265,.464,7.81,.072,7.67,7.96,69.38,.49,68.52,70.1,7.71,.058,7.6,7.84,12.46
2013,1,40,0,0,0,6.52,6.008,1.016,.035,.986,1.118,.014,.171,-.397,.53,7.66,.061,7.51,7.78,70.6,.293,70,71,7.53,.05,7.42,7.61,12.46
2013,1,50,0,0,0,6.263,5.758,1.007,.031,.986,1.052,.001,.127,-.464,.265,7.57,.053,7.48,7.68,71.1,.22,70.8,71.6,7.48,.054,7.33,7.59,12.45
2013,1,100,0,0,0,6.052,5.598,.999,.025,.986,1.052,-.003,.167,-.331,.662,7.28,.102,7.16,7.54,71.5,.051,71.4,71.7,7.2,.067,7.09,7.39,12.45
2013,1,110,0,0,0,5.866,5.402,.984,.024,.921,1.052,-.001,.151,-.265,.331,7.18,.068,7.06,7.31,72,.237,71.5,72.3,7.07,.061,6.928,7.17,12.45
2013,1,120,0,0,0,5.677,5.204,.974,.028,.921,1.052,.017,.133,-.265,.397,7.09,.093,6.918,7.27,72.4,.145,72.1,72.7,6.941,.094,6.787,7.1,12.44
2013,1,130,0,0,0,5.47,4.988,.936,.028,.921,.987,.004,.132,-.331,.397,6.726,.159,6.483,6.964,72.4,.137,72.2,72.6,6.663,.12,6.474,6.875,12.44
2013,1,140,0,0,0,5.262,4.76,.923,.012,.921,.987,-.008,.109,-.331,.331,6.953,.179,6.714,7.24,72.5,.18,72.1,72.8,6.816,.123,6.635,7,12.43
2013,1,150,0,0,0,5.065,4.63,.932,.025,.921,.987,-.025,.15,-.331,.265,7.05,.157,6.808,7.3,72.9,.149,72.6,73.2,6.862,.132,6.671,7.08,12.43
2013,1,200,0,0,0,4.934,4.564,.943,.031,.921,.987,-.021,.132,-.331,.331,6.872,.087,6.73,7.07,73.3,.08,73.1,73.5,6.73,.093,6.61,6.959,12.42
2013,1,210,.181,210.2,2.358,4.824,4.421,.934,.026,.921,.987,.023,.137,-.397,.397,6.711,.156,6.4,6.961,73.7,.341,72.8,74.2,6.537,.102,6.409,6.75,12.42
2013,1,220,.887,207.1,9.17,4.719,4.386,1.023,.037,.921,1.052,.014,.127,-.331,.265,6.759,.161,6.42,6.936,71.5,.805,70.6,72.9,6.878,.159,6.489,7.02,12.41
2013,1,230,0,0,0,4.66,4.28,.987,.024,.921,1.052,-.029,.112,-.265,.265,6.882,.194,6.533,7.14,72.3,.668,71.1,73.8,6.78,.206,6.456,7.03,12.41
2013,1,240,.952,12.24,10.77,4.586,4.356,.987,.012,.921,1.052,-.023,.128,-.199,.397,7.49,.177,7.13,7.85,73.7,.158,73.4,74.1,7.29,.205,6.95,7.66,12.41
2013,1,250,1.287,309.1,11.53,4.626,4.608,1.004,.029,.987,1.052,.004,.117,-.265,.265,7.36,.244,7.02,7.81,73.6,.238,73.1,74,7.24,.222,6.917,7.67,12.4
2013,1,300,.915,304.3,19.52,4.733,4.751,.993,.02,.987,1.052,.01,.116,-.199,.265,7.72,.071,7.6,7.88,74.1,.145,73.8,74.4,7.57,.071,7.44,7.71,12.4
2013,1,310,.15,306.4,7.2,4.86,4.938,1.021,.037,.987,1.118,-.008,.122,-.331,.331,7.81,.136,7.62,8.07,73.8,.324,73.2,74.4,7.66,.13,7.49,7.9,12.4
2013,1,320,.456,242.2,17.54,5.029,5.245,1.091,.032,1.052,1.118,-.004,.096,-.199,.265,7.72,.286,7.27,8.07,72.9,.296,72.3,73.4,7.6,.254,7.26,8.01,12.39
2013,1,330,.071,222.5,2.275,5.23,5.362,1.093,.032,1.052,1.118,.002,.108,-.199,.265,7.46,.126,7.27,7.72,71.2,.596,70.5,72.3,7.55,.126,7.33,7.83,12.39
2013,1,340,0,0,0,5.398,5.556,1.083,.033,1.052,1.118,-.003,.108,-.265,.199,8.13,.095,7.76,8.22,72,.405,70.7,72.5,8.06,.064,7.87,8.14,12.39
2013,1,350,.473,214.5,3.579,5.576,5.725,1.071,.032,1.052,1.184,-.001,.11,-.199,.265,7.96,.176,7.55,8.19,73,.438,72.4,73.5,7.8,.214,7.33,8.03,12.39
2013,1,400,1.115,192.9,18.75,5.7,5.666,1.056,.014,1.052,1.118,-.019,.117,-.331,.397,7.48,.093,7.35,7.63,73.4,.131,73.2,73.7,7.37,.087,7.26,7.51,12.38
2013,1,410,1.048,195.1,28.04,5.708,5.526,1.047,.018,.987,1.052,-.003,.104,-.265,.199,7.45,.126,7.08,7.62,74.6,.538,73.7,75.4,7.26,.174,6.839,7.48,12.38
2013,1,420,1.152,205.1,10.89,5.643,5.434,1.031,.031,.987,1.052,.024,.113,-.265,.265,7.16,.086,6.985,7.29,76,.34,75.1,76.3,6.918,.095,6.764,7.06,12.38
2013,1,430,1.446,225.6,8.08,5.61,5.52,1.049,.014,.987,1.052,.018,.12,-.265,.265,6.778,.129,6.622,7.04,76.1,.301,75.3,76.4,6.603,.103,6.44,6.814,12.37
2013,1,440,.794,218.8,6.143,5.639,5.575,1.051,.008,.987,1.052,.002,.107,-.265,.265,6.946,.077,6.794,7.11,74.3,.549,73.5,75.3,6.96,.1,6.794,7.16,12.37
2013,1,450,.838,213.4,9.7,5.695,5.699,1.052,0,1.052,1.052,-.001,.105,-.331,.199,7.24,.068,7.1,7.36,73.3,.145,73.1,73.6,7.19,.077,6.977,7.3,12.37
2013,1,500,.848,225.4,13.1,5.77,5.79,1.052,0,1.052,1.052,.015,.104,-.265,.265,7.04,.062,6.946,7.16,73.8,.161,73.5,74.3,6.95,.063,6.871,7.1,12.36
