"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format <#COLHDR>"
" "
"Weather database request:  "
" "
"Time Period: January 1, 1951 to August 7, 2016, retrieved on August 8, 2016"
" (23961 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 72% of requested data were available from station MONTEREY.C.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation        21614         1981            0          366            0        "
"                     MONTEREY.C   CASTROVL.A   none         MONTEREY.C   "
"Air Temps, max/min   21417         2115            0          429            0        "
"                     MONTEREY.C   CASTROVL.A   none         MONTEREY.C   "
"Air Temps, observed  21518            0            0            0         2443        "
"                     MONTEREY.C   none         none         none         "
"Weather Condition     4546            0            0            0        19415        "
"                     MONTEREY.C   none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
MONTEREY.C,19510101,1800,0.000,,14.4,2.2,,,,,,,,,,,,,
MONTEREY.C,19510102,1800,0.000,,14.4,6.1,,,,,,,,,,,,,
MONTEREY.C,19510103,1800,6.853,,14.4,6.7,10.0,R,,,,,,,,,,,
MONTEREY.C,19510104,1800,0.000,,12.8,6.7,9.4,,,,,,,,,,,,
MONTEREY.C,19510105,1800,0.000,,14.4,4.4,8.9,,,,,,,,,,,,
MONTEREY.C,19510106,1800,0.000,,18.3,2.2,8.3,,,,,,,,,,,,
MONTEREY.C,19510107,1800,0.000,,13.3,5.6,10.0,,,,,,,,,,,,
MONTEREY.C,19510108,1800,0.000,,13.3,3.9,11.7,,,,,,,,,,,,
MONTEREY.C,19510109,1800,13.45,,14.4,5.6,10.0,R,,,,,,,,,,,
MONTEREY.C,19510110,1800,11.67,,12.2,7.2,10.0,R,,,,,,,,,,,
MONTEREY.C,19510111,2359,0.000,,15.6,6.7,,,,,,,,,,,,,
MONTEREY.C,19510112,1800,0.000,,13.9,3.3,7.2,,,,,,,,,,,,
MONTEREY.C,19510113,1800,0.000,,13.9,1.7,8.3,,,,,,,,,,,,
MONTEREY.C,19510114,1800,0.000,,15.0,3.9,,,,,,,,,,,,,
MONTEREY.C,19510115,1800,16.75,,15.6,3.3,8.3,R,,,,,,,,,,,
MONTEREY.C,19510116,1800,0.761,,13.9,2.2,10.6,R,,,,,,,,,,,
MONTEREY.C,19510117,1800,1.523,,15.6,8.3,13.3,R,,,,,,,,,,,
MONTEREY.C,19510118,1800,5.330,,14.4,7.8,10.0,R,,,,,,,,,,,
MONTEREY.C,19510119,1800,0.000,,12.2,5.0,7.8,,,,,,,,,,,,
MONTEREY.C,19510120,1800,0.000,,12.8,1.1,7.2,,,,,,,,,,,,
MONTEREY.C,19510121,1800,0.000,,17.2,3.9,12.8,,,,,,,,,,,,
MONTEREY.C,19510122,1800,3.807,,15.6,12.2,12.2,R,,,,,,,,,,,
MONTEREY.C,19510123,1800,0.000,,17.8,7.2,11.1,,,,,,,,,,,,
