row,species,sp,site,era,date,nest1,nest2,nest3,nest3note,dens_raw,sampleArea_m2,dens_m2
1,Littorina.keenae,LIKE,HighRock,present,6/20/14,zoneA,area1,14.67,quadrat position,16,0.25,64
2,Littorina.keenae,LIKE,HighRock,present,6/20/14,zoneA,area1,15.31,quadrat position,8,0.25,32
3,Littorina.keenae,LIKE,HighRock,present,6/20/14,zoneA,area1,16.38,quadrat position,8,0.25,32
4,Littorina.keenae,LIKE,HighRock,present,6/20/14,zoneA,area2,14.09,quadrat position,0,0.25,0
5,Littorina.keenae,LIKE,HighRock,present,6/20/14,zoneA,area2,14.75,quadrat position,0,0.25,0
6,Littorina.keenae,LIKE,HighRock,present,6/20/14,zoneA,area2,16.17,quadrat position,2,0.25,8
7,Littorina.keenae,LIKE,HighRock,present,6/20/14,zoneA,area2,13.67,quadrat position,10,0.25,40
8,Littorina.keenae,LIKE,HighRock,present,6/20/14,zoneA,area2,15.37,quadrat position,0,0.25,0
9,Littorina.keenae,LIKE,HighRock,present,6/20/14,zoneA,area2,16.57,quadrat position,6,0.25,24
10,Littorina.keenae,LIKE,HighRock,present,6/20/14,zoneA,area3,17.2,quadrat position,0,0.25,0
11,Littorina.keenae,LIKE,HighRock,present,6/23/14,zoneB,area1,6.79,quadrat position,5,0.25,20
12,Littorina.keenae,LIKE,HighRock,present,6/23/14,zoneB,area1,5.42,quadrat position,8,0.25,32
13,Littorina.keenae,LIKE,HighRock,present,6/23/14,zoneB,area1,4.97,quadrat position,2,0.25,8
14,Littorina.keenae,LIKE,HighRock,present,6/23/14,zoneB,area2,2.57,quadrat position,14,0.25,56
15,Littorina.keenae,LIKE,HighRock,present,6/23/14,zoneB,area2,3.28,quadrat position,0,0.25,0
16,Littorina.keenae,LIKE,HighRock,present,6/23/14,zoneB,area2,3.82,quadrat position,1,0.25,4
17,Littorina.keenae,LIKE,HighRock,present,6/24/14,zoneC,area1,3.28,quadrat position,47,0.25,188
18,Littorina.keenae,LIKE,HighRock,present,6/24/14,zoneC,area1,3.72,quadrat position,0,0.25,0
19,Littorina.keenae,LIKE,HighRock,present,6/24/14,zoneC,area1,4.45,quadrat position,2,0.25,8
20,Littorina.keenae,LIKE,HighRock,present,6/24/14,zoneC,area2,1.06,quadrat position,7,0.25,28
21,Littorina.keenae,LIKE,HighRock,present,6/24/14,zoneC,area2,1.92,quadrat position,0,0.25,0
22,Littorina.keenae,LIKE,HighRock,present,6/24/14,zoneC,area2,2.33,quadrat position,25,0.25,100
23,Littorina.keenae,LIKE,HighRock,present,6/24/14,zoneD,area1,NA,NA,50,2.323,21.52389152
24,Littorina.keenae,LIKE,HighRock,past,6/14/47,zoneA,area1,NA,NA,196,2.323,84.37365476
25,Littorina.keenae,LIKE,HighRock,past,6/14/47,zoneB,area1,NA,NA,239,2.323,102.8842015
26,Littorina.keenae,LIKE,HighRock,past,6/14/47,zoneC,area1,NA,NA,215,2.323,92.55273353
27,Littorina.keenae,LIKE,HighRock,past,6/14/47,zoneD,area1,NA,NA,32,2.323,13.77529057
