"","row","species","sp","site","era","date","nest1","nest2","nest3","nest3note","sampleUnit","size1mm","habitat","tideHTm","lat","long","Shaw_hab","notes","notes2","year"
"1",1,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone1",NA,NA,NA,"3x2ft_rect",8.6,NA,7.5,"36.62192N","121.90527W",NA,"","",1950
"2",2,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone1",NA,NA,NA,"3x2ft_rect",8.9,NA,7.5,"36.62192N","121.90527W",NA,"","",1950
"3",3,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone1",NA,NA,NA,"3x2ft_rect",9.2,NA,7.5,"36.62192N","121.90527W",NA,"","",1950
"4",4,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone1",NA,NA,NA,"3x2ft_rect",11,NA,7.5,"36.62192N","121.90527W",NA,"","",1950
"5",5,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone1",NA,NA,NA,"3x2ft_rect",11.3,NA,7.5,"36.62192N","121.90527W",NA,"","",1950
"6",6,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone1",NA,NA,NA,"3x2ft_rect",12.6,NA,7.5,"36.62192N","121.90527W",NA,"","",1950
"7",7,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone1",NA,NA,NA,"3x2ft_rect",12.9,NA,7.5,"36.62192N","121.90527W",NA,"","",1950
"8",8,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone1",NA,NA,NA,"3x2ft_rect",12.9,NA,7.5,"36.62192N","121.90527W",NA,"","",1950
"9",9,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone1",NA,NA,NA,"3x2ft_rect",13,NA,7.5,"36.62192N","121.90527W",NA,"","",1950
"10",10,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone1",NA,NA,NA,"3x2ft_rect",13,NA,7.5,"36.62192N","121.90527W",NA,"","",1950
"11",11,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone1",NA,NA,NA,"3x2ft_rect",13,NA,7.5,"36.62192N","121.90527W",NA,"","",1950
"12",12,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone1",NA,NA,NA,"3x2ft_rect",13,NA,7.5,"36.62192N","121.90527W",NA,"","",1950
"13",13,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone1",NA,NA,NA,"3x2ft_rect",13,NA,7.5,"36.62192N","121.90527W",NA,"","",1950
"14",14,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone1",NA,NA,NA,"3x2ft_rect",13.2,NA,7.5,"36.62192N","121.90527W",NA,"","",1950
"15",15,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone1",NA,NA,NA,"3x2ft_rect",13.5,NA,7.5,"36.62192N","121.90527W",NA,"","",1950
"16",16,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone1",NA,NA,NA,"3x2ft_rect",13.9,NA,7.5,"36.62192N","121.90527W",NA,"","",1950
"17",17,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone1",NA,NA,NA,"3x2ft_rect",14,NA,7.5,"36.62192N","121.90527W",NA,"","",1950
"18",18,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone1",NA,NA,NA,"3x2ft_rect",14.1,NA,7.5,"36.62192N","121.90527W",NA,"","",1950
"19",19,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone1",NA,NA,NA,"3x2ft_rect",14.6,NA,7.5,"36.62192N","121.90527W",NA,"","",1950
"20",20,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone1",NA,NA,NA,"3x2ft_rect",14.7,NA,7.5,"36.62192N","121.90527W",NA,"","",1950
