1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 880000002D27E121
Is Mission Active?  true
Mission Start:  Sat Aug 01 00:00:00 PDT 2015
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  2997
Total Samples:  158550
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  70 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
8/1/15 12:00:00 AM,C,22
8/1/15 12:30:00 AM,C,22
8/1/15 1:00:00 AM,C,22
8/1/15 1:30:00 AM,C,22
8/1/15 2:00:00 AM,C,22
8/1/15 2:30:00 AM,C,22
8/1/15 3:00:00 AM,C,22
8/1/15 3:30:00 AM,C,21.5
8/1/15 4:00:00 AM,C,21.5
8/1/15 4:30:00 AM,C,21.5
8/1/15 5:00:00 AM,C,21.5
8/1/15 5:30:00 AM,C,18.5
8/1/15 6:00:00 AM,C,18
8/1/15 6:30:00 AM,C,16
8/1/15 7:00:00 AM,C,16
8/1/15 7:30:00 AM,C,16.5
8/1/15 8:00:00 AM,C,15
8/1/15 8:30:00 AM,C,14.5
8/1/15 9:00:00 AM,C,14.5
8/1/15 9:30:00 AM,C,14.5
8/1/15 10:00:00 AM,C,15
8/1/15 10:30:00 AM,C,15
8/1/15 11:00:00 AM,C,15
8/1/15 11:30:00 AM,C,15
8/1/15 12:00:00 PM,C,15.5
8/1/15 12:30:00 PM,C,15.5
8/1/15 1:00:00 PM,C,15.5
8/1/15 1:30:00 PM,C,15.5
8/1/15 2:00:00 PM,C,16
8/1/15 2:30:00 PM,C,16
8/1/15 3:00:00 PM,C,16
8/1/15 3:30:00 PM,C,16
8/1/15 4:00:00 PM,C,16
8/1/15 4:30:00 PM,C,15.5
8/1/15 5:00:00 PM,C,15.5
8/1/15 5:30:00 PM,C,15
8/1/15 6:00:00 PM,C,15
8/1/15 6:30:00 PM,C,14.5
8/1/15 7:00:00 PM,C,14.5
8/1/15 7:30:00 PM,C,14.5
8/1/15 8:00:00 PM,C,14.5
8/1/15 8:30:00 PM,C,14.5
8/1/15 9:00:00 PM,C,14.5
8/1/15 9:30:00 PM,C,14.5
8/1/15 10:00:00 PM,C,14.5
8/1/15 10:30:00 PM,C,14.5
8/1/15 11:00:00 PM,C,14.5
8/1/15 11:30:00 PM,C,14.5
8/2/15 12:00:00 AM,C,14.5
8/2/15 12:30:00 AM,C,15
8/2/15 1:00:00 AM,C,15
8/2/15 1:30:00 AM,C,15
8/2/15 2:00:00 AM,C,15
8/2/15 2:30:00 AM,C,15
8/2/15 3:00:00 AM,C,15
8/2/15 3:30:00 AM,C,15
8/2/15 4:00:00 AM,C,15
8/2/15 4:30:00 AM,C,15
8/2/15 5:00:00 AM,C,15
8/2/15 5:30:00 AM,C,15
8/2/15 6:00:00 AM,C,15
8/2/15 6:30:00 AM,C,15.5
8/2/15 7:00:00 AM,C,15.5
8/2/15 7:30:00 AM,C,16
8/2/15 8:00:00 AM,C,16.5
8/2/15 8:30:00 AM,C,15
8/2/15 9:00:00 AM,C,15
8/2/15 9:30:00 AM,C,15
8/2/15 10:00:00 AM,C,15
8/2/15 10:30:00 AM,C,15
8/2/15 11:00:00 AM,C,15
8/2/15 11:30:00 AM,C,15
8/2/15 12:00:00 PM,C,15.5
8/2/15 12:30:00 PM,C,15.5
8/2/15 1:00:00 PM,C,15.5
8/2/15 1:30:00 PM,C,16
8/2/15 2:00:00 PM,C,16
8/2/15 2:30:00 PM,C,16
8/2/15 3:00:00 PM,C,16
8/2/15 3:30:00 PM,C,16.5
8/2/15 4:00:00 PM,C,16.5
8/2/15 4:30:00 PM,C,16
8/2/15 5:00:00 PM,C,16
8/2/15 5:30:00 PM,C,16
8/2/15 6:00:00 PM,C,15.5
8/2/15 6:30:00 PM,C,15.5
8/2/15 7:00:00 PM,C,15
8/2/15 7:30:00 PM,C,15
8/2/15 8:00:00 PM,C,15.5
8/2/15 8:30:00 PM,C,15.5
8/2/15 9:00:00 PM,C,15.5
8/2/15 9:30:00 PM,C,16
8/2/15 10:00:00 PM,C,16
8/2/15 10:30:00 PM,C,16
8/2/15 11:00:00 PM,C,16
8/2/15 11:30:00 PM,C,16
8/3/15 12:00:00 AM,C,16
8/3/15 12:30:00 AM,C,16
8/3/15 1:00:00 AM,C,16
8/3/15 1:30:00 AM,C,16
8/3/15 2:00:00 AM,C,16
8/3/15 2:30:00 AM,C,16
8/3/15 3:00:00 AM,C,16
8/3/15 3:30:00 AM,C,16
8/3/15 4:00:00 AM,C,16
8/3/15 4:30:00 AM,C,16
8/3/15 5:00:00 AM,C,15.5
8/3/15 5:30:00 AM,C,15.5
8/3/15 6:00:00 AM,C,15.5
8/3/15 6:30:00 AM,C,16
8/3/15 7:00:00 AM,C,16.5
8/3/15 7:30:00 AM,C,18
8/3/15 8:00:00 AM,C,19.5
8/3/15 8:30:00 AM,C,21.5
8/3/15 9:00:00 AM,C,17
8/3/15 9:30:00 AM,C,17
8/3/15 10:00:00 AM,C,17
8/3/15 10:30:00 AM,C,17
8/3/15 11:00:00 AM,C,17
8/3/15 11:30:00 AM,C,17
8/3/15 12:00:00 PM,C,17
8/3/15 12:30:00 PM,C,17.5
8/3/15 1:00:00 PM,C,17.5
8/3/15 1:30:00 PM,C,17.5
8/3/15 2:00:00 PM,C,17.5
8/3/15 2:30:00 PM,C,17.5
8/3/15 3:00:00 PM,C,18
8/3/15 3:30:00 PM,C,18
8/3/15 4:00:00 PM,C,18
8/3/15 4:30:00 PM,C,18
8/3/15 5:00:00 PM,C,18
8/3/15 5:30:00 PM,C,17.5
8/3/15 6:00:00 PM,C,17.5
8/3/15 6:30:00 PM,C,17.5
8/3/15 7:00:00 PM,C,17
8/3/15 7:30:00 PM,C,17
8/3/15 8:00:00 PM,C,17
