code,nest1,nest1note,nest2,nest2note,position,tidalHT,aspect,slope,gps,lon,lat,bagName
LIKE,A,zone,Crack,crackOrFace,A_Crack,2.7,280,0,39,-121.905141,36.621852,Amundson
LIKE,A,zone,Face,crackOrFace,A_Face,2.85,280,110,38,-121.905138,36.621845,Anthony
LIKE,B,zone,Crack,crackOrFace,B_Crack,3.6,260,10,40,-121.905125,36.621878,Porzingis
LIKE,B,zone,Face,crackOrFace,B_Face,4.2,200,135,41,-121.90512,36.621864,Oquinn
LIKE,C,zone,Crack,crackOrFace,C_Crack,5.9,40,10,43,-121.905115,36.621839,Early
LIKE,C,zone,Face,crackOrFace,C_Face,6,300,130,42,-121.905109,36.621846,Calderon
LIKE,D,zone,Crack,crackOrFace,D_Crack,6.85,290,90,44,-121.905113,36.621838,Grant
LIKE,D,zone,Face,crackOrFace,D_Face,7.55,250,130,45,-121.905087,36.621838,Galloway
LODI,1,area,Upper,upperOrLower,1_Upper,3,340,100,25,-121.905276,36.621938,Adams
LODI,1,area,Lower,upperOrLower,1_Lower,2,0,95,27,-121.905277,36.621935,Afflalo_hefty
LODI,2,area,Upper,upperOrLower,2_Upper,2.7,340,100,28,-121.905139,36.621899,Afflalo
LODI,2,area,Lower,upperOrLower,2_Lower,1.4,340,95,29,-121.905136,36.621896,Agravinis
LODI,3,area,Upper,upperOrLower,3_Upper,2.1,30,90,32,-121.90481,36.622036,Aldemir
LODI,3,area,Lower,upperOrLower,3_Lower,1.1,30,100,30,-121.904816,36.622043,Ajinca
CHFU,WaraB,site,low,lowMidHi,WaraB_low,0.62,NA,0,24,-121.905233,36.621974,Aldrich
CHFU,WaraB,site,mid,lowMidHi,WaraB_mid,1.15,NA,0,23,-121.905468,36.621988,Allen
CHFU,WaraB,site,hi,lowMidHi,WaraB_hi,1.7,NA,0,22,-121.905337,36.621911,Acy
CHFU,WaraD,site,low,lowMidHi,WaraD_low,0,NA,0,34,-121.903418,36.621565,Carcharias
CHFU,WaraD,site,mid,lowMidHi,WaraD_mid,0.3,NA,0,36,-121.903638,36.621442,Oxynotus
CHFU,WaraD,site,hi,lowMidHi,WaraD_hi,1.3,NA,0,37,-121.903869,36.621243,Lopez
CHFU,WaraD,site,low2,lowMidHi,WaraD_low2,0.1,NA,0,33,-121.903418,36.621628,BagE
CHFU,WaraD,site,mid2,lowMidHi,WaraD_mid2,0.7,220,10,35,-121.903519,36.621494,Zameus
