bagName	iButtonID
Grant	B70000002D23C821
Grant	140000002BD5F421
Adams	990000002D20B321
Adams	D60000002D34F021
Aldemir	690000002E15E321
Aldemir	D10000002BE52321
Oquinn	5C0000002CEA7E21
Oquinn	8C0000002D295921
Calderon	AC0000002BD1C921
Calderon	5A0000002E254621
Afflalo_hefty	93000000337E2B21
Afflalo_hefty	0E0000002D220D21
Oxynotus	A10000002D2AB421
Oxynotus	C00000002BFE5421
Allen	D90000002E1F0C21
Allen	FB0000002D1AA321
Agravinis	030000002E2C9421
Agravinis	FC0000002E311321
Zameus	3B0000002D044221
Zameus	NA
BagE	880000002D27E121
BagE	840000002BDC1921
Ajinca	DC00000033685A21
Ajinca	6A0000002E174721
Afflalo	350000003092E621
Afflalo	8C00000033806921
Anthony	DB0000002CFBFA21
Anthony	570000002BE1D621
Acy	950000002BDF2F21
Acy	9E00000030995221
Galloway	940000002BDC8121
Galloway	980000002C1E7221
Early	8D0000002E18AF21
Early	0900000030965921
Aldrich	9A0000002D044A21
Aldrich	760000002D1E8C21
Porzingis	180000002BDD5621
Porzingis	820000002E047621
Lopez	B80000002CFC5821
Lopez	NA
Amundson	9F00000030B57021
Amundson	7F00000030968F21
Carcharias	8F0000002D256321
Carcharias	NA
