"","lon","lat","ele","time","name","sym"
"1",-121.905337,36.621911,"0.626251","2015-08-01T13:05:32Z","022","Flag, Blue"
"2",-121.905468,36.621988,"-1.235088","2015-08-01T13:06:58Z","023","Flag, Blue"
"3",-121.905233,36.621974,"-1.626305","2015-08-01T13:15:32Z","024","Flag, Blue"
"4",-121.905276,36.621938,"0.356453","2015-08-01T13:18:02Z","025","Flag, Blue"
"5",-121.90528,36.621937,"0.211708","2015-08-01T13:18:09Z","026","Flag, Blue"
"6",-121.905277,36.621935,"0.379959","2015-08-01T13:19:08Z","027","Flag, Blue"
"7",-121.905139,36.621899,"1.325787","2015-08-01T13:27:53Z","028","Flag, Blue"
"8",-121.905136,36.621896,"1.761269","2015-08-01T13:30:21Z","029","Flag, Blue"
"9",-121.904816,36.622043,"1.190971","2015-08-01T13:37:56Z","030","Flag, Blue"
"10",-121.904814,36.622039,"2.227728","2015-08-01T13:38:03Z","031","Flag, Blue"
"11",-121.90481,36.622036,"2.289349","2015-08-01T13:38:27Z","032","Flag, Blue"
"12",-121.903418,36.621628,"1.037987","2015-08-01T14:06:02Z","033","Flag, Blue"
"13",-121.903418,36.621565,"1.127754","2015-08-01T14:17:08Z","034","Flag, Blue"
"14",-121.903519,36.621494,"1.819492","2015-08-01T14:33:39Z","035","Flag, Blue"
"15",-121.903638,36.621442,"-0.521603","2015-08-01T14:41:01Z","036","Flag, Blue"
"16",-121.903869,36.621243,"-0.352806","2015-08-01T14:43:13Z","037","Flag, Blue"
"17",-121.905138,36.621845,"0.406883","2015-08-01T14:54:19Z","038","Flag, Blue"
"18",-121.905141,36.621852,"1.271805","2015-08-01T14:54:47Z","039","Flag, Blue"
"19",-121.905125,36.621878,"4.149118","2015-08-01T15:08:23Z","040","Flag, Blue"
"20",-121.90512,36.621864,"2.404747","2015-08-01T15:08:48Z","041","Flag, Blue"
"21",-121.905109,36.621846,"2.969282","2015-08-01T15:17:46Z","042","Flag, Blue"
"22",-121.905115,36.621839,"3.287104","2015-08-01T15:18:12Z","043","Flag, Blue"
"23",-121.905113,36.621838,"4.090403","2015-08-01T15:18:49Z","044","Flag, Blue"
"24",-121.905087,36.621838,"3.023851","2015-08-01T15:23:36Z","045","Flag, Blue"
