Locality,Latitude_Frank,size_mm,N,Latitude
Bamfield,48.8,19.5,93,48.83
Mukkaw Bay,48.3,11.5,252,48.3
Cape Arago Light,43.3,22.6,449,43.34
N Sunset Bay,43.3,22,380,43.338
N Sunset Bay,43.3,21.8,224,43.338
S Sunset Bay,43.3,18.1,322,43.33
S Sunset Bay,43.3,22.1,151,43.33
Shell Island,43.3,18.4,246,43.313
Shell Island,43.3,18.5,185,43.313
N Cove Cape Arago,43.3,16.3,187,43.308
N Cove  Area 2,43.3,12.9,250,43.308
"Middle Cove, Cape Arago",43.3,17.7,389,43.304
Middle Cove,43.3,17.7,303,43.304
S Cove Cape Arago,43.3,20,930,43.302
S Cove,43.3,20.6,147,43.302
Cape Blanco,42.8,11.5,293,42.84
Humbug Mtn,42.5,18.9,361,42.68
Marshall Gulch,38.3,10.7,337,38.37
Miwok Beach,37.5,10.6,159,38.36
Coleman Beach,36.5,11.5,430,38.3655
Moss Beach,36.5,13.5,232,37.52
Pacific Grove,36.5,12.5,526,36.64
Pacific Grove,36.5,14.4,491,36.64
Pacific Grove,36.5,11,225,36.64
Carmel,36.5,9.3,632,36.54
