Latitude,size_mm,size_cat,Locality
28.12753553,4.202111614,min,a
28.15153298,10.95927602,max,a
30.29877781,5.137254902,min,b
30.30735412,14.69984917,max,b
31.1956929,5.197586727,min,c
31.20164492,11.83408748,max,c
31.51932039,6.042232278,min,d
31.52413611,11.41176471,max,d
32.09347375,6.223227753,min,e
32.11858044,14.21719457,max,e
33.08115713,7.490196078,min,f
33.10396418,12.92006033,max,f
33.25920365,6.012066365,min,g
33.2832011,12.76923077,max,g
36.38366171,9.78280543,min,h
36.38861271,15.30316742,max,h
38.19651131,11.11010558,min,i
38.22180738,19.31523379,max,i
41.10004126,8.546003017,min,j
41.10921278,18.77224736,max,j
41.47702047,8.877828054,min,k
41.50499496,20.0693816,max,k
42.05139027,9.30015083,min,l
42.05920906,18.01809955,max,l
43.18105635,8.877828054,min,m
43.2079757,18.89291101,max,m
