

"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: January 1, 1951 to November 7, 2016, retrieved on November 8, 2016"
" (24053 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 63% of requested data were available from station KINGCITY.C.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation        21491            0            0            0         2562        "
"                     KINGCITY.C   none         none         none         "
"Air Temps, max/min   20787            0            0            0         3266        "
"                     KINGCITY.C   none         none         none         "
"Air Temps, observed  17155            0            0            0         6898        "
"                     KINGCITY.C   none         none         none         "
"Weather Condition     1195            0            0            0        22858        "
"                     KINGCITY.C   none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
KINGCITY.C,19510101,1700,0.000,,13.9,-3.3,11.1,,,,,,,,,,,,
KINGCITY.C,19510102,1700,0.000,,15.6,-3.9,10.0,,,,,,,,,,,,
KINGCITY.C,19510103,1700,0.000,,16.1,5.6,12.8,,,,,,,,,,,,
KINGCITY.C,19510104,1700,0.000,,16.1,2.8,8.9,,,,,,,,,,,,
KINGCITY.C,19510105,1700,0.000,,18.9,-1.1,12.8,,,,,,,,,,,,
KINGCITY.C,19510106,1700,0.000,,20.6,-1.7,16.7,,,,,,,,,,,,
KINGCITY.C,19510107,1700,0.000,,20.6,-1.7,13.3,,,,,,,,,,,,
KINGCITY.C,19510108,1700,0.000,,15.6,1.1,11.1,F,,,,,,,,,,,
KINGCITY.C,19510109,1700,0.000,,15.6,0.0,9.4,F,,,,,,,,,,,
KINGCITY.C,19510110,1700,16.49,,16.1,3.3,10.6,R,,,,,,,,,,,
KINGCITY.C,19510111,1700,6.853,,15.6,4.4,8.3,R,,,,,,,,,,,
KINGCITY.C,19510112,1700,0.000,,13.3,3.9,8.9,,,,,,,,,,,,
KINGCITY.C,19510113,1700,0.000,,18.9,-2.2,10.0,,,,,,,,,,,,
KINGCITY.C,19510114,1700,0.000,,19.4,-1.1,16.7,,,,,,,,,,,,
KINGCITY.C,19510115,1700,1.777,,21.1,1.1,8.3,R,,,,,,,,,,,
KINGCITY.C,19510116,1700,7.107,,16.7,0.6,10.0,R,,,,,,,,,,,
KINGCITY.C,19510117,1700,0.000,,16.1,4.4,13.3,,,,,,,,,,,,
KINGCITY.C,19510118,1700,2.031,,16.1,9.4,10.6,R,,,,,,,,,,,
KINGCITY.C,19510119,1700,0.000,,15.6,3.3,10.0,,,,,,,,,,,,
KINGCITY.C,19510120,1700,0.000,,16.1,-1.1,11.7,,,,,,,,,,,,
KINGCITY.C,19510121,1700,0.000,,18.9,0.0,13.3,,,,,,,,,,,,
KINGCITY.C,19510122,1700,0.000,,21.1,5.0,15.6,,,,,,,,,,,,
KINGCITY.C,19510123,1700,0.000,,20.0,9.4,16.7,F,,,,,,,,,,,
KINGCITY.C,19510124,1700,0.000,,23.3,2.2,18.3,,,,,,,,,,,,
KINGCITY.C,19510125,1700,0.000,,23.9,3.3,18.3,,,,,,,,,,,,
KINGCITY.C,19510126,1700,0.000,,23.3,1.1,16.7,,,,,,,,,,,,
KINGCITY.C,19510127,1700,0.000,,20.6,5.6,11.1,F,,,,,,,,,,,
KINGCITY.C,19510128,1700,0.000,,18.3,5.6,13.3,F,,,,,,,,,,,
KINGCITY.C,19510129,1700,8.122,,16.1,4.4,7.2,R,,,,,,,,,,,
KINGCITY.C,19510130,1700,0.000,,12.8,-0.6,8.9,,,,,,,,,,,,
KINGCITY.C,19510131,1700,0.000,,16.1,-5.0,10.0,,,,,,,,,,,,
KINGCITY.C,19510201,1700,0.000,,19.4,-3.9,15.0,,,,,,,,,,,,
KINGCITY.C,19510202,1700,0.000,,18.9,-2.2,12.8,,,,,,,,,,,,
KINGCITY.C,19510203,1700,0.000,,23.9,-1.1,15.6,,,,,,,,,,,,
KINGCITY.C,19510204,1700,0.000,,19.4,5.0,15.6,,,,,,,,,,,,
KINGCITY.C,19510205,1700,1.015,,19.4,10.0,15.6,R,,,,,,,,,,,
KINGCITY.C,19510206,1700,0.000,,26.1,5.6,21.1,,,,,,,,,,,,
KINGCITY.C,19510207,1700,0.000,,23.3,8.3,16.1,,,,,,,,,,,,
KINGCITY.C,19510208,1700,0.000,,25.0,6.7,19.4,,,,,,,,,,,,
KINGCITY.C,19510209,1700,0.000,,27.8,6.7,21.1,F,,,,,,,,,,,
KINGCITY.C,19510210,1700,0.000,,22.2,7.2,18.3,F,,,,,,,,,,,
KINGCITY.C,19510211,1700,0.000,,23.3,10.0,13.9,,,,,,,,,,,,
KINGCITY.C,19510212,1700,0.000,,18.9,8.3,13.9,,,,,,,,,,,,
KINGCITY.C,19510213,1700,0.000,,23.3,0.0,16.7,,,,,,,,,,,,
KINGCITY.C,19510214,1700,0.000,,22.2,2.8,19.4,,,,,,,,,,,,
KINGCITY.C,19510215,1700,0.000,,19.4,0.0,14.4,,,,,,,,,,,,
KINGCITY.C,19510216,1700,0.000,,23.3,-1.7,13.9,,,,,,,,,,,,
KINGCITY.C,19510217,1700,0.000,,16.7,3.3,13.3,,,,,,,,,,,,
KINGCITY.C,19510218,1700,0.000,,16.1,0.0,10.6,,,,,,,,,,,,
KINGCITY.C,19510219,1700,0.000,,20.0,-2.8,13.3,,,,,,,,,,,,
KINGCITY.C,19510220,1700,0.000,,17.2,-2.8,13.9,,,,,,,,,,,,
KINGCITY.C,19510221,1700,0.000,,18.3,-1.1,10.0,,,,,,,,,,,,
KINGCITY.C,19510222,1700,0.000,,14.4,-3.9,8.3,,,,,,,,,,,,
KINGCITY.C,19510223,1700,12.69,,13.3,2.8,6.7,R,,,,,,,,,,,
KINGCITY.C,19510224,1700,0.000,,17.8,-0.6,14.4,,,,,,,,,,,,
KINGCITY.C,19510225,1700,0.000,,18.9,-1.7,10.6,,,,,,,,,,,,
KINGCITY.C,19510226,1700,1.015,,14.4,-2.2,5.0,R,,,,,,,,,,,
KINGCITY.C,19510227,1700,4.061,,12.8,-0.6,9.4,R,,,,,,,,,,,
KINGCITY.C,19510228,1700,3.807,,12.8,-1.7,3.3,R,,,,,,,,,,,
KINGCITY.C,19510301,1700,4.569,,11.1,0.0,5.0,R,,,,,,,,,,,
KINGCITY.C,19510302,1700,0.000,,13.3,-3.3,8.9,,,,,,,,,,,,
KINGCITY.C,19510303,1700,0.000,,16.1,-4.4,12.2,,,,,,,,,,,,
KINGCITY.C,19510304,1700,0.000,,16.1,-1.7,11.1,,,,,,,,,,,,
KINGCITY.C,19510305,1700,0.761,,16.1,3.3,11.1,R,,,,,,,,,,,
KINGCITY.C,19510306,1700,0.000,,18.9,3.9,12.8,,,,,,,,,,,,
KINGCITY.C,19510307,1700,0.000,,20.6,2.8,13.9,,,,,,,,,,,,
KINGCITY.C,19510308,1700,0.000,,18.3,0.0,12.8,,,,,,,,,,,,
KINGCITY.C,19510309,1700,0,,16.1,2.2,10.6,,,,,,,,,,,,
KINGCITY.C,19510310,1700,0.000,,19.4,-2.8,13.9,,,,,,,,,,,,
KINGCITY.C,19510311,1700,0.000,,23.9,-3.9,20.6,,,,,,,,,,,,
KINGCITY.C,19510312,1700,0.000,,26.7,-1.1,21.7,,,,,,,,,,,,
KINGCITY.C,19510313,1700,0.000,,26.7,0.0,23.3,,,,,,,,,,,,
KINGCITY.C,19510314,1700,0.000,,31.1,2.8,25.6,,,,,,,,,,,,
KINGCITY.C,19510315,1700,0.000,,25.6,2.8,16.7,,,,,,,,,,,,
KINGCITY.C,19510316,1700,0.000,,20.6,6.7,13.3,,,,,,,,,,,,
KINGCITY.C,19510317,1700,0.000,,23.9,-1.1,20.6,,,,,,,,,,,,
KINGCITY.C,19510318,1700,0.000,,27.8,0.0,22.8,,,,,,,,,,,,
KINGCITY.C,19510319,1700,0.000,,27.8,-0.6,20.0,,,,,,,,,,,,
KINGCITY.C,19510320,1700,0.000,,27.8,4.4,12.2,,,,,,,,,,,,
KINGCITY.C,19510321,1700,0.000,,22.2,-0.6,10.0,,,,,,,,,,,,
KINGCITY.C,19510322,1700,0.000,,24.4,-0.6,19.4,,,,,,,,,,,,
KINGCITY.C,19510323,1700,0.000,,27.8,1.1,23.9,,,,,,,,,,,,
KINGCITY.C,19510324,1700,0.000,,30.6,1.7,23.9,,,,,,,,,,,,
KINGCITY.C,19510325,1700,0.000,,26.7,2.8,18.3,,,,,,,,,,,,
KINGCITY.C,19510326,1700,0.000,,23.3,7.8,17.2,,,,,,,,,,,,
KINGCITY.C,19510327,1700,0.000,,26.7,0.0,21.1,,,,,,,,,,,,
KINGCITY.C,19510328,1700,0.000,,28.3,1.7,21.1,,,,,,,,,,,,
KINGCITY.C,19510329,1700,0.000,,22.2,10.0,14.4,,,,,,,,,,,,
KINGCITY.C,19510330,1700,0.000,,18.9,2.2,11.7,,,,,,,,,,,,
KINGCITY.C,19510331,1700,0.000,,22.8,-2.2,15.0,,,,,,,,,,,,
KINGCITY.C,19510401,1700,0.000,,24.4,-2.2,17.8,,,,,,,,,,,,
KINGCITY.C,19510402,1700,0.000,,24.4,2.2,15.6,,,,,,,,,,,,
KINGCITY.C,19510403,1700,0.000,,20.0,5.0,14.4,,,,,,,,,,,,
KINGCITY.C,19510404,1700,0.000,,20.6,8.3,13.9,,,,,,,,,,,,
KINGCITY.C,19510405,1700,0.000,,18.9,3.9,14.4,,,,,,,,,,,,
KINGCITY.C,19510406,1700,0.000,,20.0,8.9,12.2,,,,,,,,,,,,
KINGCITY.C,19510407,1700,0.000,,20.6,8.3,15.6,,,,,,,,,,,,
KINGCITY.C,19510408,1700,0.000,,29.4,5.6,21.1,,,,,,,,,,,,
KINGCITY.C,19510409,1700,0.000,,31.1,3.3,23.3,,,,,,,,,,,,
KINGCITY.C,19510410,1700,0.000,,26.7,5.6,16.7,,,,,,,,,,,,
KINGCITY.C,19510411,1700,0.000,,23.3,8.9,18.3,,,,,,,,,,,,
KINGCITY.C,19510412,1700,0.000,,24.4,8.3,18.9,,,,,,,,,,,,
KINGCITY.C,19510413,1700,0.000,,23.3,8.3,18.3,,,,,,,,,,,,
KINGCITY.C,19510414,1700,0.000,,22.8,7.8,17.2,,,,,,,,,,,,
KINGCITY.C,19510415,1700,0.000,,18.3,7.8,13.3,,,,,,,,,,,,
KINGCITY.C,19510416,1700,0.000,,23.3,8.3,16.1,,,,,,,,,,,,
KINGCITY.C,19510417,1700,0.000,,23.3,6.7,16.1,,,,,,,,,,,,
KINGCITY.C,19510418,1700,0.000,,23.3,1.7,15.0,,,,,,,,,,,,
KINGCITY.C,19510419,1700,0,,20.6,9.4,15.0,,,,,,,,,,,,
KINGCITY.C,19510420,1700,0.000,,23.3,5.0,15.6,,,,,,,,,,,,
KINGCITY.C,19510421,1700,0.000,,23.3,3.9,14.4,,,,,,,,,,,,
KINGCITY.C,19510422,1700,0.000,,25.0,3.3,15.6,,,,,,,,,,,,
KINGCITY.C,19510423,1700,0.000,,23.3,7.8,15.0,,,,,,,,,,,,
KINGCITY.C,19510424,1700,0.000,,18.9,8.9,12.2,,,,,,,,,,,,
KINGCITY.C,19510425,1700,4.822,,20.0,7.2,12.8,R,,,,,,,,,,,
KINGCITY.C,19510426,1700,0.000,,20.0,7.2,14.4,,,,,,,,,,,,
KINGCITY.C,19510427,1700,0.000,,25.0,2.2,17.2,,,,,,,,,,,,
KINGCITY.C,19510428,1700,8.122,,20.6,8.3,11.1,R,,,,,,,,,,,
KINGCITY.C,19510429,1700,0.000,,16.1,5.0,14.4,,,,,,,,,,,,
KINGCITY.C,19510430,1700,0.000,,,,15.6,,,,,,,,,,,,
KINGCITY.C,19510501,,0.000,,,,,,,,,,,,,,,,
KINGCITY.C,19510502,1700,0.000,,23.9,5.6,16.7,,,,,,,,,,,,
KINGCITY.C,19510503,1700,0,,17.8,11.7,13.3,,,,,,,,,,,,
KINGCITY.C,19510504,1700,7.614,,21.7,9.4,21.1,R,,,,,,,,,,,
KINGCITY.C,19510505,1700,0,,21.1,9.4,16.1,,,,,,,,,,,,
KINGCITY.C,19510506,1700,0.000,,21.1,6.7,20.0,,,,,,,,,,,,
KINGCITY.C,19510507,1700,0.000,,23.9,4.4,20.0,,,,,,,,,,,,
KINGCITY.C,19510508,1700,0.000,,25.0,8.3,22.2,,,,,,,,,,,,
KINGCITY.C,19510509,1700,0.000,,28.3,6.1,25.0,,,,,,,,,,,,
KINGCITY.C,19510510,1700,0.000,,27.2,6.1,20.0,,,,,,,,,,,,
KINGCITY.C,19510511,1700,0.000,,20.6,11.1,17.2,,,,,,,,,,,,
KINGCITY.C,19510512,1700,0.000,,18.9,8.3,17.8,,,,,,,,,,,,
KINGCITY.C,19510513,,0.000,,,,,,,,,,,,,,,,
KINGCITY.C,19510514,,0.000,,,,,,,,,,,,,,,,
KINGCITY.C,19510515,1700,0.000,,25.6,4.4,21.1,,,,,,,,,,,,
KINGCITY.C,19510516,1700,0.000,,26.7,10.0,24.4,,,,,,,,,,,,
KINGCITY.C,19510517,1700,0.000,,26.7,10.0,23.9,,,,,,,,,,,,
KINGCITY.C,19510518,1700,0.000,,25.0,11.1,20.0,,,,,,,,,,,,
KINGCITY.C,19510519,1700,0.000,,27.2,9.4,21.7,,,,,,,,,,,,
KINGCITY.C,19510520,1700,0.000,,22.2,9.4,19.4,,,,,,,,,,,,
KINGCITY.C,19510521,1700,0.000,,22.2,10.0,20.0,,,,,,,,,,,,
KINGCITY.C,19510522,1700,0.000,,25.6,11.1,20.0,,,,,,,,,,,,
KINGCITY.C,19510523,1700,0.000,,23.9,11.7,22.2,,,,,,,,,,,,
