

"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: January 1, 1951 to November 7, 2016, retrieved on November 8, 2016"
" (24053 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 64% of requested data were available from station SALINAS.C.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation        20333            0            0            0         3720        "
"                     SALINAS.C    none         none         none         "
"Air Temps, max/min   19621            0            0            0         4432        "
"                     SALINAS.C    none         none         none         "
"Weather Condition     6167            0            0            0        17886        "
"                     SALINAS.C    none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
SALINAS.C,19510101,2359,0.000,,15.0,0.6,,,,,,,,,,,,,
SALINAS.C,19510102,2359,0.000,,15.6,0.6,,,,,,,,,,,,,
SALINAS.C,19510103,2359,3.300,,14.4,7.8,,R,,,,,,,,,,,
SALINAS.C,19510104,2359,0,,13.9,4.4,,F,,,,,,,,,,,
SALINAS.C,19510105,2359,0.000,,17.8,1.7,,,,,,,,,,,,,
SALINAS.C,19510106,2359,0.000,,18.3,4.4,,,,,,,,,,,,,
SALINAS.C,19510107,2359,0.000,,16.1,2.2,,,,,,,,,,,,,
SALINAS.C,19510108,2359,0,,14.4,3.9,,F,,,,,,,,,,,
SALINAS.C,19510109,2359,0.000,,11.7,2.2,,F,,,,,,,,,,,
SALINAS.C,19510110,2359,7.360,,13.9,6.1,,R,,,,,,,,,,,
SALINAS.C,19510111,2359,8.376,,12.8,7.2,,R,,,,,,,,,,,
SALINAS.C,19510112,2359,0.000,,15.0,2.2,,,,,,,,,,,,,
SALINAS.C,19510113,2359,0.000,,16.7,1.1,,F,,,,,,,,,,,
SALINAS.C,19510114,2359,0.000,,17.2,1.1,,,,,,,,,,,,,
SALINAS.C,19510115,2359,8.629,,13.3,2.8,,R,,,,,,,,,,,
SALINAS.C,19510116,2359,0.000,,13.9,1.1,,,,,,,,,,,,,
SALINAS.C,19510117,2359,0,,14.4,7.2,,,,,,,,,,,,,
SALINAS.C,19510118,2359,1.015,,16.1,7.8,,R,,,,,,,,,,,
SALINAS.C,19510119,2359,2.284,,13.9,3.9,,R,,,,,,,,,,,
SALINAS.C,19510120,2359,0.000,,13.9,1.7,,,,,,,,,,,,,
SALINAS.C,19510121,2359,0.000,,17.2,3.9,,,,,,,,,,,,,
SALINAS.C,19510122,2359,1.015,,17.2,8.9,,R,,,,,,,,,,,
SALINAS.C,19510123,2359,0.000,,20.6,7.2,,F,,,,,,,,,,,
