

"University of California Statewide Integrated Pest Management Program"
"How to Manage Pests: California Weather Data"
"Retrieve data in comma delimited data file format"
" "
"Weather database request:  "
" "
"Time Period: January 1, 1951 to November 7, 2016, retrieved on November 8, 2016"
" (24053 days)"
" "
"To save this text, you can:"
"Select SAVE AS and TEXT from the top menu of your browser, or"
"copy and paste the data to a new document in a word processor"
"and save it as text."
" "
"Note: Only 69% of requested data were available from station WTSNVILE.C.    See Retrieval Table."
" "
"                     Retrieval Table"
"                     Stations used to fill in missing data"
" "
"                     Data Values  Data Values  Data Values  Data Values  Data Values"
"                        from         from         from         from        Missing"
"Variable             Station      Backup 1     Backup 2     Averages"
"Precipitation        21639            0            0            0         2414        "
"                     WTSNVILE.C   none         none         none         "
"Air Temps, max/min   21194            0            0            0         2859        "
"                     WTSNVILE.C   none         none         none         "
"Air Temps, observed  21238            0            0            0         2815        "
"                     WTSNVILE.C   none         none         none         "
"Weather Condition     2251            0            0            0        21802        "
"                     WTSNVILE.C   none         none         none         "
" "
"Variable   Description                   Units"
"   1       Database name                 "
"   2       Date: year,month,day          yyyymmdd"
"   3       Observation time              hhmm"
"   4       Precipitation, amount         Millimeters"
"   5       Precipitation, type           (coded)"
"   6       Air temperature, maximum      Celsius"
"   7       Air temperature, minimum      Celsius"
"   8       Air temperature, observed     Celsius"
"   9       Weather conditions            (coded)"
"  10       Wind, direction               N,NE,E,SE,S,SW,W,NW, 0=calm"
"  11       Wind, speed                   Meters per second"
"  12       Bulb temperature, wet         Celsius"
"  13       Bulb temperature, dry         Celsius"
"  14       Soil temperature, maximum     Celsius"
"  15       Soil temperature, minimum     Celsius"
"  16       Pan evaporation               Millimeters"
"  17       Solar radiation               Watts per sq. meters"
"  18       Reference evapotranspiration  Millimeters"
"  19       Relative humidity, minimum    Percent"
"  20       Relative humidity, maximum    Percent"
" "
"Station","Date","Time","Precip","type","Air max","min","obs","Wx","Wind dir","speed","Bulb wet","dry","Soil max","min","Evap","Solar","ETo","RH max","min"
WTSNVILE.C,19510101,800,0.000,,13.9,1.1,2.2,,,,,,,,,,,,
WTSNVILE.C,19510102,800,0.000,,13.3,-0.6,0.0,,,,,,,,,,,,
WTSNVILE.C,19510103,800,4.061,,12.8,0.0,10.0,R,,,,,,,,,,,
WTSNVILE.C,19510104,800,1.015,,15.6,8.3,8.9,R,,,,,,,,,,,
WTSNVILE.C,19510105,800,0.000,,16.7,2.2,4.4,,,,,,,,,,,,
WTSNVILE.C,19510106,800,0.000,,,,5.0,,,,,,,,,,,,
WTSNVILE.C,19510107,,0.000,,,,,,,,,,,,,,,,
WTSNVILE.C,19510108,800,0.000,,13.9,1.7,5.6,,,,,,,,,,,,
WTSNVILE.C,19510109,800,0.000,,13.3,2.8,3.3,,,,,,,,,,,,
WTSNVILE.C,19510110,800,8.122,,13.9,3.3,8.3,R,,,,,,,,,,,
WTSNVILE.C,19510111,800,22.84,,21.1,7.8,8.3,R,,,,,,,,,,,
WTSNVILE.C,19510112,800,7.360,,15.0,2.8,3.9,R,,,,,,,,,,,
WTSNVILE.C,19510113,800,0.000,,,,0.6,,,,,,,,,,,,
WTSNVILE.C,19510114,,0.000,,,,,,,,,,,,,,,,
WTSNVILE.C,19510115,800,0.000,,11.7,0.6,7.2,,,,,,,,,,,,
WTSNVILE.C,19510116,800,7.614,,12.8,0.6,1.7,R,,,,,,,,,,,
WTSNVILE.C,19510117,800,2.792,,14.4,1.7,8.3,R,,,,,,,,,,,
WTSNVILE.C,19510118,800,3.046,,13.9,7.8,11.7,R,,,,,,,,,,,
WTSNVILE.C,19510119,800,6.599,,12.8,3.9,5.6,R,,,,,,,,,,,
WTSNVILE.C,19510120,800,0.000,,13.9,1.1,2.2,,,,,,,,,,,,
WTSNVILE.C,19510121,800,0.000,,14.4,2.2,5.6,,,,,,,,,,,,
WTSNVILE.C,19510122,800,3.807,,15.0,5.6,11.7,R,,,,,,,,,,,
WTSNVILE.C,19510123,800,0.254,,20.0,7.2,7.8,R,,,,,,,,,,,
WTSNVILE.C,19510124,800,0.000,,18.9,6.1,8.3,,,,,,,,,,,,
WTSNVILE.C,19510125,800,0.000,,18.3,6.1,8.9,,,,,,,,,,,,
WTSNVILE.C,19510126,800,0.000,,16.7,4.4,5.0,,,,,,,,,,,,
WTSNVILE.C,19510127,800,0.000,,10.6,4.4,7.2,,,,,,,,,,,,
WTSNVILE.C,19510128,800,0.000,,15.0,5.0,8.3,,,,,,,,,,,,
WTSNVILE.C,19510129,800,3.553,,10.6,6.7,7.2,R,,,,,,,,,,,
WTSNVILE.C,19510130,800,0,,10.6,1.7,3.9,,,,,,,,,,,,
WTSNVILE.C,19510131,800,0.000,,12.8,-2.8,0.0,,,,,,,,,,,,
WTSNVILE.C,19510201,800,0.000,,15.6,-0.6,1.7,,,,,,,,,,,,
WTSNVILE.C,19510202,800,0.000,,16.7,1.7,3.3,,,,,,,,,,,,
WTSNVILE.C,19510203,800,0.000,,,,5.6,,,,,,,,,,,,
WTSNVILE.C,19510204,,0.000,,,,,,,,,,,,,,,,
WTSNVILE.C,19510205,800,27.15,,16.1,5.6,12.8,R,,,,,,,,,,,
WTSNVILE.C,19510206,800,0.000,,21.7,7.2,8.9,,,,,,,,,,,,
WTSNVILE.C,19510207,800,0.000,,18.9,8.9,10.6,,,,,,,,,,,,
WTSNVILE.C,19510208,800,0.000,,21.7,8.9,10.0,,,,,,,,,,,,
WTSNVILE.C,19510209,800,0.000,,22.2,8.3,8.3,,,,,,,,,,,,
WTSNVILE.C,19510210,800,0.000,,17.2,8.3,10.0,,,,,,,,,,,,
WTSNVILE.C,19510211,800,2.284,,19.4,10.0,12.2,R,,,,,,,,,,,
WTSNVILE.C,19510212,800,5.584,,17.2,6.1,8.3,R,,,,,,,,,,,
WTSNVILE.C,19510213,800,0.000,,20.0,4.4,7.2,,,,,,,,,,,,
WTSNVILE.C,19510214,800,0.000,,18.3,6.1,7.2,,,,,,,,,,,,
WTSNVILE.C,19510215,800,0.000,,17.2,6.1,8.9,,,,,,,,,,,,
WTSNVILE.C,19510216,800,0.000,,18.3,2.8,5.6,,,,,,,,,,,,
WTSNVILE.C,19510217,800,0.000,,,,7.8,,,,,,,,,,,,
WTSNVILE.C,19510218,,1.015,,,,,R,,,,,,,,,,,
WTSNVILE.C,19510219,800,0.000,,15.0,1.1,3.3,,,,,,,,,,,,
WTSNVILE.C,19510220,800,0.000,,13.9,0.6,3.3,,,,,,,,,,,,
WTSNVILE.C,19510221,800,3.046,,12.2,3.3,5.6,R,,,,,,,,,,,
WTSNVILE.C,19510222,800,0.508,,12.8,0.6,5.6,R,,,,,,,,,,,
WTSNVILE.C,19510223,800,0,,11.7,1.7,6.7,,,,,,,,,,,,
WTSNVILE.C,19510224,800,0.508,,,,5.0,R,,,,,,,,,,,
WTSNVILE.C,19510225,,0.000,,,,,,,,,,,,,,,,
WTSNVILE.C,19510226,800,3.553,,6.1,1.7,4.4,R,,,,,,,,,,,
WTSNVILE.C,19510227,800,19.28,,12.8,1.1,3.9,R,,,,,,,,,,,
WTSNVILE.C,19510228,800,0,,8.3,2.2,4.4,,,,,,,,,,,,
