"","spp","1931","1993","1996","1999","2002","2005","2009","2011","2014","2015","2016","2017"
"1","Lacuna marmorata",0,105,53,17,8,4,58,95,42,21,0,0
"2","Homalopoma luridum",0,138,3,13,0,1,0,1,3,3,1,1
"3","Tectura paleacea",0,15,17,0,0,0,8,0,0,0,0,0
"4","Lottia asmi",0,6,34,33,52,23,6,16,21,19,52,213
"5","Littorina scutulata/plena",1,11,2,9,8,0,0,0,0,0,3,0
"6","Epitonium tinctum",0,4,3,0,0,0,0,0,0,0,1,2
"7","Erato vitellina",0,2,6,0,0,1,0,0,0,0,2,0
"8","Fissurellidea bimaculata",0,0,0,0,0,0,0,0,1,0,0,0
"9","Amphissa versicolor",206,73,26,10,4,6,2,3,8,5,8,4
"10","Littorina keenae",0,4,0,0,0,0,0,0,0,0,0,0
"11","Lottia paradigitalis",0,11,34,48,0,4,17,0,0,0,0,136
"12","Stylidium eschrichtii",0,92,106,4,4,1,3,1,6,0,0,1
"13","Acanthinucella punctulata",0,18,3,2,8,0,3,6,2,6,1,1
"14","Antisabia panamensis",0,0,0,0,0,0,0,0,0,1,0,0
"15","Calliostoma ligatum",11,19,36,50,23,34,13,10,15,15,15,15
"16","Crepidula adunca",256,528,356,649,514,190,327,536,535,370,183,676
"17","Nassarius mendicus",0,1,0,0,0,0,0,0,0,0,0,0
"18","Ocinebrina circumtexta",0,26,19,9,12,7,8,23,7,7,10,15
"19","Hesperaptyxis luteopictus",0,2,3,3,1,0,0,0,10,1,0,0
"20","Amphissa columbiana",0,2,0,0,0,0,0,0,0,0,0,0
"21","Lottia digitalis",0,2,5,2,0,0,0,0,0,0,0,0
"22","Lottia ochracea",0,0,0,0,0,0,0,0,0,0,4,4
"23","Promartynia pulligo",0,23,0,0,0,0,0,0,0,0,1,0
"24","Pseudomelatoma torosa",0,2,30,4,3,3,3,5,3,1,0,0
"25","Tegula brunnea",3,598,792,309,306,161,73,122,127,93,243,126
"26","Tegula funebralis",1071,3289,3551,3395,3362,2291,1627,1733,3671,3727,5624,6583
"27","Acmaea mitra",14,1,5,5,0,3,0,0,0,0,3,2
"28","Fissurella volcano",17,46,30,12,5,10,4,13,8,13,17,5
"29","Lottia pelta",26,16,11,2,1,1,0,0,6,0,21,3
"30","Ocinebrina lurida",4,0,0,0,0,0,0,0,0,0,0,1
"31","Lottia limatula",124,22,46,19,10,4,5,1,4,6,44,99
"32","Tegula montereyi",0,1,0,0,0,0,0,0,0,0,0,0
"33","Lottia scutum",752,7,1,3,2,2,6,5,5,3,0,1
"34","Ceratostoma foliatum",0,2,1,1,0,0,0,0,0,1,1,2
"35","Haliotis cracherodii",0,1,0,0,0,0,0,0,0,0,0,0
