"","Modnames","K","AIC","Delta_AIC","ModelLik","AICWt","LL","Cum.Wt"
"3","Era x Density",8,637.5,0,1,0.832,-310.75,0.832
"10","All 2-way intx",12,641.49,3.99,0.136,0.113,-308.745,0.945
"5","Era x Species x Density",14,643.264,5.764,0.056,0.047,-307.632,0.991
"1","Era + Species + Density",7,647.224,9.725,0.008,0.006,-316.612,0.998
"4","Species x Density",9,650.168,12.668,0.002,0.001,-316.084,0.999
"2","Era x Species",9,651.126,13.626,0.001,0.001,-316.563,1
"6","Era",4,681.367,43.867,0,0,-336.684,1
"7","Species",5,700.58,63.08,0,0,-345.29,1
"8","Density",4,710.167,72.667,0,0,-351.084,1
"9","Null",3,714.087,76.587,0,0,-354.044,1
