"","lon","lat","ele","name","date"
"1",-121.905971,36.621603,"8.736528","004",2014-06-28
"2",-121.905699,36.621844,NA,"005",2014-07-12
"3",-121.903636,36.621364,"-1.534836","006",2014-07-14
"4",-121.903643,36.621363,"-1.909451","007",2014-07-14
"5",-121.904795,36.622023,"0.259830","011",2015-07-18
"6",-121.903551,36.619109,NA,"012",2015-07-30
"7",-121.90546,36.621974,NA,"013",2015-07-30
"8",-121.905356,36.6219,NA,"014",2015-07-30
"9",-121.905279,36.621937,NA,"015",2015-07-30
"10",-121.905159,36.621856,NA,"016",2015-07-30
"11",-121.905239,36.621969,"0.778522","017",2015-07-31
"12",-121.904806,36.622019,"-0.559971","018",2015-07-31
"13",-121.90345,36.621547,"0.205402","019",2015-07-31
"14",-121.903663,36.62145,"1.404671","020",2015-07-31
"15",-121.903893,36.621245,"1.437752","021",2015-07-31
"16",-121.905337,36.621911,"0.626251","022",2015-08-01
"17",-121.905468,36.621988,"-1.235088","023",2015-08-01
"18",-121.905233,36.621974,"-1.626305","024",2015-08-01
"19",-121.905276,36.621938,"0.356453","025",2015-08-01
"20",-121.90528,36.621937,"0.211708","026",2015-08-01
"21",-121.905277,36.621935,"0.379959","027",2015-08-01
"22",-121.905139,36.621899,"1.325787","028",2015-08-01
"23",-121.905136,36.621896,"1.761269","029",2015-08-01
"24",-121.904816,36.622043,"1.190971","030",2015-08-01
"25",-121.904814,36.622039,"2.227728","031",2015-08-01
"26",-121.90481,36.622036,"2.289349","032",2015-08-01
"27",-121.903418,36.621628,"1.037987","033",2015-08-01
"28",-121.903418,36.621565,"1.127754","034",2015-08-01
"29",-121.903519,36.621494,"1.819492","035",2015-08-01
"30",-121.903638,36.621442,"-0.521603","036",2015-08-01
"31",-121.903869,36.621243,"-0.352806","037",2015-08-01
"32",-121.905138,36.621845,"0.406883","038",2015-08-01
"33",-121.905141,36.621852,"1.271805","039",2015-08-01
"34",-121.905125,36.621878,"4.149118","040",2015-08-01
"35",-121.90512,36.621864,"2.404747","041",2015-08-01
"36",-121.905109,36.621846,"2.969282","042",2015-08-01
"37",-121.905115,36.621839,"3.287104","043",2015-08-01
"38",-121.905113,36.621838,"4.090403","044",2015-08-01
"39",-121.905087,36.621838,"3.023851","045",2015-08-01
"40",-121.905195,36.621867,"-1.230362","046",2019-04-11
"41",-121.903435,36.621085,"-0.369064","047",2019-04-11
"42",-121.903437,36.621086,NA,"048",2019-06-18
"43",-121.903499,36.621489,NA,"049",2019-06-18
"44",-121.903503,36.621488,NA,"050",2019-06-18
"45",-121.903356,36.621324,NA,"051",2019-06-18
"46",-121.903163,36.621259,NA,"052",2019-06-18
"47",-121.903229,36.621129,NA,"053",2019-06-18
"48",-121.903225,36.621089,NA,"054",2019-06-18
"49",-121.903076,36.621272,"-1.426407","055",2019-06-19
"50",-121.903074,36.621277,"-1.036865","056",2019-06-19
"51",-121.903075,36.621277,"-1.001949","057",2019-06-19
"52",-121.903527,36.6213,"-0.946751","058",2019-06-19
"53",-121.903531,36.621297,"-0.897179","059",2019-06-19
"54",-121.903567,36.621286,"0.244045","060",2019-06-19
"55",-121.903587,36.62132,"-1.776989","061",2019-06-19
"56",-121.903586,36.62132,"-1.788040","062",2019-06-19
"57",-121.903571,36.621348,"-3.006989","063",2019-06-19
"58",-121.903576,36.621239,"0.116707","064",2019-06-19
"59",-121.903202,36.621046,"-1.385498","065",2019-06-20
"60",-121.90403,36.620696,NA,"066",2019-07-02
"61",-121.920499,36.634527,NA,"068",2019-07-03
"62",-121.897984,36.61701,"-13.304638","071",2019-07-22
"63",-121.897966,36.616917,"-13.095940","072",2019-07-22
"64",-121.897901,36.616874,"-13.631714","073",2019-07-22
"65",-121.929135,36.639853,"-13.045727","074",2019-07-23
"66",-121.904181,36.623239,"-3.725925","190 M BUOY",2014-06-26
"67",-94.799017,38.85555,NA,"317 WATSON ST",2014-03-20
"68",-121.90546,36.62198,NA,"A14",2015-07-30
"69",-121.905153,36.620569,NA,"AREA A",2015-07-15
"70",-121.905273,36.621919,"6.144239","AREA A2",2015-07-17
"71",-121.90514,36.621882,"4.939323","AREA B",2015-07-17
"72",-121.904816,36.622099,"19.385443","AREA C",2015-07-18
"73",-121.905468,36.621666,"32.400196","B2T1",2014-07-16
"74",-121.8995,36.62275,NA,"DEEP REEF N",2019-07-10
"75",-121.89973,36.62215,NA,"DEEP REEF S",2019-07-10
"76",-121.901784,36.622846,NA,"DFG SITE",2019-07-17
"77",-121.903414,36.621899,"4.169521","HEW END",2016-05-25
"78",-121.903435,36.61901,NA,"HEW START",2016-02-16
"79",-121.903984,36.621386,"3.966583","HEW0",2014-07-02
"80",-121.903908,36.621497,"5.244644","HEW1",2014-07-02
"81",-121.903592,36.621025,"6.642239","HEW10",2014-07-02
"82",-121.903745,36.621158,"8.853283","HEW11",2014-07-02
"83",-121.903773,36.621185,"8.214443","HEW12",2014-07-02
"84",-121.903928,36.621241,"7.916376","HEW13",2014-07-02
"85",-121.904047,36.621666,"2.962013","HEW14",2014-07-02
"86",-121.903939,36.621506,"4.990768","HEW2",2014-07-02
"87",-121.90363,36.621732,"0.038208","HEW211",2016-05-25
"88",-121.903976,36.621547,"6.290396","HEW3",2014-07-02
"89",-121.903985,36.621649,"3.666954","HEW4",2014-07-02
"90",-121.903987,36.621645,"3.734226","HEW5",2014-07-02
"91",-121.904038,36.621669,"2.207575","HEW6",2014-07-02
"92",-121.903999,36.621682,"1.285126","HEW7",2014-07-02
"93",-121.90397,36.620778,"17.957050","HEW8",2014-07-02
"94",-121.903512,36.620904,"4.484276","HEW9",2014-07-02
"95",-121.903888,36.621486,"0.024319","HEW93",2016-05-25
"96",-121.904202,36.623224,NA,"HEWATT",2014-06-27
"97",-121.905156,36.621827,"-3.369602","HIGH ROCK",2014-07-13
"98",-121.90283,36.62258,"11.306000","MLO BIRD ROCK",2019-07-17
"99",-121.92048,36.63472,"21.982132","OTTER POINT JW",2019-07-12
"100",-121.920631,36.63454,NA,"OTTER PT",2019-07-02
"101",-121.923717,36.63694,"-10.251587","POINT PINOS RE",2019-07-18
"102",-121.92362,36.63687,"28.437456","PT PINOS JW",2019-07-18
"103",-121.87977,36.60885,"0.618977","SHALE BEDS",2019-07-03
"104",-121.879473,36.608831,"-1.302868","SHALE BEDS 190703",2019-07-03
"105",-121.904202,36.623224,NA,"SHAW",2014-06-27
"106",-121.905767,36.621859,NA,"SHAW1",2014-07-12
"107",-121.905434,36.622022,NA,"SHAW10",2014-07-12
"108",-121.905625,36.621921,NA,"SHAW11",2014-07-12
"109",-121.905805,36.621855,NA,"SHAW2",2014-07-12
"110",-121.905857,36.621771,NA,"SHAW3",2014-07-12
"111",-121.905906,36.621655,NA,"SHAW4",2014-07-12
"112",-121.905929,36.62167,NA,"SHAW5",2014-07-12
"113",-121.905853,36.621757,NA,"SHAW6",2014-07-12
"114",-121.905781,36.621853,NA,"SHAW7",2014-07-12
"115",-121.900401,36.616046,NA,"SHAW8",2014-07-12
"116",-121.905473,36.621966,NA,"SHAW9",2014-07-12
"117",-121.905418,36.621897,"6.707001","WARA B2T1",2014-07-16
"118",-121.903738,36.621382,"3.109177","WARA L1",2014-07-16
"119",-121.903877,36.62129,"1.779259","WARA L2",2014-07-16
"120",-121.903785,36.621362,"2.811863","WARA R20",2014-07-16
"121",-121.903894,36.621236,"2.409691","WARA R21",2014-07-16
"122",-121.903538,36.621466,"-0.215351","WARA10w",2014-07-15
"123",-121.905315,36.62201,"1.067959","WARA1r",2014-07-13
"124",-121.905162,36.621935,"19.981775","WARA1w",2014-07-13
"125",-121.905394,36.621988,"2.851532","WARA2r",2014-07-13
"126",-121.905274,36.621963,"1.405109","WARA2w",2014-07-13
"127",-121.905463,36.622011,"3.060322","WARA3r",2014-07-13
