"","species","sp","site","nest1","long","lat"
"1","Littorina.keenae","LIKE","HighRock","zoneA","121.90516W","36.62183N"
"2","Littorina.keenae","LIKE","HighRock","zoneB","121.90516W","36.62183N"
"3","Littorina.keenae","LIKE","HighRock","zoneC","121.90516W","36.62183N"
"4","Littorina.keenae","LIKE","HighRock","zoneD","121.90516W","36.62183N"
"5","Lottia.scabra","LOSC","CabrilloProtected","hewatt","121.90398W","36.63139N"
"6","Lottia.scabra","LOSC","CabrilloProtected","tran1","121.90391W","36.62150N"
"7","Lottia.scabra","LOSC","CabrilloProtected","tran2","121.90394W","36.62151N"
"8","Lottia.scabra","LOSC","CabrilloProtected","tran3","121.90398W","36.62155N"
"9","Lottia.scabra","LOSC","CabrilloProtected","tran4","121.90398W","36.63165N"
"10","Lottia.scabra","LOSC","CabrilloProtected","tran5","121.90398W","36.62164N"
"11","Lottia.scabra","LOSC","CabrilloProtected","tran6","121.90404W","36.62167N"
"12","Lottia.scabra","LOSC","CabrilloProtected","tran7","121.90400W","36.62168N"
"13","Lottia.scabra","LOSC","CabrilloProtected","tran8","121.90397W","36.62078N"
"14","Lottia.scabra","LOSC","CabrilloProtected","tran9","121.90351W","36.62090N"
"15","Lottia.scabra","LOSC","CabrilloProtected","tran10","121.90359W","36.62103N"
"16","Lottia.scabra","LOSC","CabrilloProtected","tran11","121.90375W","36.62116N"
"17","Lottia.scabra","LOSC","CabrilloProtected","tran12","121.90377W","36.62119N"
"18","Lottia.scabra","LOSC","CabrilloProtected","tran13","121.90393W","36.62124N"
"19","Lottia.scabra","LOSC","CabrilloProtected","tran14","121.90405W","36.62167N"
"20","Nucella.emarginata","NUEM","CabrilloExposed","tran1","121.90577W","36.62186N"
"21","Nucella.emarginata","NUEM","CabrilloExposed","tran2","121.90581W","36.62186N"
"22","Nucella.emarginata","NUEM","CabrilloExposed","tran3","121.90585W","36.62177N"
"23","Nucella.emarginata","NUEM","CabrilloExposed","tran4","121.90591W","36.62165N"
"24","Nucella.emarginata","NUEM","CabrilloExposed","tran5","121.90593W","36.62167N"
"25","Nucella.emarginata","NUEM","CabrilloExposed","tran6","121.90585W","36.62176N"
"26","Nucella.emarginata","NUEM","CabrilloExposed","tran7","121.90578W","36.62185N"
"27","Nucella.emarginata","NUEM","CabrilloExposed","tran8","121.90040W","36.61605N"
"28","Nucella.emarginata","NUEM","CabrilloExposed","tran9","121.90547W","36.62197N"
"29","Nucella.emarginata","NUEM","CabrilloExposed","tran10","121.90543W","36.62202N"
"30","Nucella.emarginata","NUEM","CabrilloExposed","tran11","121.90562W","36.32192N"
"31","Chlorostoma.funebralis","CHFU","Wara.D","tran10W","121.90354W","36.62147N"
"32","Chlorostoma.funebralis","CHFU","Wara.D","tran1L","121.90374W","36.62138N"
"33","Chlorostoma.funebralis","CHFU","Wara.B","tran1R","121.90531W","36.62201N"
"34","Chlorostoma.funebralis","CHFU","Wara.B","tran1W","121.90516W","36.62194N"
"35","Chlorostoma.funebralis","CHFU","Wara.D","tran20R","121.90379W","36.62136N"
