"","mo_yr","month","year","mean","maximum","minimum","dateR"
"1","01_1919","01","1919",13.7558333333333,14.28,12.95,1919-01-15
"2","01_1920","01","1920",11.4890322580645,12.78,10.56,1920-01-15
"3","01_1921","01","1921",11.061935483871,12.44,8.89,1921-01-15
"4","01_1922","01","1922",10.5838709677419,11.95,8.89,1922-01-15
"5","01_1923","01","1923",10.7867741935484,11.95,9.72,1923-01-15
"6","01_1924","01","1924",10.7058064516129,12.22,10,1924-01-15
"7","01_1925","01","1925",9.83903225806452,11.11,8.33,1925-01-15
"8","01_1926","01","1926",12.2761290322581,12.78,11.39,1926-01-15
"9","01_1927","01","1927",11.39,12.22,10,1927-01-15
"10","01_1928","01","1928",12.2725806451613,13.33,11.11,1928-01-15
"11","01_1929","01","1929",11.5874193548387,12.22,11.11,1929-01-15
"12","01_1930","01","1930",12.6164516129032,13.33,11.67,1930-01-15
"13","01_1931","01","1931",12.9874193548387,13.61,12.5,1931-01-15
"14","01_1932","01","1932",10.9503225806452,11.67,10,1932-01-15
"15","01_1933","01","1933",10.4858064516129,11.67,9.44,1933-01-15
"16","01_1934","01","1934",11.4709677419355,11.67,11.1,1934-01-15
"17","01_1935","01","1935",12.0606451612903,12.78,11.67,1935-01-15
"18","01_1936","01","1936",12.158064516129,13.1,11.2,1936-01-15
"19","01_1937","01","1937",11.3774193548387,13,9.6,1937-01-15
"20","01_1938","01","1938",12.8483870967742,13.5,12.1,1938-01-15
"21","01_1939","01","1939",12.0258064516129,13.2,10.8,1939-01-15
"22","01_1940","01","1940",13.6687096774194,14.07,12.74,1940-01-15
"23","01_1941","01","1941",13.858064516129,14.3,13,1941-01-15
"24","01_1942","01","1942",13.0193548387097,14,12,1942-01-15
"25","01_1943","01","1943",11.6193548387097,12.6,10,1943-01-15
"26","01_1944","01","1944",12.641935483871,13.3,11.9,1944-01-15
"27","01_1945","01","1945",12.258064516129,13,11.2,1945-01-15
"28","01_1946","01","1946",11.4483870967742,13.1,10.5,1946-01-15
"29","01_1947","01","1947",11.2354838709677,12,10.1,1947-01-15
"30","01_1948","01","1948",11.9193548387097,12.6,11.1,1948-01-15
"31","01_1949","01","1949",10.2225806451613,11.4,9.3,1949-01-15
"32","01_1950","01","1950",10.8709677419355,12,9.6,1950-01-15
"33","01_1951","01","1951",11.0064516129032,11.9,10.1,1951-01-15
"34","01_1952","01","1952",11.9451612903226,12.4,11.4,1952-01-15
"35","01_1953","01","1953",12.3193548387097,12.8,11.7,1953-01-15
"36","01_1954","01","1954",11.9032258064516,12.4,11.3,1954-01-15
"37","01_1955","01","1955",11.341935483871,12.1,10.8,1955-01-15
"38","01_1956","01","1956",11.7451612903226,12.3,10.6,1956-01-15
"39","01_1957","01","1957",11.8096774193548,12.5,10.9,1957-01-15
"40","01_1958","01","1958",13.2967741935484,13.9,12.4,1958-01-15
"41","01_1959","01","1959",13.5032258064516,14.1,12.9,1959-01-15
"42","01_1960","01","1960",12.4290322580645,13,11.4,1960-01-15
"43","01_1961","01","1961",12.3548387096774,13.6,11.2,1961-01-15
"44","01_1962","01","1962",11.2741935483871,12.4,9.4,1962-01-15
"45","01_1963","01","1963",11.6612903225806,12.5,10.4,1963-01-15
"46","01_1964","01","1964",12.1096774193548,13,11.5,1964-01-15
"47","01_1965","01","1965",11.7225806451613,12.6,10.6,1965-01-15
"48","01_1966","01","1966",12.158064516129,12.6,11.7,1966-01-15
"49","01_1967","01","1967",11.5967741935484,12.8,10.6,1967-01-15
"50","01_1968","01","1968",11.5161290322581,12.9,10.5,1968-01-15
"51","01_1969","01","1969",11.7838709677419,12.7,10.7,1969-01-15
"52","01_1970","01","1970",12.8322580645161,13.8,11.8,1970-01-15
"53","01_1971","01","1971",11.0935483870968,12.4,10,1971-01-15
"54","01_1972","01","1972",10.5645161290323,11.8,9.9,1972-01-15
"55","01_1973","01","1973",12.2806451612903,13.2,10.5,1973-01-15
"56","01_1974","01","1974",11.0129032258065,12,10.2,1974-01-15
"57","01_1975","01","1975",11.1032258064516,12.1,10,1975-01-15
"58","01_1976","01","1976",10.4129032258065,11.3,9.6,1976-01-15
"59","01_1977","01","1977",13.2741935483871,14.5,12.3,1977-01-15
"60","01_1978","01","1978",13.558064516129,14.2,12.9,1978-01-15
"61","01_1979","01","1979",11.7838709677419,12.8,10.2,1979-01-15
"62","01_1980","01","1980",12.9709677419355,14.6,11.3,1980-01-15
"63","01_1981","01","1981",13.3290322580645,14.1,12.5,1981-01-15
"64","01_1982","01","1982",11.3064516129032,12.1,10.7,1982-01-15
"65","01_1983","01","1983",13.5774193548387,14.9,12.1,1983-01-15
"66","01_1984","01","1984",12.6677419354839,13.2,12.1,1984-01-15
"67","01_1985","01","1985",11.9,12.5,11.1,1985-01-15
"68","01_1986","01","1986",13.058064516129,14.7,11.9,1986-01-15
"69","01_1987","01","1987",12.558064516129,14.1,11.1,1987-01-15
"70","01_1988","01","1988",11.5,12.3,10.9,1988-01-15
"71","01_1989","01","1989",10.8322580645161,11.5,9.9,1989-01-15
"72","01_1990","01","1990",12.3903225806452,13.2,11.5,1990-01-15
"73","01_1991","01","1991",11.6451612903226,12.7,10.1,1991-01-15
"74","01_1992","01","1992",12.1322580645161,13,11.1,1992-01-15
"75","01_1993","01","1993",12.1741935483871,13.5,10.9,1993-01-15
"76","01_1994","01","1994",12.2725806451613,14.1,10.2,1994-01-15
"77","01_1995","01","1995",12.0435483870968,13,11.3,1995-01-15
"78","01_1996","01","1996",12.0290322580645,13.2,11.1,1996-01-15
"79","01_1997","01","1997",12.1790322580645,13.7,10,1997-01-15
"80","01_1998","01","1998",13.9483870967742,14.5,13.1,1998-01-15
"81","01_1999","01","1999",10.7322580645161,12.1,9.6,1999-01-15
"82","01_2000","01","2000",11.9209677419355,12.9,11.1,2000-01-15
"83","01_2001","01","2001",12.3129032258065,13.3,10.1,2001-01-15
"84","01_2002","01","2002",11.6645161290323,13.1,10.3,2002-01-15
"85","01_2003","01","2003",13.2806451612903,13.9,12.7,2003-01-15
"86","01_2004","01","2004",11.8838709677419,12.5,11.1,2004-01-15
"87","01_2005","01","2005",12.6548387096774,13.5,10.7,2005-01-15
"88","01_2006","01","2006",11.9933333333333,13,11,2006-01-15
"89","01_2007","01","2007",10.7709677419355,12.5,9.2,2007-01-15
"90","01_2008","01","2008",10.9548387096774,12,9.7,2008-01-15
"91","01_2009","01","2009",11.1935483870968,12.3,10.3,2009-01-15
"92","01_2010","01","2010",12.4903225806452,13.2,11.2,2010-01-15
"93","01_2011","01","2011",11.4709677419355,12.2,10.3,2011-01-15
"94","01_2012","01","2012",11.2709677419355,11.7,10.3,2012-01-15
"95","01_2013","01","2013",11.1354838709677,12.4,9.3,2013-01-15
"96","01_2014","01","2014",12.358064516129,13.8,11.1,2014-01-15
