"","year","mean","maximum","minimum"
"1","1919",12.7148265895954,15,9.11
"2","1920",12.507349726776,15.56,10.22
"3","1921",12.2353698630137,16.67,8.89
"4","1922",11.8015342465753,15,8.33
"5","1923",12.1430136986301,15.66,9.72
"6","1924",11.5976775956284,14.44,8.89
"7","1925",12.192904109589,15.5,8.33
"8","1926",12.5752876712329,14.95,9.72
"9","1927",12.3164931506849,14.95,9.61
"10","1928",12.3843442622951,14.39,10
"11","1929",12.8724383561644,16.89,9.72
"12","1930",13.4823835616438,16.05,11.11
"13","1931",13.8058356164384,18.22,9.44
"14","1932",12.7894262295082,16.61,10
"15","1933",12.1732876712329,14.39,9.44
"16","1934",13.3021095890411,15,11.1
"17","1935",12.7211232876712,15.3,10.4
"18","1936",13.4050546448087,17.7,10.2
"19","1937",13.0838356164384,16.2,9.6
"20","1938",13.2449315068493,16.9,10.4
"21","1939",13.1891780821918,17.3,9.7
"22","1940",13.9137978142076,17.75,11.59
"23","1941",14.4730410958904,17.3,11.7
"24","1942",13.0939726027397,15.9,10.8
"25","1943",13.2865753424658,15.8,10
"26","1944",13.1467213114754,16.3,11
"27","1945",13.1460821917808,16.6,10.1
"28","1946",12.7840821917808,16.4,10
"29","1947",13.1998630136986,17,10.1
"30","1948",12.8603278688525,16.3,10.5
"31","1949",12.7416438356164,16.3,9.3
"32","1950",12.958904109589,16.2,9.6
"33","1951",12.9158904109589,15.8,10.1
"34","1952",12.775956284153,16.3,10.8
"35","1953",12.7334246575342,16.6,9.6
"36","1954",12.9712328767123,16,10.7
"37","1955",12.2534246575342,15.4,10.3
"38","1956",12.6994262295082,16.4,9.7
"39","1957",13.7484931506849,17.5,10.8
"40","1958",14.5572602739726,18.2,11.9
"41","1959",13.7260273972603,16.5,11.2
"42","1960",13.1142076502732,15.9,10.5
"43","1961",13.047397260274,16.2,10.6
"44","1962",12.6049315068493,16.3,9.4
"45","1963",13.4441095890411,16.7,10.4
"46","1964",12.7204918032787,15.4,10.3
"47","1965",13.3509589041096,16.7,10.6
"48","1966",13.2164383561644,15.6,11.3
"49","1967",13.2295890410959,16.2,10
"50","1968",13.0879781420765,16.4,10.5
"51","1969",13.2671232876712,15.8,10.7
"52","1970",12.9824657534247,15.5,9.9
"53","1971",12.3734246575342,17,9.6
"54","1972",13.4610655737705,17,9.9
"55","1973",13.0234520547945,16.4,10.5
"56","1974",13.020602739726,16.2,10.2
"57","1975",12.6441095890411,16,10
"58","1976",13.4714480874317,17.6,9.6
"59","1977",13.2217808219178,17.5,10.4
"60","1978",13.3808219178082,16.2,10
"61","1979",13.4290410958904,17,10
"62","1980",13.2277322404372,16.2,11
"63","1981",13.2515068493151,15.7,10.4
"64","1982",13.5939726027397,17.3,10.4
"65","1983",14.8586301369863,19,11.6
"66","1984",13.4666666666667,17.6,10.7
"67","1985",12.9171232876712,17.7,9.7
"68","1986",13.5938356164384,16.6,11.2
"69","1987",13.8649315068493,17.7,11
"70","1988",13.1274590163934,16.5,10.4
"71","1989",12.9953424657534,16.1,9.2
"72","1990",12.9167123287671,16.7,9.3
"73","1991",12.6753424657534,16.1,9.6
"74","1992",14.3634426229508,18,11
"75","1993",14.4898630136986,18.2,10.9
"76","1994",13.0519178082192,16,10
"77","1995",13.0632876712329,16.8,10.5
"78","1996",12.8059016393443,16.2,10
"79","1997",13.8734246575342,18.1,10
"80","1998",13.4558743169399,17,6.9
"81","1999",12.5656868131868,16.8,9.2
"82","2000",13.7004644808743,17.5,11.1
"83","2001",13.4494520547945,17.4,9.3
"84","2002",13.317698630137,17.7,9.9
"85","2003",13.6512328767123,17.6,11.3
"86","2004",13.4392076502732,17.4,10.9
"87","2005",13.4947802197802,16.4,10.1
"88","2006",13.4978021978022,18,10.1
"89","2007",12.9568681318681,17.8,9.2
"90","2008",12.7737704918033,17.3,9.7
"91","2009",13.061095890411,17.3,9.6
"92","2010",13.1635616438356,16.1,10.6
"93","2011",13.0821917808219,16.3,10
"94","2012",12.9877049180328,16.6,10.1
"95","2013",12.793698630137,15.9,9.3
"96","2014",14.4608219178082,18.2,11.1
"97","2015",14.7398026315789,21,10.9
