"","bagName","iButtonID","code","nest1","nest1note","nest2","nest2note","position","tidalHT","aspect","slope","gps","lon","lat"
"1","Aldrich","9A0000002D044A21","CHFU","WaraB","site","low","lowMidHi","WaraB_low",0.62,NA,0,24,-121.905233,36.621974
"2","Aldrich","760000002D1E8C21","CHFU","WaraB","site","low","lowMidHi","WaraB_low",0.62,NA,0,24,-121.905233,36.621974
"3","Allen","D90000002E1F0C21","CHFU","WaraB","site","mid","lowMidHi","WaraB_mid",1.15,NA,0,23,-121.905468,36.621988
"4","Allen","FB0000002D1AA321","CHFU","WaraB","site","mid","lowMidHi","WaraB_mid",1.15,NA,0,23,-121.905468,36.621988
"5","Acy","950000002BDF2F21","CHFU","WaraB","site","hi","lowMidHi","WaraB_hi",1.7,NA,0,22,-121.905337,36.621911
"6","Acy","9E00000030995221","CHFU","WaraB","site","hi","lowMidHi","WaraB_hi",1.7,NA,0,22,-121.905337,36.621911
"7","Carcharias","8F0000002D256321","CHFU","WaraD","site","low","lowMidHi","WaraD_low",0,NA,0,34,-121.903418,36.621565
"8","Carcharias",NA,"CHFU","WaraD","site","low","lowMidHi","WaraD_low",0,NA,0,34,-121.903418,36.621565
"9","BagE","880000002D27E121","CHFU","WaraD","site","low2","lowMidHi","WaraD_low2",0.1,NA,0,33,-121.903418,36.621628
"10","BagE","840000002BDC1921","CHFU","WaraD","site","low2","lowMidHi","WaraD_low2",0.1,NA,0,33,-121.903418,36.621628
"11","Oxynotus","A10000002D2AB421","CHFU","WaraD","site","mid","lowMidHi","WaraD_mid",0.3,NA,0,36,-121.903638,36.621442
"12","Oxynotus","C00000002BFE5421","CHFU","WaraD","site","mid","lowMidHi","WaraD_mid",0.3,NA,0,36,-121.903638,36.621442
"13","Zameus","3B0000002D044221","CHFU","WaraD","site","mid2","lowMidHi","WaraD_mid2",0.7,220,10,35,-121.903519,36.621494
"14","Zameus",NA,"CHFU","WaraD","site","mid2","lowMidHi","WaraD_mid2",0.7,220,10,35,-121.903519,36.621494
"15","Lopez","B80000002CFC5821","CHFU","WaraD","site","hi","lowMidHi","WaraD_hi",1.3,NA,0,37,-121.903869,36.621243
"16","Lopez",NA,"CHFU","WaraD","site","hi","lowMidHi","WaraD_hi",1.3,NA,0,37,-121.903869,36.621243
"17","Amundson","9F00000030B57021","LIKE","A","zone","Crack","crackOrFace","A_Crack",2.7,280,0,39,-121.905141,36.621852
"18","Amundson","7F00000030968F21","LIKE","A","zone","Crack","crackOrFace","A_Crack",2.7,280,0,39,-121.905141,36.621852
"19","Anthony","DB0000002CFBFA21","LIKE","A","zone","Face","crackOrFace","A_Face",2.85,280,110,38,-121.905138,36.621845
"20","Anthony","570000002BE1D621","LIKE","A","zone","Face","crackOrFace","A_Face",2.85,280,110,38,-121.905138,36.621845
"21","Porzingis","180000002BDD5621","LIKE","B","zone","Crack","crackOrFace","B_Crack",3.6,260,10,40,-121.905125,36.621878
"22","Porzingis","820000002E047621","LIKE","B","zone","Crack","crackOrFace","B_Crack",3.6,260,10,40,-121.905125,36.621878
"23","Oquinn","5C0000002CEA7E21","LIKE","B","zone","Face","crackOrFace","B_Face",4.2,200,135,41,-121.90512,36.621864
"24","Oquinn","8C0000002D295921","LIKE","B","zone","Face","crackOrFace","B_Face",4.2,200,135,41,-121.90512,36.621864
"25","Early","8D0000002E18AF21","LIKE","C","zone","Crack","crackOrFace","C_Crack",5.9,40,10,43,-121.905115,36.621839
"26","Early","0900000030965921","LIKE","C","zone","Crack","crackOrFace","C_Crack",5.9,40,10,43,-121.905115,36.621839
"27","Calderon","AC0000002BD1C921","LIKE","C","zone","Face","crackOrFace","C_Face",6,300,130,42,-121.905109,36.621846
"28","Calderon","5A0000002E254621","LIKE","C","zone","Face","crackOrFace","C_Face",6,300,130,42,-121.905109,36.621846
"29","Grant","B70000002D23C821","LIKE","D","zone","Crack","crackOrFace","D_Crack",6.85,290,90,44,-121.905113,36.621838
"30","Grant","140000002BD5F421","LIKE","D","zone","Crack","crackOrFace","D_Crack",6.85,290,90,44,-121.905113,36.621838
