"","X","position","day","sp","nest1","nest2","tidalHT","aspect","slope","lon","lat","mean_tempC","max_tempC","min_tempC"
"1",1,"1_Lower",2015-08-01,"LODI","1","Lower",2,0,95,-121.905277,36.621935,16.7279411764706,20,14.5
"2",44,"1_Upper",2015-08-01,"LODI","1","Upper",3,340,100,-121.905276,36.621938,19.2941176470588,25.5,15
"3",87,"2_Lower",2015-08-01,"LODI","2","Lower",1.4,340,95,-121.905136,36.621896,16.1397058823529,18.5,14
"4",130,"2_Upper",2015-08-01,"LODI","2","Upper",2.7,340,100,-121.905139,36.621899,18.1029411764706,23.5,16
"5",173,"3_Lower",2015-08-01,"LODI","3","Lower",1.1,30,100,-121.904816,36.622043,15.9117647058824,19,14.5
"6",216,"3_Upper",2015-08-01,"LODI","3","Upper",2.1,30,90,-121.90481,36.622036,18.1691176470588,25.5,15
"7",259,"A_Crack",2015-08-01,"LIKE","A","Crack",2.7,280,0,-121.905141,36.621852,18.4264705882353,28,15.5
"8",302,"A_Face",2015-08-01,"LIKE","A","Face",2.85,280,110,-121.905138,36.621845,20.9191176470588,35,15.5
"9",345,"B_Crack",2015-08-01,"LIKE","B","Crack",3.6,260,10,-121.905125,36.621878,23.6544117647059,37,17.5
"10",388,"B_Face",2015-08-01,"LIKE","B","Face",4.2,200,135,-121.90512,36.621864,26.3602941176471,42.5,18
"11",431,"C_Crack",2015-08-01,"LIKE","C","Crack",5.9,40,10,-121.905115,36.621839,19.2132352941176,21.5,18.5
"12",474,"C_Face",2015-08-01,"LIKE","C","Face",6,300,130,-121.905109,36.621846,22.3235294117647,30.5,17.5
"13",517,"D_Crack",2015-08-01,"LIKE","D","Crack",6.85,290,90,-121.905113,36.621838,20,28.5,18
"14",560,"D_Face",2015-08-01,"LIKE","D","Face",7.55,250,130,-121.905087,36.621838,23.5073529411765,35,18
"15",603,"WaraB_hi",2015-08-01,"CHFU","WaraB","hi",1.7,NA,0,-121.905337,36.621911,16.9117647058824,23.5,14.5
"16",646,"WaraB_low",2015-08-01,"CHFU","WaraB","low",0.62,NA,0,-121.905233,36.621974,14.9852941176471,16,14.5
"17",689,"WaraB_mid",2015-08-01,"CHFU","WaraB","mid",1.15,NA,0,-121.905468,36.621988,15.1397058823529,17,14
"18",732,"WaraD_hi",2015-08-01,"CHFU","WaraD","hi",1.3,NA,0,-121.903869,36.621243,17.7058823529412,27.5,14.5
"19",775,"WaraD_low",2015-08-01,"CHFU","WaraD","low",0,NA,0,-121.903418,36.621565,15.3529411764706,17,14.5
"20",818,"WaraD_low2",2015-08-01,"CHFU","WaraD","low2",0.1,NA,0,-121.903418,36.621628,15.8518518518519,16.5,15
"21",861,"WaraD_mid",2015-08-01,"CHFU","WaraD","mid",0.3,NA,0,-121.903638,36.621442,15.2647058823529,17,14
"22",904,"WaraD_mid2",2015-08-01,"CHFU","WaraD","mid2",0.7,220,10,-121.903519,36.621494,16.5384615384615,22,15
