,X,position,day,sp,nest1,nest2,tidalHT,aspect,slope,slope_corrected,slope_normal,lon,lat,mean_tempC,max_tempC,min_tempC
1,1,1_Lower,8/1/15,LODI,1,Lower,2,0,95,95,5,-121.905277,36.621935,16.72794118,20,14.5
2,44,1_Upper,8/1/15,LODI,1,Upper,3,340,100,100,10,-121.905276,36.621938,19.29411765,25.5,15
3,87,2_Lower,8/1/15,LODI,2,Lower,1.4,340,95,95,5,-121.905136,36.621896,16.13970588,18.5,14
4,130,2_Upper,8/1/15,LODI,2,Upper,2.7,340,100,100,10,-121.905139,36.621899,18.10294118,23.5,16
5,173,3_Lower,8/1/15,LODI,3,Lower,1.1,30,100,100,10,-121.904816,36.622043,15.91176471,19,14.5
6,216,3_Upper,8/1/15,LODI,3,Upper,2.1,30,90,90,0,-121.90481,36.622036,18.16911765,25.5,15
7,259,A_Crack,8/1/15,LIKE,A,Crack,2.7,280,0,180,90,-121.905141,36.621852,18.42647059,28,15.5
8,302,A_Face,8/1/15,LIKE,A,Face,2.85,280,110,110,20,-121.905138,36.621845,20.91911765,35,15.5
9,345,B_Crack,8/1/15,LIKE,B,Crack,3.6,260,10,170,80,-121.905125,36.621878,23.65441176,37,17.5
10,388,B_Face,8/1/15,LIKE,B,Face,4.2,200,135,135,45,-121.90512,36.621864,26.36029412,42.5,18
11,431,C_Crack,8/1/15,LIKE,C,Crack,5.9,40,10,170,80,-121.905115,36.621839,19.21323529,21.5,18.5
12,474,C_Face,8/1/15,LIKE,C,Face,6,300,130,130,40,-121.905109,36.621846,22.32352941,30.5,17.5
13,517,D_Crack,8/1/15,LIKE,D,Crack,6.85,290,90,90,0,-121.905113,36.621838,20,28.5,18
14,560,D_Face,8/1/15,LIKE,D,Face,7.55,250,130,130,40,-121.905087,36.621838,23.50735294,35,18
15,603,WaraB_hi,8/1/15,CHFU,WaraB,hi,1.7,NA,0,180,90,-121.905337,36.621911,16.91176471,23.5,14.5
16,646,WaraB_low,8/1/15,CHFU,WaraB,low,0.62,NA,0,180,90,-121.905233,36.621974,14.98529412,16,14.5
17,689,WaraB_mid,8/1/15,CHFU,WaraB,mid,1.15,NA,0,180,90,-121.905468,36.621988,15.13970588,17,14
18,732,WaraD_hi,8/1/15,CHFU,WaraD,hi,1.3,NA,0,180,90,-121.903869,36.621243,17.70588235,27.5,14.5
19,775,WaraD_low,8/1/15,CHFU,WaraD,low,0,NA,0,180,90,-121.903418,36.621565,15.35294118,17,14.5
20,818,WaraD_low2,8/1/15,CHFU,WaraD,low2,0.1,NA,0,180,90,-121.903418,36.621628,15.85185185,16.5,15
21,861,WaraD_mid,8/1/15,CHFU,WaraD,mid,0.3,NA,0,180,90,-121.903638,36.621442,15.26470588,17,14
22,904,WaraD_mid2,8/1/15,CHFU,WaraD,mid2,0.7,220,10,170,80,-121.903519,36.621494,16.53846154,22,15
