"","row","species","sp","site","era","date","nest1","nest2","nest3","nest3note","sampleUnit","size1mm","habitat","tideHTm","lat","long","Shaw_hab","notes","notes2","year"
"1",1,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",6.1,"bare rock","8","36.62183N","121.90516W","","","",2014
"2",2,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",9.6,"bare rock","8","36.62183N","121.90516W","","","",2014
"3",3,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",13.3,"bare rock","8","36.62183N","121.90516W","","","",2014
"4",4,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",5.3,"bare rock","8","36.62183N","121.90516W","","","",2014
"5",5,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",10.8,"bare rock","8","36.62183N","121.90516W","","","",2014
"6",6,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",11.4,"bare rock","8","36.62183N","121.90516W","","","",2014
"7",7,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",10.2,"bare rock","8","36.62183N","121.90516W","","","",2014
"8",8,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",9.3,"bare rock","8","36.62183N","121.90516W","","","",2014
"9",9,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",9.3,"bare rock","8","36.62183N","121.90516W","","","",2014
"10",10,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",13.1,"bare rock","8","36.62183N","121.90516W","","","",2014
"11",11,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",8.4,"bare rock","8","36.62183N","121.90516W","","","",2014
"12",12,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",11.8,"bare rock","8","36.62183N","121.90516W","","","",2014
"13",13,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",6.5,"bare rock","8","36.62183N","121.90516W","","","",2014
"14",14,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",14.6,"bare rock","8","36.62183N","121.90516W","","","",2014
"15",15,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",10.3,"bare rock","8","36.62183N","121.90516W","","","",2014
"16",16,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",7.3,"bare rock","8","36.62183N","121.90516W","","","",2014
"17",17,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",13.5,"bare rock","8","36.62183N","121.90516W","","","",2014
"18",18,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",13.9,"bare rock","8","36.62183N","121.90516W","","","",2014
"19",19,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",9.4,"bare rock","8","36.62183N","121.90516W","","","",2014
"20",20,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",8.2,"bare rock","8","36.62183N","121.90516W","","","",2014
"21",21,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",7.8,"bare rock","8","36.62183N","121.90516W","","","",2014
"22",22,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",6.7,"bare rock","8","36.62183N","121.90516W","","","",2014
"23",23,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",6.3,"bare rock","8","36.62183N","121.90516W","","","",2014
"24",24,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",11.6,"bare rock","8","36.62183N","121.90516W","","","",2014
"25",25,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",6.5,"bare rock","8","36.62183N","121.90516W","","","",2014
"26",26,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",8.8,"bare rock","8","36.62183N","121.90516W","","","",2014
"27",27,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",9.6,"bare rock","8","36.62183N","121.90516W","","","",2014
"28",28,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",6.3,"bare rock","8","36.62183N","121.90516W","","","",2014
"29",29,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",7.5,"bare rock","8","36.62183N","121.90516W","","","",2014
"30",30,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",6.3,"bare rock","8","36.62183N","121.90516W","","","",2014
"31",31,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",12.6,"bare rock","8","36.62183N","121.90516W","","","",2014
"32",32,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",11.8,"bare rock","8","36.62183N","121.90516W","","","",2014
"33",33,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",8.5,"bare rock","8","36.62183N","121.90516W","","","",2014
"34",34,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",10.3,"bare rock","8","36.62183N","121.90516W","","","",2014
"35",35,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",10.5,"bare rock","8","36.62183N","121.90516W","","","",2014
"36",36,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",5.6,"bare rock","8","36.62183N","121.90516W","","","",2014
"37",37,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",5.7,"bare rock","8","36.62183N","121.90516W","","","",2014
"38",38,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",2.3,"bare rock","8","36.62183N","121.90516W","","","",2014
"39",39,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",8.9,"bare rock","8","36.62183N","121.90516W","","","",2014
"40",40,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",10,"bare rock","8","36.62183N","121.90516W","","","",2014
"41",41,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",8.4,"bare rock","8","36.62183N","121.90516W","","","",2014
"42",42,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",14.7,"bare rock","8","36.62183N","121.90516W","","","",2014
"43",43,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",8.7,"bare rock","8","36.62183N","121.90516W","","","",2014
"44",44,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",12.1,"bare rock","8","36.62183N","121.90516W","","","",2014
"45",45,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",16.3,"bare rock","8","36.62183N","121.90516W","","","",2014
"46",46,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",13.2,"bare rock","8","36.62183N","121.90516W","","","",2014
"47",47,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",10,"bare rock","8","36.62183N","121.90516W","","","",2014
"48",48,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",10.4,"bare rock","8","36.62183N","121.90516W","","","",2014
"49",49,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",11.1,"bare rock","8","36.62183N","121.90516W","","","",2014
"50",50,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",10.6,"bare rock","8","36.62183N","121.90516W","","","",2014
"51",51,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",10.6,"bare rock","8","36.62183N","121.90516W","","","",2014
"52",52,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",7.9,"bare rock","8","36.62183N","121.90516W","","","",2014
"53",53,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",8.2,"bare rock","8","36.62183N","121.90516W","","","",2014
"54",54,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",6.2,"bare rock","8","36.62183N","121.90516W","","","",2014
"55",55,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",5.7,"bare rock","8","36.62183N","121.90516W","","","",2014
"56",56,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",10.4,"bare rock","8","36.62183N","121.90516W","","","",2014
"57",57,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",6.4,"bare rock","8","36.62183N","121.90516W","","","",2014
