"","row","species","sp","site","era","date","nest1","nest2","nest3","nest3note","sampleUnit","size1mm","habitat","tideHTm","lat","long","Shaw_hab","notes","notes2","year"
"1",1,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",6.1,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"2",2,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",9.6,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"3",3,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",13.3,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"4",4,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",5.3,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"5",5,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",10.8,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"6",6,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",11.4,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"7",7,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",10.2,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"8",8,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",9.3,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"9",9,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",9.3,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"10",10,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",13.1,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"11",11,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",8.4,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"12",12,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",11.8,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"13",13,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",6.5,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"14",14,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",14.6,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"15",15,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",10.3,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"16",16,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",7.3,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"17",17,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",13.5,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
"18",18,"Littorina.keenae","LIKE","HighRock","present","2014-06-20","zoneA","area1",NA,NA,"zoneA_area1",13.9,"bare rock",2.76236111745855,"36.62183N","121.90516W",NA,"","",2014
