,species,site,nest1,nest2,sampleUnit,sampleArea,tideHTm,lat,lon,position
1,Chlorostoma funebralis,Wara.B,tran2W,quad5,tran2W_quad5,Wara.B,0.30479999,36.62196,-121.90527,WaraB_low
2,Chlorostoma funebralis,Wara.B,tran1W,quad1,tran1W_quad1,Wara.B,0.60959998,36.62194,-121.90516,WaraB_low
3,Chlorostoma funebralis,Wara.B,tran2W,quad1,tran2W_quad1,Wara.B,0.60959998,36.62196,-121.90527,WaraB_low
4,Chlorostoma funebralis,Wara.B,tran2W,quad2,tran2W_quad2,Wara.B,0.60959998,36.62196,-121.90527,WaraB_low
5,Chlorostoma funebralis,Wara.B,tran3R,quad1,tran3R_quad1,Wara.B,0.60959998,36.62201,-121.90546,WaraB_low
6,Chlorostoma funebralis,Wara.B,tran4R,quad1,tran4R_quad1,Wara.B,0.60959998,36.62197,-121.90547,WaraB_low
7,Chlorostoma funebralis,Wara.B,tran4R,quad3,tran4R_quad3,Wara.B,0.60959998,36.62197,-121.90547,WaraB_low
8,Chlorostoma funebralis,Wara.B,tran4R,quad4,tran4R_quad4,Wara.B,0.60959998,36.62197,-121.90547,WaraB_low
9,Chlorostoma funebralis,Wara.B,tran1W,quad3,tran1W_quad3,Wara.B,0.761999976,36.62194,-121.90516,WaraB_low
10,Chlorostoma funebralis,Wara.B,tran1W,quad4,tran1W_quad4,Wara.B,0.761999976,36.62194,-121.90516,WaraB_low
11,Chlorostoma funebralis,Wara.B,tran2W,quad3,tran2W_quad3,Wara.B,0.761999976,36.62196,-121.90527,WaraB_low
12,Chlorostoma funebralis,Wara.B,tran1R,quad1,tran1R_quad1,Wara.B,0.914399971,36.62201,-121.90531,WaraB_mid
13,Chlorostoma funebralis,Wara.B,tran1R,quad2,tran1R_quad2,Wara.B,0.914399971,36.62201,-121.90531,WaraB_mid
14,Chlorostoma funebralis,Wara.B,tran1R,quad3,tran1R_quad3,Wara.B,0.914399971,36.62201,-121.90531,WaraB_mid
15,Chlorostoma funebralis,Wara.B,tran2R,quad1,tran2R_quad1,Wara.B,0.914399971,36.62199,-121.9054,WaraB_mid
16,Chlorostoma funebralis,Wara.B,tran2R,quad2,tran2R_quad2,Wara.B,0.914399971,36.62199,-121.9054,WaraB_mid
17,Chlorostoma funebralis,Wara.B,tran2R,quad3,tran2R_quad3,Wara.B,0.914399971,36.62199,-121.9054,WaraB_mid
18,Chlorostoma funebralis,Wara.B,tran2R,quad4,tran2R_quad4,Wara.B,0.914399971,36.62199,-121.9054,WaraB_mid
19,Chlorostoma funebralis,Wara.B,tran3W,quad1,tran3W_quad1,Wara.B,0.914399971,36.62195,-121.90534,WaraB_mid
20,Chlorostoma funebralis,Wara.B,tran4R,quad2,tran4R_quad2,Wara.B,0.914399971,36.62197,-121.90547,WaraB_mid
21,Chlorostoma funebralis,Wara.B,tran4W,quad1,tran4W_quad1,Wara.B,0.914399971,36.62194,-121.90537,WaraB_mid
22,Chlorostoma funebralis,Wara.B,tran4W,quad2,tran4W_quad2,Wara.B,0.914399971,36.62194,-121.90537,WaraB_mid
23,Chlorostoma funebralis,Wara.B,tran4W,quad3,tran4W_quad3,Wara.B,0.914399971,36.62194,-121.90537,WaraB_mid
24,Chlorostoma funebralis,Wara.B,tran4W,quad4,tran4W_quad4,Wara.B,0.914399971,36.62194,-121.90537,WaraB_mid
25,Chlorostoma funebralis,Wara.B,tran4W,quad5,tran4W_quad5,Wara.B,0.914399971,36.62194,-121.90537,WaraB_mid
26,Chlorostoma funebralis,Wara.B,tran5R,quad1,tran5R_quad1,Wara.B,0.914399971,36.62194,-121.90546,WaraB_mid
27,Chlorostoma funebralis,Wara.B,tran5R,quad2,tran5R_quad2,Wara.B,0.914399971,36.62194,-121.90546,WaraB_mid
28,Chlorostoma funebralis,Wara.B,tran5R,quad3,tran5R_quad3,Wara.B,0.914399971,36.62194,-121.90546,WaraB_mid
29,Chlorostoma funebralis,Wara.B,tran5R,quad4,tran5R_quad4,Wara.B,0.914399971,36.62194,-121.90546,WaraB_mid
30,Chlorostoma funebralis,Wara.B,tran3W,quad3,tran3W_quad3,Wara.B,1.066799966,36.62195,-121.90534,WaraB_mid
