"","point_estimate","upper_ci","param","quant","sp"
"1",1.0046986098302,1.01971881270209,"alpha",0,"CHFU"
"2",1.00510878253121,1.02209464334647,"beta",0,"CHFU"
"3",1.00049452123685,1.00096515921699,"sigma",0,"CHFU"
"4",1.00473478237924,1.02166368140409,"alpha",0.05,"CHFU"
"5",1.00376281850951,1.01683033771083,"beta",0.05,"CHFU"
"6",0.999993818688591,1.00032760384328,"sigma",0.05,"CHFU"
"7",1.00663460721559,1.03229820263382,"alpha",0.1,"CHFU"
"8",1.006671717148,1.03224842921035,"beta",0.1,"CHFU"
"9",1.00049649198029,1.00274984486937,"sigma",0.1,"CHFU"
"10",0.999905066695595,1.00018236980045,"alpha",0.25,"CHFU"
"11",1.00000811393885,1.0003999654692,"beta",0.25,"CHFU"
"12",1.00007047857352,1.00007170892123,"sigma",0.25,"CHFU"
"13",1.00114871221174,1.00586383591812,"alpha",0.5,"CHFU"
"14",1.00080230855551,1.0034443056046,"beta",0.5,"CHFU"
"15",1.00016353407111,1.00063033697883,"sigma",0.5,"CHFU"
"16",1.00097102141638,1.00548173505431,"alpha",0.75,"CHFU"
"17",0.99997773591951,1.00007384403891,"beta",0.75,"CHFU"
"18",1.00014320225796,1.00018053812661,"sigma",0.75,"CHFU"
"19",1.00138998593854,1.00714725236698,"alpha",0,"LODI"
"20",1.00064571711413,1.00349821371596,"beta",0,"LODI"
"21",0.999870771462067,0.999874210723668,"sigma",0,"LODI"
"22",1.00014974352283,1.00139615418898,"alpha",0.05,"LODI"
"23",1.00035159999728,1.00184078342516,"beta",0.05,"LODI"
"24",1.00128562913972,1.00308020015387,"sigma",0.05,"LODI"
"25",1.00238952149105,1.00732140869489,"alpha",0.1,"LODI"
"26",1.00130133989381,1.0042423555116,"beta",0.1,"LODI"
"27",1.00012686489008,1.00045336992368,"sigma",0.1,"LODI"
"28",1.00001517597434,1.00074562438442,"alpha",0.25,"LODI"
"29",1.00060628855104,1.00334911045826,"beta",0.25,"LODI"
"30",1.00211481377058,1.00250602949658,"sigma",0.25,"LODI"
"31",0.999900468387887,1.00012244134915,"alpha",0.5,"LODI"
"32",0.999957338598755,1.00018073370108,"beta",0.5,"LODI"
"33",1.00000418338566,1.00045358310291,"sigma",0.5,"LODI"
"34",1.00053288518668,1.00333411278966,"alpha",0.75,"LODI"
"35",0.999836714079073,0.999847028211767,"beta",0.75,"LODI"
"36",0.999981673019021,0.999984192767602,"sigma",0.75,"LODI"
"37",1.00058875692924,1.00083679984602,"alpha",0,"LIKE"
"38",1.00132995443543,1.00247675293507,"beta",0,"LIKE"
"39",1.00116017610001,1.00470550521921,"sigma",0,"LIKE"
"40",1.00098639200277,1.00556533394236,"alpha",0.05,"LIKE"
"41",1.00324599624767,1.01659432015315,"beta",0.05,"LIKE"
"42",1.0013377688707,1.00615705797346,"sigma",0.05,"LIKE"
"43",1.00016000922985,1.00023317160558,"alpha",0.1,"LIKE"
"44",1.00010377172144,1.00010830500417,"beta",0.1,"LIKE"
"45",1.00158682846924,1.00788757129609,"sigma",0.1,"LIKE"
"46",1.00064982125612,1.00375991146492,"alpha",0.25,"LIKE"
"47",1.00087427544456,1.00467898975383,"beta",0.25,"LIKE"
"48",1.00076198452898,1.00331343145925,"sigma",0.25,"LIKE"
"49",1.00021983076809,1.00033007690524,"alpha",0.5,"LIKE"
"50",1.00038913600633,1.0003893163104,"beta",0.5,"LIKE"
"51",1.0012021405051,1.00237972137223,"sigma",0.5,"LIKE"
"52",1.00043484194429,1.00047859061532,"alpha",0.75,"LIKE"
"53",1.0003960604356,1.00079503935697,"beta",0.75,"LIKE"
"54",0.999891542629895,0.999898038012744,"sigma",0.75,"LIKE"
