"","p.mean","p.sd","quant","sp"
"1",0.506166666666667,0.5105,0,"CHFU"
"2",0.495,0.503166666666667,0.05,"CHFU"
"3",0.494,0.502333333333333,0.1,"CHFU"
"4",0.509166666666667,0.513666666666667,0.25,"CHFU"
"5",0.494833333333333,0.5205,0.5,"CHFU"
"6",0.504,0.560333333333333,0.75,"CHFU"
"7",0.509666666666667,0.513666666666667,0,"LODI"
"8",0.496,0.5185,0.05,"LODI"
"9",0.499666666666667,0.519,0.1,"LODI"
"10",0.5005,0.517,0.25,"LODI"
"11",0.494666666666667,0.538333333333333,0.5,"LODI"
"12",0.503333333333333,0.537166666666667,0.75,"LODI"
"13",0.509666666666667,0.5165,0,"LIKE"
"14",0.489833333333333,0.510833333333333,0.05,"LIKE"
"15",0.5035,0.513166666666667,0.1,"LIKE"
"16",0.4985,0.495333333333333,0.25,"LIKE"
"17",0.505833333333333,0.5145,0.5,"LIKE"
"18",0.5,0.530666666666667,0.75,"LIKE"
