"","study","studySub","fig_table","species","site","size_original","size_rep","size_units","size_error","size_error_type","time_rep","time_error","era","year","year_error","year_error_type","sample_size","sample_size_units","museum","size_threshold_mm","latitude","longitude"
"1","Elahi_2015","threshold_median","various","Chlorostoma funebralis","Hopkins Marine Station","raw",19.6850420168067,"mm",3.69830629947867,"SD",NA,NA,"past",1963,NA,NA,595,"number of snails",TRUE,13.9,36.6215765175406,-121.904202475248
"2","Elahi_2015","threshold_median","various","Chlorostoma funebralis","Hopkins Marine Station","raw",16.6161424782114,"mm",2.12424292631946,"SD",NA,NA,"present",2014,NA,NA,2639,"number of snails",TRUE,13.9,36.6215765175406,-121.904202475248
"3","Elahi_2015","threshold_none","various","Chlorostoma.funebralis","Hopkins Marine Station","raw",17.1080783353733,"mm",5.42230400650444,"SD",NA,NA,"past",1963,NA,NA,817,"number of snails",FALSE,0,36.6215765175406,-121.904202475248
"4","Elahi_2015","threshold_none","various","Chlorostoma.funebralis","Hopkins Marine Station","raw",13.8194296847326,"mm",3.41290829912087,"SD",NA,NA,"present",2014,NA,NA,5668,"number of snails",FALSE,0,36.6215765175406,-121.904202475248
"5","Elahi_2015","threshold_median","various","Littorina keenae","Hopkins Marine Station","raw",12.3223340040241,"mm",1.41847124414789,"SD",NA,NA,"past",1947,NA,NA,497,"number of snails",TRUE,10,36.6215765175406,-121.904202475248
"6","Elahi_2015","threshold_median","various","Littorina keenae","Hopkins Marine Station","raw",14.3747111111111,"mm",2.82065310812039,"SD",NA,NA,"present",2014,NA,NA,225,"number of snails",TRUE,10,36.6215765175406,-121.904202475248
"7","Elahi_2015","threshold_none","various","Littorina.keenae","Hopkins Marine Station","raw",11.05,"mm",2.58567299669061,"SD",NA,NA,"past",1947,NA,NA,682,"number of snails",FALSE,0,36.6215765175406,-121.904202475248
"8","Elahi_2015","threshold_none","various","Littorina.keenae","Hopkins Marine Station","raw",8.55514324693042,"mm",4.40958514305188,"SD",NA,NA,"present",2014,NA,NA,733,"number of snails",FALSE,0,36.6215765175406,-121.904202475248
"9","Elahi_2015","threshold_median","various","Lottia digitalis","Hopkins Marine Station","raw",14.3743869209809,"mm",2.64833138365324,"SD",NA,NA,"past",1950,NA,NA,367,"number of snails",TRUE,11,36.6215765175406,-121.904202475248
"10","Elahi_2015","threshold_median","various","Lottia digitalis","Hopkins Marine Station","raw",12.6814285714286,"mm",1.38998050213266,"SD",NA,NA,"present",2015,NA,NA,210,"number of snails",TRUE,11,36.6215765175406,-121.904202475248
"11","Elahi_2015","threshold_none","various","Lottia.digitalis","Hopkins Marine Station","raw",13.0511156186613,"mm",3.25496240484131,"SD",NA,NA,"past",1950,NA,NA,493,"number of snails",FALSE,0,36.6215765175406,-121.904202475248
"12","Elahi_2015","threshold_none","various","Lottia.digitalis","Hopkins Marine Station","raw",10.1181818181818,"mm",2.34729659917602,"SD",NA,NA,"present",2015,NA,NA,605,"number of snails",FALSE,0,36.6215765175406,-121.904202475248
