,study,studySub,fig_table,species,site,size_rep,size_units,size_error,size_error_type,time_rep,time_error,year,year_error,year_error_type,sample_size,sample_size_units
1,Fisher2009,NA,Figure_1,Nucella_lapillus,exposed_1,19.00947628,mm,0.9762533,CI,length_1915,NA,1920.401826,NA,NA,73,mean number of snails by exposure
2,Fisher2009,NA,Figure_1,Nucella_lapillus,exposed_1,21.18887262,mm,1.00146413,CI,length_2007,NA,2007,NA,NA,40,mean number of snails by exposure
3,Fisher2009,NA,Figure_1,Nucella_lapillus,exposed_2,21.09647798,mm,0.79155672,CI,length_1915,NA,1920.401826,NA,NA,73,mean number of snails by exposure
4,Fisher2009,NA,Figure_1,Nucella_lapillus,exposed_2,22.71742313,mm,1.44948756,CI,length_2007,NA,2007,NA,NA,40,mean number of snails by exposure
5,Fisher2009,NA,Figure_1,Nucella_lapillus,exposed_3,23.05068435,mm,0.71240106,CI,length_1915,NA,1920.401826,NA,NA,73,mean number of snails by exposure
6,Fisher2009,NA,Figure_1,Nucella_lapillus,exposed_3,24.11420205,mm,0.97510981,CI,length_2007,NA,2007,NA,NA,40,mean number of snails by exposure
7,Fisher2009,NA,Figure_1,Nucella_lapillus,semi-exposed_10,26.27874077,mm,1.00263853,CI,length_1915,NA,1918.901376,NA,NA,54.5,mean number of snails by exposure
8,Fisher2009,NA,Figure_1,Nucella_lapillus,semi-exposed_10,30.07027818,mm,1.42313324,CI,length_2007,NA,2007,NA,NA,32,mean number of snails by exposure
9,Fisher2009,NA,Figure_1,Nucella_lapillus,semi-exposed_11,27.13535272,mm,0.94986808,CI,length_1915,NA,1918.901376,NA,NA,54.5,mean number of snails by exposure
10,Fisher2009,NA,Figure_1,Nucella_lapillus,semi-exposed_11,29.46412884,mm,1.39677892,CI,length_2007,NA,2007,NA,NA,32,mean number of snails by exposure
11,Fisher2009,NA,Figure_1,Nucella_lapillus,semi-exposed_4,19.62383092,mm,1.08183283,CI,length_1915,NA,1918.901376,NA,NA,54.5,mean number of snails by exposure
12,Fisher2009,NA,Figure_1,Nucella_lapillus,semi-exposed_4,26.10395315,mm,1.42313323,CI,length_2007,NA,2007,NA,NA,32,mean number of snails by exposure
13,Fisher2009,NA,Figure_1,Nucella_lapillus,semi-exposed_5,20.33874301,mm,0.76517151,CI,length_1915,NA,1918.901376,NA,NA,54.5,mean number of snails by exposure
