"","study","studySub","fig_table","species","site","size_original","size_rep","size_units","size_error","size_error_type","time_rep","time_error","era","year","year_error","year_error_type","sample_size","sample_size_units","museum","size_threshold_mm","latitude","longitude"
"1","Roy_2003",NA,"Figure_2","Acanthinucella spirata","Museum","mean",26.7214871549217,"mm",1.01131612034198,"CI","1885-1960",NA,"past",1931,NA,NA,NA,NA,TRUE,0,33.555,-117.816
"2","Roy_2003",NA,"Figure_2","Acanthinucella spirata","Museum","mean",25.1218907895885,"mm",1.0139205899843,"CI","1961-1980",NA,"past",1970.5,NA,NA,NA,NA,TRUE,0,33.555,-117.816
"3","Roy_2003",NA,"Figure_2","Acanthinucella spirata","CNM","mean",28.6615198879775,"mm",1.07484580269116,"CI","2001",NA,"present",2001,NA,NA,NA,NA,TRUE,0,33.555,-117.816
"4","Roy_2003",NA,"Figure_2","Acanthinucella spirata","Field","mean",22.6076181137322,"mm",1.0152253389872,"CI","2001",NA,"present",2001,NA,NA,NA,NA,TRUE,0,33.555,-117.816
"5","Roy_2003",NA,"Figure_2","Fissurella volcano","Museum","mean",25.3592502552897,"mm",1.02655331684496,"CI","1885-1960",NA,"past",1914,NA,NA,NA,NA,TRUE,0,33.555,-117.816
"6","Roy_2003",NA,"Figure_2","Fissurella volcano","Museum","mean",21.998735006978,"mm",1.02403427731755,"CI","1961-1980",NA,"past",1970.5,NA,NA,NA,NA,TRUE,0,33.555,-117.816
"7","Roy_2003",NA,"Figure_2","Fissurella volcano","CNM","mean",23.1508998751386,"mm",1.03988029279666,"CI","2001",NA,"present",2001,NA,NA,NA,NA,TRUE,0,33.555,-117.816
"8","Roy_2003",NA,"Figure_2","Fissurella volcano","Field","mean",21.7464479387012,"mm",1.01713851509964,"CI","2001",NA,"present",2001,NA,NA,NA,NA,TRUE,0,33.555,-117.816
"9","Roy_2003",NA,"Figure_2","Lottia gigantea","Museum","mean",61.3709821487292,"mm",1.03466435454842,"CI","1885-1960",NA,"past",1914,NA,NA,NA,NA,TRUE,0,33.555,-117.816
"10","Roy_2003",NA,"Figure_2","Lottia gigantea","CNM","mean",73.9318716674351,"mm",1.01842322970307,"CI","2001",NA,"present",2001,NA,NA,NA,NA,TRUE,0,33.555,-117.816
"11","Roy_2003",NA,"Figure_2","Lottia gigantea","Field","mean",57.7829478352534,"mm",1.00855566174812,"CI","2001",NA,"present",2001,NA,NA,NA,NA,TRUE,0,33.555,-117.816
"12","Roy_2003",NA,"Figure_2","Tegula aureotincta","Museum","mean",27.3356852070227,"mm",1.01663639587942,"CI","1885-1960",NA,"past",1927.5,NA,NA,NA,NA,TRUE,0,33.555,-117.816
"13","Roy_2003",NA,"Figure_2","Tegula aureotincta","Museum","mean",25.4122613555097,"mm",1.02358508930145,"CI","1961-1980",NA,"past",1968,NA,NA,NA,NA,TRUE,0,33.555,-117.816
"14","Roy_2003",NA,"Figure_2","Tegula aureotincta","CNM","mean",25.9801314762575,"mm",1.03214246773609,"CI","2001",NA,"present",2001,NA,NA,NA,NA,TRUE,0,33.555,-117.816
"15","Roy_2003",NA,"Figure_2","Tegula aureotincta","Field","mean",24.0135614760073,"mm",1.01941019462726,"CI","2001",NA,"present",2001,NA,NA,NA,NA,TRUE,0,33.555,-117.816
