point,x,y,measurement,dimension,exposure
1,19.01021027,22.19033675,CI_y_upper,x,exposed
1,19.00874228,21.18887262,mean,xy,exposed
1,19.98499558,21.18887262,CI_x_right,y,exposed
2,21.09754034,24.16691069,CI_y_upper,x,exposed
2,21.09541562,22.71742313,mean,xy,exposed
2,21.88697234,22.71742313,CI_x_right,y,exposed
3,23.05139903,25.08931186,CI_y_upper,x,exposed
3,23.04996967,24.11420205,mean,xy,exposed
3,23.76237073,24.11420205,CI_x_right,y,exposed
4,19.62487397,27.51390922,CI_y_upper,x,semi-exposed
4,19.62278787,26.09077599,mean,xy,semi-exposed
4,20.7046207,26.11713031,CI_x_right,y,semi-exposed
5,20.3395929,29.09516837,CI_y_upper,x,semi-exposed
5,20.33789312,27.93557833,mean,xy,semi-exposed
5,21.10306463,27.93557833,CI_x_right,y,semi-exposed
6,22.37407526,31.01903367,CI_y_upper,x,semi-exposed
6,22.37214369,29.70131772,mean,xy,semi-exposed
6,23.32201177,29.70131772,CI_x_right,y,semi-exposed
7,23.16393221,29.85944363,CI_y_upper,x,semi-exposed
7,23.16223243,28.69985359,mean,xy,semi-exposed
7,23.95378916,28.69985359,CI_x_right,y,semi-exposed
8,23.90306617,30.0966325,CI_y_lower,x,semi-exposed
8,23.90461143,31.15080527,mean,xy,semi-exposed
8,25.09194652,31.15080527,CI_x_right,y,semi-exposed
9,26.17150009,29.62225476,CI_y_upper,x,semi-exposed
9,26.16983895,28.48901903,mean,xy,semi-exposed
9,27.0933218,28.48901903,CI_x_right,y,semi-exposed
10,26.27978382,31.49341142,CI_y_upper,x,semi-exposed
10,26.27769772,30.07027818,mean,xy,semi-exposed
10,27.28033625,30.07027818,CI_x_right,y,semi-exposed
11,27.12318384,30.86090776,CI_y_upper,x,semi-exposed
11,27.1475216,29.46412884,mean,xy,semi-exposed
11,28.09738968,29.46412884,CI_x_right,y,semi-exposed
12,22.69150921,31.57247438,CI_y_upper,x,sheltered
12,22.68946175,30.17569546,mean,xy,sheltered
12,23.53382756,30.20204978,CI_x_right,y,sheltered
13,23.63608479,27.96193265,CI_y_upper,x,sheltered
13,23.63403733,26.56515373,mean,xy,sheltered
13,24.39920883,26.56515373,CI_x_right,y,sheltered
14,23.90774057,33.28550512,CI_y_upper,x,sheltered
14,23.90565447,31.86237189,mean,xy,sheltered
14,24.61805553,31.86237189,CI_x_right,y,sheltered
15,25.27930865,32.96925329,CI_y_upper,x,sheltered
15,25.27753161,31.75695461,mean,xy,sheltered
15,26.22739968,31.75695461,CI_x_right,y,sheltered
16,25.47428062,31.40042229,CI_y_lower,x,sheltered
16,25.46574182,32.8090532,mean,xy,sheltered
16,26.37766951,32.81964441,CI_x_right,y,sheltered
17,25.44737565,34.74724459,CI_y_upper,x,sheltered
17,25.44546607,33.44452578,mean,xy,sheltered
17,26.36795081,33.42334337,CI_x_right,y,sheltered
18,25.56572334,35.91227767,CI_y_upper,x,sheltered
18,25.55271332,34.27064015,mean,xy,sheltered
18,26.49642085,34.26004894,CI_x_right,y,sheltered
19,27.72596064,33.93172144,CI_y_upper,x,sheltered
19,27.71395975,32.97851255,mean,xy,sheltered
19,28.66827092,32.96792134,CI_x_right,y,sheltered
