Year,Site,Exposure,Nc,Nf,lat,long
1915,GooseMarchCove,Sheltered cove,57,25,44.2552051,-68.4037318
1915,LattysCove,Sheltered cove,88,25,44.2542943,-68.4183517
1915,BuckelWestFucus,Semiexposed shore,57,38,44.1802699,-68.4768424
1915,BuckelEast,Sheltered cove,51,33,44.1790321,-68.4740261
1915,SWHarbor,Sheltered cove,54,19,44.2668000,-68.2991000
1915,GilpatricksCove,Sheltered cove,55,29,44.2868287,-68.2909639
1915,PlacentiaIsland,Semiexposed shore,53,28,44.2004144,-68.3328989
1915,BlackIsland,Semiexposed shore,50,25,44.1750000,-68.3539000
1915,SealHarborCliffs,Exposed coast,50,45,44.2942172,-68.2301185
1915,SealHarbor,Semiexposed shore,33,43,44.2826351,-68.4018562
1915,SalisburyCove,Sheltered cove,79,25,44.4320422,-68.2859914
NA,SealCove,Sheltered cove,51,50,44.2857372,-68.3976791
1922,SeaWall,Exposed coast,75,24,44.2469159,-68.3098012
1922,GreatGottSouth,Semiexposed shore,83,36,44.2004144,-68.3328989
1922,GreatGottNorth,Semiexposed shore,75,36,44.1627958,-68.4410794
1922,BlackEastDesert,Semiexposed shore,40,25,44.1705000,-68.3413000
1922,BlackEastWharf,Semiexposed shore,45,25,44.1707000,-68.3400000
1922,ThomasBay,Sheltered cove,63,25,44.4342403,-68.3338685
1922,BlueHillFalls,Exposed coast,94,51,44.3739000,-68.5581000
