size_bin,proportion,era
14.94840041,0.013737507,past
15.93911249,0.027608577,past
16.92982456,0.045746313,past
18.00309598,0.082373306,past
19.07636739,0.123266965,past
20.06707946,0.077760257,past
20.9752322,0.105319849,past
21.96594427,0.100524252,past
22.95665635,0.114395322,past
24.02992776,0.086666758,past
24.9380805,0.059648572,past
26.01135191,0.05503112,past
27.00206398,0.031924412,past
27.99277606,0.027306593,past
29.06604747,0.027489141,past
29.97420021,0.009182066,past
30.96491228,0.004919803,past
31.95562436,0.004924206,past
33.02889577,0.004928976,past
10.98555212,0.008386561,present
13.00825593,0.008395551,present
13.91640867,0.008221809,present
14.94840041,0.016581952,present
16.02167183,0.016586722,present
16.97110423,0.008413164,present
18.04437564,0.033306823,present
19.07636739,0.025133631,present
19.98452012,0.058382112,present
20.9752322,0.05003096,present
21.96594427,0.125057585,present
22.95665635,0.116706433,present
24.02992776,0.14177787,present
25.02063983,0.125071162,present
26.01135191,0.108720009,present
27.08462332,0.066769224,present
28.0753354,0.050062516,present
28.98348813,0.025177663,present
30.01547988,0.008471139,present
