size_bin,proportion,era
13.98716704,0.002471679,past
14.90605179,0.007085479,past
15.90307247,0.018619979,past
17.05408077,0.034438723,past
17.9718628,0.034438723,past
18.96778075,0.041359423,past
20.00957992,0.080247168,past
20.96453952,0.075798146,past
21.92221656,0.082718847,past
23.0000512,0.112378991,past
24.06587402,0.091781668,past
25.02138498,0.089639547,past
26.01285265,0.077940268,past
26.96391333,0.057178167,past
27.99641811,0.057178167,past
29.02620547,0.045808445,past
29.97624219,0.020762101,past
30.97267212,0.029824923,past
32.00297145,0.020597322,past
32.95521362,0.004778579,past
33.94995008,0.006755922,past
34.9431506,0.0023069,past
35.97620675,0.0046138,past
38.04070433,0.002471679,past
12.99329701,0.004119464,present
17.00859338,0.004119464,present
17.96548275,0.007744593,present
18.9588408,0.003954686,present
19.91769932,0.015818744,present
21.02759175,0.019608651,present
22.01905942,0.007909372,present
22.97878436,0.023398558,present
23.97304823,0.023398558,present
24.93281256,0.039052523,present
26.01478242,0.086014418,present
27.00246932,0.058496395,present
28.00141976,0.078105046,present
28.96307448,0.101668383,present
30.00018707,0.120947477,present
30.9068237,0.074315139,present
32.01762193,0.081894954,present
32.97092745,0.070525232,present
34.00717362,0.086179197,present
35.06574996,0.035262616,present
36.01803152,0.019608651,present
37.01229538,0.019608651,present
38.00372367,0.007744593,present
40.94736852,0.003954686,present
43.01237808,0.003954686,present
45.00094519,0.004119464,present
