size_bin,proportion,era
12.99235182,0.001851491,past
15.01912046,0.001859849,past
15.93690249,0.004007964,past
16.89292543,0.004011906,past
17.96367113,0.014078177,past
18.95793499,0.022164751,past
19.99043977,0.028272102,past
20.94646272,0.050379137,past
21.94072658,0.060280144,past
23.01147228,0.102511364,past
23.96749522,0.098391595,past
25,0.138643275,past
26.0707457,0.120668309,past
27.10325048,0.118693186,past
28.05927342,0.10253218,past
29.01529637,0.046288699,past
30.00956023,0.038210325,past
31.00382409,0.024193807,past
32.03632887,0.005888786,past
33.03059273,0.003913505,past
33.98661568,0.01002054,past
35.01912046,0.001942323,past
39.03441683,0.001958881,past
17.96367113,0.00418127,present
20.98470363,0.004358676,present
22.97323136,0.017232856,present
23.96749522,0.008494688,present
24.92351816,0.030271826,present
25.91778203,0.039018194,present
26.95028681,0.043311112,present
27.90630975,0.034737734,present
28.93881453,0.04348426,present
29.93307839,0.060642999,present
30.96558317,0.086709113,present
31.95984704,0.086713213,present
32.9541109,0.099748241,present
33.94837476,0.125814196,present
34.94263862,0.10833376,present
35.9751434,0.086729771,present
36.93116635,0.052094538,present
37.96367113,0.030490548,present
38.99617591,0.01301027,present
39.95219885,0.004271944,present
40.86998088,0.008729337,present
41.90248566,0.008733595,present
42.97323136,0.004284402,present
