"","study","studySub","species","sp","site","era","date","nest1","nest2","nest3","nest3note","sampleUnit","size1mm","size1mm_rand","habitat","tideHTm","lat","long","Shaw_hab","notes","notes2","year"
"1","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,13,13,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"2","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,14,14,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"3","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,15,15,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"4","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,15,15,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"5","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,15,15,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"6","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,15,15,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"7","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,15,15,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"8","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,15,15,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"9","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,15,15,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"10","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,16,16,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"11","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,16,16,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"12","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,16,16,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"13","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,16,16,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"14","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,16,16,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"15","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,16,16,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"16","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,16,16,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"17","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,16,16,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"18","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,16,16,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"19","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,16,16,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"20","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,16,16,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"21","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,16,16,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"22","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,16,16,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"23","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,16,16,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"24","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,16,16,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"25","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,16,16,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"26","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,17,17,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"27","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,17,17,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"28","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,17,17,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"29","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,17,17,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"30","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,17,17,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"31","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,17,17,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"32","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,17,17,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"33","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,17,17,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"34","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,17,17,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"35","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,17,17,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"36","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,17,17,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"37","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,17,17,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"38","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,17,17,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"39","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,17,17,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"40","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,17,17,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"41","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,17,17,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"42","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,17,17,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"43","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,17,17,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"44","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,17,17,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"45","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,17,17,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"46","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,17,17,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"47","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,17,17,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"48","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,17,17,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"49","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,17,17,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"50","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,17,17,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"51","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,17,17,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"52","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,17,17,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"53","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,18,18,NA,NA,44.2553654,-68.36960568,NA,"","",1918
