"","study","studySub","species","sp","site","era","date","nest1","nest2","nest3","nest3note","sampleUnit","size1mm","size1mm_rand","habitat","tideHTm","lat","long","Shaw_hab","notes","notes2","year"
"1","Galloway",NA,"Tegula funebralis","CHFU","SouthCove","present","5/1/2017",1,1,NA,NA,"T1.Q05",18,18,NA,1.4,43.301949,-124.39942,NA,"","",2017
"2","Galloway",NA,"Tegula funebralis","CHFU","SouthCove","present","5/1/2017",1,2,NA,NA,"T1.Q05",20,20,NA,1.4,43.301949,-124.39942,NA,"","",2017
"3","Galloway",NA,"Tegula funebralis","CHFU","SouthCove","present","5/1/2017",1,3,NA,NA,"T1.Q05",14,14,NA,1.4,43.301949,-124.39942,NA,"","",2017
"4","Galloway",NA,"Tegula funebralis","CHFU","SouthCove","present","5/1/2017",1,4,NA,NA,"T1.Q05",25,25,NA,1.4,43.301949,-124.39942,NA,"","",2017
"5","Galloway",NA,"Tegula funebralis","CHFU","SouthCove","present","5/1/2017",1,5,NA,NA,"T1.Q05",16,16,NA,1.4,43.301949,-124.39942,NA,"","",2017
"6","Galloway",NA,"Tegula funebralis","CHFU","SouthCove","present","5/1/2017",1,6,NA,NA,"T1.Q05",17,17,NA,1.4,43.301949,-124.39942,NA,"","",2017
"7","Galloway",NA,"Tegula funebralis","CHFU","SouthCove","present","5/1/2017",1,7,NA,NA,"T1.Q05",17,17,NA,1.4,43.301949,-124.39942,NA,"","",2017
"8","Galloway",NA,"Tegula funebralis","CHFU","SouthCove","present","5/1/2017",1,8,NA,NA,"T1.Q05",19,19,NA,1.4,43.301949,-124.39942,NA,"","",2017
"9","Galloway",NA,"Tegula funebralis","CHFU","SouthCove","present","5/1/2017",1,9,NA,NA,"T1.Q05",20,20,NA,1.4,43.301949,-124.39942,NA,"","",2017
"10","Galloway",NA,"Tegula funebralis","CHFU","SouthCove","present","5/1/2017",1,10,NA,NA,"T1.Q05",7,7,NA,1.4,43.301949,-124.39942,NA,"","",2017
"11","Galloway",NA,"Tegula funebralis","CHFU","SouthCove","present","5/1/2017",1,11,NA,NA,"T1.Q05",19,19,NA,1.4,43.301949,-124.39942,NA,"","",2017
"12","Galloway",NA,"Tegula funebralis","CHFU","SouthCove","present","5/1/2017",1,12,NA,NA,"T1.Q05",17,17,NA,1.4,43.301949,-124.39942,NA,"","",2017
"13","Galloway",NA,"Tegula funebralis","CHFU","SouthCove","present","5/1/2017",1,13,NA,NA,"T1.Q05",12,12,NA,1.4,43.301949,-124.39942,NA,"","",2017
"14","Galloway",NA,"Tegula funebralis","CHFU","SouthCove","present","5/1/2017",1,14,NA,NA,"T1.Q05",15,15,NA,1.4,43.301949,-124.39942,NA,"","",2017
"15","Galloway",NA,"Tegula funebralis","CHFU","SouthCove","present","5/1/2017",1,1,NA,NA,"T1.Q10",15,15,NA,1,43.301949,-124.39942,NA,"","",2017
"16","Galloway",NA,"Tegula funebralis","CHFU","SouthCove","present","5/1/2017",1,2,NA,NA,"T1.Q10",24,24,NA,1,43.301949,-124.39942,NA,"","",2017
"17","Galloway",NA,"Tegula funebralis","CHFU","SouthCove","present","5/1/2017",1,3,NA,NA,"T1.Q10",18,18,NA,1,43.301949,-124.39942,NA,"","",2017
"18","Galloway",NA,"Tegula funebralis","CHFU","SouthCove","present","5/1/2017",1,4,NA,NA,"T1.Q10",18,18,NA,1,43.301949,-124.39942,NA,"","",2017
"19","Galloway",NA,"Tegula funebralis","CHFU","SouthCove","present","5/1/2017",1,5,NA,NA,"T1.Q10",23,23,NA,1,43.301949,-124.39942,NA,"","",2017
"20","Galloway",NA,"Tegula funebralis","CHFU","SouthCove","present","5/1/2017",1,6,NA,NA,"T1.Q10",18,18,NA,1,43.301949,-124.39942,NA,"","",2017
"21","Galloway",NA,"Tegula funebralis","CHFU","SouthCove","present","5/1/2017",1,7,NA,NA,"T1.Q10",25,25,NA,1,43.301949,-124.39942,NA,"","",2017
"22","Galloway",NA,"Tegula funebralis","CHFU","SouthCove","present","5/1/2017",1,8,NA,NA,"T1.Q10",18,18,NA,1,43.301949,-124.39942,NA,"","",2017
"23","Galloway",NA,"Tegula funebralis","CHFU","SouthCove","present","5/1/2017",1,9,NA,NA,"T1.Q10",19,19,NA,1,43.301949,-124.39942,NA,"","",2017
"24","Galloway",NA,"Tegula funebralis","CHFU","SouthCove","present","5/1/2017",1,10,NA,NA,"T1.Q10",18,18,NA,1,43.301949,-124.39942,NA,"","",2017
"25","Galloway",NA,"Tegula funebralis","CHFU","SouthCove","present","5/1/2017",1,11,NA,NA,"T1.Q10",17,17,NA,1,43.301949,-124.39942,NA,"","",2017
"26","Galloway",NA,"Tegula funebralis","CHFU","SouthCove","present","5/1/2017",1,12,NA,NA,"T1.Q10",19,19,NA,1,43.301949,-124.39942,NA,"","",2017
"27","Galloway",NA,"Tegula funebralis","CHFU","SouthCove","present","5/1/2017",1,13,NA,NA,"T1.Q10",18,18,NA,1,43.301949,-124.39942,NA,"","",2017
"28","Galloway",NA,"Tegula funebralis","CHFU","SouthCove","present","5/1/2017",1,14,NA,NA,"T1.Q10",13,13,NA,1,43.301949,-124.39942,NA,"","",2017
"29","Galloway",NA,"Tegula funebralis","CHFU","SouthCove","present","5/1/2017",1,1,NA,NA,"T1.Q15",24,24,NA,1.1,43.301949,-124.39942,NA,"","",2017
"30","Galloway",NA,"Tegula funebralis","CHFU","SouthCove","present","5/1/2017",1,2,NA,NA,"T1.Q15",14,14,NA,1.1,43.301949,-124.39942,NA,"","",2017
"31","Galloway",NA,"Tegula funebralis","CHFU","SouthCove","present","5/1/2017",1,3,NA,NA,"T1.Q15",20,20,NA,1.1,43.301949,-124.39942,NA,"","",2017
"32","Galloway",NA,"Tegula funebralis","CHFU","SouthCove","present","5/1/2017",1,4,NA,NA,"T1.Q15",9,9,NA,1.1,43.301949,-124.39942,NA,"","",2017
