species,sp,site,era,date,tide.ht.m,transect,quadrat_m2_0.0625,sampleUnit,size.mm,start.transect.lat,start.transect.long
Lottia.scutum,LOSC,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-09,2.3,T1,Q2,T1_Q2,22.9,43Á20.001,124Á22.617
Lottia.scutum,LOSC,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-09,2.3,T1,Q2,T1_Q2,16.6,43Á20.001,124Á22.617
Lottia.scutum,LOSC,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-09,2.3,T1,Q2,T1_Q2,22.1,43Á20.001,124Á22.617
Lottia.scutum,LOSC,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-09,2.3,T1,Q2,T1_Q2,33.8,43Á20.001,124Á22.617
Lottia.scutum,LOSC,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-09,2.3,T1,Q2,T1_Q2,23.9,43Á20.001,124Á22.617
Lottia.scutum,LOSC,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-09,2.3,T1,Q2,T1_Q2,23.7,43Á20.001,124Á22.617
Lottia.scutum,LOSC,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-09,2.3,T1,Q2,T1_Q2,30.8,43Á20.001,124Á22.617
Lottia.scutum,LOSC,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-09,2.4,T2,Q1,T2_Q1,36,43Á20.005,124Á22.615
Lottia.scutum,LOSC,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-09,2.4,T2,Q1,T2_Q1,32,43Á20.005,124Á22.615
Lottia.scutum,LOSC,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-09,2.4,T2,Q1,T2_Q1,30.6,43Á20.005,124Á22.615
Lottia.scutum,LOSC,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-09,2.4,T2,Q1,T2_Q1,26.6,43Á20.005,124Á22.615
Lottia.scutum,LOSC,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-09,2.4,T2,Q1,T2_Q1,23,43Á20.005,124Á22.615
Lottia.scutum,LOSC,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-09,2.4,T2,Q1,T2_Q1,30.9,43Á20.005,124Á22.615
Lottia.scutum,LOSC,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-09,2.4,T2,Q1,T2_Q1,27.1,43Á20.005,124Á22.615
Lottia.scutum,LOSC,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-09,2.4,T2,Q1,T2_Q1,29,43Á20.005,124Á22.615
Lottia.scutum,LOSC,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-09,2.5,T2,Q2,T2_Q2,21.2,43Á20.005,124Á22.615
Lottia.scutum,LOSC,"Sunset Bay, Cape Arago, Oregon",Present,2017-07-09,2.5,T2,Q2,T2_Q2,24.1,43Á20.005,124Á22.615
