Date,SampleID,Transect#,Quadrat.Position.m,Number.in.quadrat,Density.m2,Elevation.above.MLLW,Comments
5/1/17,T1.Q00,1,0,0,0,2,no Tegula recorded
5/1/17,T1.Q05,1,5,14,56,1.4,
5/1/17,T1.Q10,1,10,14,56,1,
5/1/17,T1.Q15,1,15,9,36,1.1,
5/1/17,T1.Q20,NA,NA,NA,NA,NA,Not able to place quadrat
5/1/17,T1.Q25,1,25,22,88,0.7,
5/1/17,T1.Q30,1,30,10,40,0.5,
5/1/17,T1.Q35,1,35,1,4,0.1,
5/1/17,T1.Q40,NA,NA,NA,NA,NA,Not able to place quadrat
5/1/17,T1.Q45,1,45,1,4,0,
5/1/17,T1.Q50,NA,NA,NA,NA,NA,Not able to place quadrat
5/1/17,T2.Q00,2,0,0,0,2.2,no Tegula recorded
5/1/17,T2.Q05,2,5,0,0,1.3,no Tegula recorded
5/1/17,T2.Q10,2,10,19,76,1.6,
5/1/17,T2.Q15,2,15,0,0,0.9,no Tegula recorded
5/1/17,T2.Q20,2,20,14,56,0.6,
5/1/17,T2.Q25,2,25,15,60,0.8,
5/1/17,T2.Q30,2,30,14,56,0.6,
5/1/17,T2.Q35,2,35,29,116,0.4,
5/1/17,T2.Q40,2,40,6,24,0,
5/1/17,T2.Q45,2,45,2,8,-0.2,
5/1/17,T2.Q50,2,50,2,8,-0.3,
5/15/17,T3.Q00,3,0,0,0,1.6,no Tegula recorded
5/15/17,T3.Q05,3,5,32,128,1.1,
5/15/17,T3.Q10,3,10,11,44,1,
5/15/17,T3.Q15,3,15,22,88,0.8,
5/15/17,T3.Q20,3,20,26,104,0.7,
5/15/17,T3.Q25,3,25,12,48,0.7,
5/15/17,T3.Q30,3,30,21,84,0.7,
5/15/17,T3.Q35,3,35,24,96,0.6,
5/15/17,T3.Q40,3,40,20,80,0.1,
5/15/17,T3.Q45,3,45,0,0,0,no Tegula recorded
5/15/17,T3.Q50,3,50,6,24,-0.2,
5/15/17,T4.Q00,4,0,0,0,2.8,
5/15/17,T4.Q05,4,5,5,20,2,
5/15/17,T4.Q10,4,10,25,100,1.5,
5/15/17,T4.Q15,4,15,19,76,1.3,
5/15/17,T4.Q20,4,20,12,48,1.2,
5/15/17,T4.Q25,4,25,9,36,0.6,
5/15/17,T4.Q30,4,30,35,140,0.7,
5/15/17,T4.Q35,4,35,8,32,0.5,
5/15/17,T4.Q40,4,40,8,32,0.4,
5/15/17,T4.Q45,4,45,5,20,0.2,
5/15/17,T4.Q50,4,50,0,0,-0.3,No Tegula recorded
