Date,SampleID,Transect#,Quadrat.Position.m,Sample#,Width.mm,Whorls.n,Comments
5/1/2017,T1.Q05,1,5,1,18,3,
5/1/2017,T1.Q05,1,5,2,20,3.5,
5/1/2017,T1.Q05,1,5,3,14,2.75,
5/1/2017,T1.Q05,1,5,4,25,3.5,
5/1/2017,T1.Q05,1,5,5,16,3,
5/1/2017,T1.Q05,1,5,6,17,2.75,
5/1/2017,T1.Q05,1,5,7,17,2.5,
5/1/2017,T1.Q05,1,5,8,19,3,
5/1/2017,T1.Q05,1,5,9,20,3.5,
5/1/2017,T1.Q05,1,5,10,7,2,
5/1/2017,T1.Q05,1,5,11,19,3.25,
5/1/2017,T1.Q05,1,5,12,17,3,
5/1/2017,T1.Q05,1,5,13,12,2.5,
5/1/2017,T1.Q05,1,5,14,15,3,
5/1/2017,T1.Q10,1,10,1,15,2.75,
5/1/2017,T1.Q10,1,10,2,24,3.5,
5/1/2017,T1.Q10,1,10,3,18,3,
5/1/2017,T1.Q10,1,10,4,18,2.5,
5/1/2017,T1.Q10,1,10,5,23,3.5,
5/1/2017,T1.Q10,1,10,6,18,2.75,
5/1/2017,T1.Q10,1,10,7,25,3.25,
5/1/2017,T1.Q10,1,10,8,18,3,
5/1/2017,T1.Q10,1,10,9,19,3.25,
5/1/2017,T1.Q10,1,10,10,18,3,
5/1/2017,T1.Q10,1,10,11,17,3,
5/1/2017,T1.Q10,1,10,12,19,3,
5/1/2017,T1.Q10,1,10,13,18,3.25,
5/1/2017,T1.Q10,1,10,14,13,2.5,
5/1/2017,T1.Q15,1,15,1,24,NA,
5/1/2017,T1.Q15,1,15,2,14,NA,
5/1/2017,T1.Q15,1,15,3,20,NA,
5/1/2017,T1.Q15,1,15,4,9,NA,
5/1/2017,T1.Q15,1,15,5,20,NA,
5/1/2017,T1.Q15,1,15,6,25,NA,
5/1/2017,T1.Q15,1,15,7,23,NA,
5/1/2017,T1.Q15,1,15,8,21,NA,
5/1/2017,T1.Q15,1,15,9,15,NA,
5/1/2017,T1.Q25,1,25,1,26,3.25,
5/1/2017,T1.Q25,1,25,2,22,3,
5/1/2017,T1.Q25,1,25,3,23,3,
5/1/2017,T1.Q25,1,25,4,19,3,
5/1/2017,T1.Q25,1,25,5,21,2.75,
5/1/2017,T1.Q25,1,25,6,24,3,
5/1/2017,T1.Q25,1,25,7,23,3,
5/1/2017,T1.Q25,1,25,8,26,3,
5/1/2017,T1.Q25,1,25,9,24,3,
5/1/2017,T1.Q25,1,25,10,25,2.75,
5/1/2017,T1.Q25,1,25,11,22,2.75,
5/1/2017,T1.Q25,1,25,12,24,NA,
5/1/2017,T1.Q25,1,25,13,24,NA,
5/1/2017,T1.Q25,1,25,14,18,NA,
5/1/2017,T1.Q25,1,25,15,25,NA,
5/1/2017,T1.Q25,1,25,16,17,NA,
5/1/2017,T1.Q25,1,25,17,22,NA,
5/1/2017,T1.Q25,1,25,18,17,NA,
5/1/2017,T1.Q25,1,25,19,25,NA,
5/1/2017,T1.Q25,1,25,20,21,3,
5/1/2017,T1.Q25,1,25,21,24,3.5,
5/1/2017,T1.Q25,1,25,22,20,3.5,
5/1/2017,T1.Q30,1,30,1,26,3.25,
5/1/2017,T1.Q30,1,30,2,26,3,
5/1/2017,T1.Q30,1,30,3,26,3,
5/1/2017,T1.Q30,1,30,4,30,NA,
5/1/2017,T1.Q30,1,30,5,24,NA,
5/1/2017,T1.Q30,1,30,6,23,NA,
