"","size1mm","year","breeding","population","province","figure"
"1",23,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"2",24,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"3",24,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"4",24,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"5",24,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"6",24,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"7",24,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"8",24,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"9",24,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"10",25,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"11",25,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"12",25,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"13",26,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"14",26,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"15",26,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"16",26,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"17",26,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"18",26,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"19",26,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"20",26,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"21",26,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"22",26,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"23",26,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"24",26,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"25",26,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"26",26,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"27",26,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"28",26,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"29",26,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"30",26,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
