"","study","studySub","species","sp","site","era","date","nest1","nest2","nest3","nest3note","sampleUnit","size1mm","habitat","tideHTm","lat","long","Shaw_hab","notes","notes2","size1mm_rand","year"
"1","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",10.5,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",10.5,2017
"2","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",9.9,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",9.9,2017
"3","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",4.9,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",4.9,2017
"4","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",8,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",8,2017
"5","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",14.6,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",14.6,2017
"6","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",11.7,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",11.7,2017
"7","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",11.6,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",11.6,2017
"8","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",16.1,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",16.1,2017
"9","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",9.6,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",9.6,2017
"10","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",15.1,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",15.1,2017
"11","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",16.6,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",16.6,2017
"12","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",15.6,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",15.6,2017
"13","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",5.7,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",5.7,2017
"14","Hayford-King",NA,"Nucella.lamellosa","NULA","False Bay, WA","present","7/22/2017","Lo 1",NA,NA,NA,"Lo 1",5.3,"boulder with ulva on sediment",NA,48.481781,-123.068522,NA,"","",5.3,2017
