study,studySub,species,sp,site,era,date,nest1,nest2,nest3,nest3note,sampleUnit,size1mm,habitat,tideHTm,lat,long
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,10.5,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,9.9,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,4.9,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,8,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,14.6,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,11.7,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,11.6,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,16.1,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,9.6,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,15.1,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,16.6,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,15.6,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,5.7,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,5.3,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,14.6,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,15.5,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,16.3,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,8.6,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,8.4,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,10.2,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,9,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,11.2,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,14.5,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,11.6,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,10,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,16.1,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,17.3,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,6.5,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,7.7,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,14.4,boulder with ulva on sediment, ,48.481781N,123.068522W
HHWK,NA,Nucella.lamellosa,NULA,"False Bay, WA",present,7/22/2017,Lo 1,,,,Lo 1,17.3,boulder with ulva on sediment, ,48.481781N,123.068522W
