"","study","studySub","species","sp","site","era","date","nest1","nest2","nest3","nest3note","sampleUnit","size1mm","size1mm_rand","habitat","tideHTm","lat","long","Shaw_hab","notes","notes2","year"
"1","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,11.62,11.62,NA,NA,27.987,-112.03,NA,"","",1930
"2","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,11.62,11.62,NA,NA,27.987,-112.03,NA,"","",1930
"3","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,11.62,11.62,NA,NA,27.987,-112.03,NA,"","",1930
"4","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,11.62,11.62,NA,NA,27.987,-112.03,NA,"","",1930
"5","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,11.62,11.62,NA,NA,27.987,-112.03,NA,"","",1930
"6","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,11.62,11.62,NA,NA,27.987,-112.03,NA,"","",1930
"7","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,14.94,14.94,NA,NA,27.987,-112.03,NA,"","",1930
"8","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,14.94,14.94,NA,NA,27.987,-112.03,NA,"","",1930
"9","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,14.94,14.94,NA,NA,27.987,-112.03,NA,"","",1930
"10","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,14.94,14.94,NA,NA,27.987,-112.03,NA,"","",1930
"11","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,14.94,14.94,NA,NA,27.987,-112.03,NA,"","",1930
"12","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,18.26,18.26,NA,NA,27.987,-112.03,NA,"","",1930
"13","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,18.26,18.26,NA,NA,27.987,-112.03,NA,"","",1930
"14","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,18.26,18.26,NA,NA,27.987,-112.03,NA,"","",1930
"15","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,18.26,18.26,NA,NA,27.987,-112.03,NA,"","",1930
"16","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,18.26,18.26,NA,NA,27.987,-112.03,NA,"","",1930
"17","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,18.26,18.26,NA,NA,27.987,-112.03,NA,"","",1930
"18","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,18.26,18.26,NA,NA,27.987,-112.03,NA,"","",1930
"19","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,18.26,18.26,NA,NA,27.987,-112.03,NA,"","",1930
"20","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,18.26,18.26,NA,NA,27.987,-112.03,NA,"","",1930
"21","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,18.26,18.26,NA,NA,27.987,-112.03,NA,"","",1930
"22","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,18.26,18.26,NA,NA,27.987,-112.03,NA,"","",1930
"23","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,18.26,18.26,NA,NA,27.987,-112.03,NA,"","",1930
"24","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,18.26,18.26,NA,NA,27.987,-112.03,NA,"","",1930
"25","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,18.26,18.26,NA,NA,27.987,-112.03,NA,"","",1930
"26","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,18.26,18.26,NA,NA,27.987,-112.03,NA,"","",1930
"27","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,18.26,18.26,NA,NA,27.987,-112.03,NA,"","",1930
"28","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,21.58,21.58,NA,NA,27.987,-112.03,NA,"","",1930
"29","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,21.58,21.58,NA,NA,27.987,-112.03,NA,"","",1930
"30","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,21.58,21.58,NA,NA,27.987,-112.03,NA,"","",1930
"31","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,21.58,21.58,NA,NA,27.987,-112.03,NA,"","",1930
"32","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,21.58,21.58,NA,NA,27.987,-112.03,NA,"","",1930
"33","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,21.58,21.58,NA,NA,27.987,-112.03,NA,"","",1930
"34","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,21.58,21.58,NA,NA,27.987,-112.03,NA,"","",1930
"35","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,21.58,21.58,NA,NA,27.987,-112.03,NA,"","",1930
"36","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,21.58,21.58,NA,NA,27.987,-112.03,NA,"","",1930
"37","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,21.58,21.58,NA,NA,27.987,-112.03,NA,"","",1930
"38","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,21.58,21.58,NA,NA,27.987,-112.03,NA,"","",1930
"39","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,21.58,21.58,NA,NA,27.987,-112.03,NA,"","",1930
"40","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,21.58,21.58,NA,NA,27.987,-112.03,NA,"","",1930
"41","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,21.58,21.58,NA,NA,27.987,-112.03,NA,"","",1930
"42","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,21.58,21.58,NA,NA,27.987,-112.03,NA,"","",1930
"43","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,21.58,21.58,NA,NA,27.987,-112.03,NA,"","",1930
"44","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,21.58,21.58,NA,NA,27.987,-112.03,NA,"","",1930
"45","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,21.58,21.58,NA,NA,27.987,-112.03,NA,"","",1930
"46","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,21.58,21.58,NA,NA,27.987,-112.03,NA,"","",1930
"47","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,21.58,21.58,NA,NA,27.987,-112.03,NA,"","",1930
"48","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,21.58,21.58,NA,NA,27.987,-112.03,NA,"","",1930
"49","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,21.58,21.58,NA,NA,27.987,-112.03,NA,"","",1930
"50","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,21.58,21.58,NA,NA,27.987,-112.03,NA,"","",1930
"51","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,21.58,21.58,NA,NA,27.987,-112.03,NA,"","",1930
"52","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,21.58,21.58,NA,NA,27.987,-112.03,NA,"","",1930
"53","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,21.58,21.58,NA,NA,27.987,-112.03,NA,"","",1930
"54","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,21.58,21.58,NA,NA,27.987,-112.03,NA,"","",1930
"55","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,21.58,21.58,NA,NA,27.987,-112.03,NA,"","",1930
"56","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,21.58,21.58,NA,NA,27.987,-112.03,NA,"","",1930
"57","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,24.9,24.9,NA,NA,27.987,-112.03,NA,"","",1930
"58","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,24.9,24.9,NA,NA,27.987,-112.03,NA,"","",1930
"59","Sagarin",NA,"Plicopurpura columellaris","PLCO","Baja","past",NA,NA,NA,NA,NA,NA,24.9,24.9,NA,NA,27.987,-112.03,NA,"","",1930
