"","study","studySub","species","sp","site","era","date","nest1","nest2","nest3","nest3note","sampleUnit","size1mm","size1mm_rand","habitat","tideHTm","lat","long","Shaw_hab","notes","notes2","year"
"1","Wilson-Brodie",NA,"Nucella lapillus","NULP","Southern UK","past",NA,NA,NA,NA,NA,NA,30.5,30.5,NA,NA,NA,NA,NA,"","",1950
"2","Wilson-Brodie",NA,"Nucella lapillus","NULP","Southern UK","past",NA,NA,NA,NA,NA,NA,30.5,30.5,NA,NA,NA,NA,NA,"","",1950
"3","Wilson-Brodie",NA,"Nucella lapillus","NULP","Southern UK","past",NA,NA,NA,NA,NA,NA,30.5,30.5,NA,NA,NA,NA,NA,"","",1950
"4","Wilson-Brodie",NA,"Nucella lapillus","NULP","Southern UK","past",NA,NA,NA,NA,NA,NA,30.5,30.5,NA,NA,NA,NA,NA,"","",1950
"5","Wilson-Brodie",NA,"Nucella lapillus","NULP","Southern UK","past",NA,NA,NA,NA,NA,NA,30.5,30.5,NA,NA,NA,NA,NA,"","",1950
"6","Wilson-Brodie",NA,"Nucella lapillus","NULP","Southern UK","past",NA,NA,NA,NA,NA,NA,30.5,30.5,NA,NA,NA,NA,NA,"","",1950
"7","Wilson-Brodie",NA,"Nucella lapillus","NULP","Southern UK","past",NA,NA,NA,NA,NA,NA,30.5,30.5,NA,NA,NA,NA,NA,"","",1950
"8","Wilson-Brodie",NA,"Nucella lapillus","NULP","Southern UK","past",NA,NA,NA,NA,NA,NA,30.5,30.5,NA,NA,NA,NA,NA,"","",1950
"9","Wilson-Brodie",NA,"Nucella lapillus","NULP","Southern UK","past",NA,NA,NA,NA,NA,NA,30.5,30.5,NA,NA,NA,NA,NA,"","",1950
"10","Wilson-Brodie",NA,"Nucella lapillus","NULP","Southern UK","past",NA,NA,NA,NA,NA,NA,30.5,30.5,NA,NA,NA,NA,NA,"","",1950
"11","Wilson-Brodie",NA,"Nucella lapillus","NULP","Southern UK","past",NA,NA,NA,NA,NA,NA,30.5,30.5,NA,NA,NA,NA,NA,"","",1950
"12","Wilson-Brodie",NA,"Nucella lapillus","NULP","Southern UK","past",NA,NA,NA,NA,NA,NA,30.5,30.5,NA,NA,NA,NA,NA,"","",1950
"13","Wilson-Brodie",NA,"Nucella lapillus","NULP","Southern UK","past",NA,NA,NA,NA,NA,NA,30.5,30.5,NA,NA,NA,NA,NA,"","",1950
"14","Wilson-Brodie",NA,"Nucella lapillus","NULP","Southern UK","past",NA,NA,NA,NA,NA,NA,30.5,30.5,NA,NA,NA,NA,NA,"","",1950
"15","Wilson-Brodie",NA,"Nucella lapillus","NULP","Southern UK","past",NA,NA,NA,NA,NA,NA,30.5,30.5,NA,NA,NA,NA,NA,"","",1950
"16","Wilson-Brodie",NA,"Nucella lapillus","NULP","Southern UK","past",NA,NA,NA,NA,NA,NA,30.5,30.5,NA,NA,NA,NA,NA,"","",1950
"17","Wilson-Brodie",NA,"Nucella lapillus","NULP","Southern UK","past",NA,NA,NA,NA,NA,NA,30.5,30.5,NA,NA,NA,NA,NA,"","",1950
"18","Wilson-Brodie",NA,"Nucella lapillus","NULP","Southern UK","past",NA,NA,NA,NA,NA,NA,30.5,30.5,NA,NA,NA,NA,NA,"","",1950
"19","Wilson-Brodie",NA,"Nucella lapillus","NULP","Southern UK","past",NA,NA,NA,NA,NA,NA,30.5,30.5,NA,NA,NA,NA,NA,"","",1950
"20","Wilson-Brodie",NA,"Nucella lapillus","NULP","Southern UK","past",NA,NA,NA,NA,NA,NA,30.5,30.5,NA,NA,NA,NA,NA,"","",1950
"21","Wilson-Brodie",NA,"Nucella lapillus","NULP","Southern UK","past",NA,NA,NA,NA,NA,NA,30.5,30.5,NA,NA,NA,NA,NA,"","",1950
"22","Wilson-Brodie",NA,"Nucella lapillus","NULP","Southern UK","past",NA,NA,NA,NA,NA,NA,30.5,30.5,NA,NA,NA,NA,NA,"","",1950
"23","Wilson-Brodie",NA,"Nucella lapillus","NULP","Southern UK","past",NA,NA,NA,NA,NA,NA,30.5,30.5,NA,NA,NA,NA,NA,"","",1950
"24","Wilson-Brodie",NA,"Nucella lapillus","NULP","Southern UK","past",NA,NA,NA,NA,NA,NA,30.5,30.5,NA,NA,NA,NA,NA,"","",1950
"25","Wilson-Brodie",NA,"Nucella lapillus","NULP","Southern UK","past",NA,NA,NA,NA,NA,NA,30.5,30.5,NA,NA,NA,NA,NA,"","",1950
"26","Wilson-Brodie",NA,"Nucella lapillus","NULP","Southern UK","past",NA,NA,NA,NA,NA,NA,30.5,30.5,NA,NA,NA,NA,NA,"","",1950
"27","Wilson-Brodie",NA,"Nucella lapillus","NULP","Southern UK","past",NA,NA,NA,NA,NA,NA,30.5,30.5,NA,NA,NA,NA,NA,"","",1950
"28","Wilson-Brodie",NA,"Nucella lapillus","NULP","Southern UK","past",NA,NA,NA,NA,NA,NA,30.5,30.5,NA,NA,NA,NA,NA,"","",1950
"29","Wilson-Brodie",NA,"Nucella lapillus","NULP","Southern UK","past",NA,NA,NA,NA,NA,NA,30.5,30.5,NA,NA,NA,NA,NA,"","",1950
"30","Wilson-Brodie",NA,"Nucella lapillus","NULP","Southern UK","past",NA,NA,NA,NA,NA,NA,30.5,30.5,NA,NA,NA,NA,NA,"","",1950
"31","Wilson-Brodie",NA,"Nucella lapillus","NULP","Southern UK","past",NA,NA,NA,NA,NA,NA,30.5,30.5,NA,NA,NA,NA,NA,"","",1950
"32","Wilson-Brodie",NA,"Nucella lapillus","NULP","Southern UK","past",NA,NA,NA,NA,NA,NA,30.5,30.5,NA,NA,NA,NA,NA,"","",1950
"33","Wilson-Brodie",NA,"Nucella lapillus","NULP","Southern UK","past",NA,NA,NA,NA,NA,NA,30.5,30.5,NA,NA,NA,NA,NA,"","",1950
"34","Wilson-Brodie",NA,"Nucella lapillus","NULP","Southern UK","past",NA,NA,NA,NA,NA,NA,30.5,30.5,NA,NA,NA,NA,NA,"","",1950
"35","Wilson-Brodie",NA,"Nucella lapillus","NULP","Southern UK","past",NA,NA,NA,NA,NA,NA,30.5,30.5,NA,NA,NA,NA,NA,"","",1950
"36","Wilson-Brodie",NA,"Nucella lapillus","NULP","Southern UK","past",NA,NA,NA,NA,NA,NA,30.5,30.5,NA,NA,NA,NA,NA,"","",1950
"37","Wilson-Brodie",NA,"Nucella lapillus","NULP","Southern UK","past",NA,NA,NA,NA,NA,NA,30.5,30.5,NA,NA,NA,NA,NA,"","",1950
"38","Wilson-Brodie",NA,"Nucella lapillus","NULP","Southern UK","past",NA,NA,NA,NA,NA,NA,30.5,30.5,NA,NA,NA,NA,NA,"","",1950
"39","Wilson-Brodie",NA,"Nucella lapillus","NULP","Southern UK","past",NA,NA,NA,NA,NA,NA,30.5,30.5,NA,NA,NA,NA,NA,"","",1950
"40","Wilson-Brodie",NA,"Nucella lapillus","NULP","Southern UK","past",NA,NA,NA,NA,NA,NA,30.5,30.5,NA,NA,NA,NA,NA,"","",1950
"41","Wilson-Brodie",NA,"Nucella lapillus","NULP","Southern UK","past",NA,NA,NA,NA,NA,NA,30.5,30.5,NA,NA,NA,NA,NA,"","",1950
"42","Wilson-Brodie",NA,"Nucella lapillus","NULP","Southern UK","past",NA,NA,NA,NA,NA,NA,30.5,30.5,NA,NA,NA,NA,NA,"","",1950
"43","Wilson-Brodie",NA,"Nucella lapillus","NULP","Southern UK","past",NA,NA,NA,NA,NA,NA,30.5,30.5,NA,NA,NA,NA,NA,"","",1950
"44","Wilson-Brodie",NA,"Nucella lapillus","NULP","Southern UK","past",NA,NA,NA,NA,NA,NA,30.5,30.5,NA,NA,NA,NA,NA,"","",1950
"45","Wilson-Brodie",NA,"Nucella lapillus","NULP","Southern UK","past",NA,NA,NA,NA,NA,NA,30.5,30.5,NA,NA,NA,NA,NA,"","",1950
"46","Wilson-Brodie",NA,"Nucella lapillus","NULP","Southern UK","past",NA,NA,NA,NA,NA,NA,30.5,30.5,NA,NA,NA,NA,NA,"","",1950
